Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
3667,93,2020.04.12,3667,93,0.00073,1.9e-05,0.0007299,1.85e-05,51734,5024279,128461,Republican,Republican,Republican,Republican,39.11
3870,99,2020.04.13,203,6,0.00077,2e-05,4.04e-05,1.2e-06,51734,5024279,128461,Republican,Republican,Republican,Republican,39.11
4041,114,2020.04.14,171,15,0.0008,2.3e-05,3.4e-05,3e-06,51734,5024279,128461,Republican,Republican,Republican,Republican,39.11
4307,118,2020.04.15,266,4,0.00086,2.3e-05,5.29e-05,8e-07,51734,5024279,128461,Republican,Republican,Republican,Republican,39.11
4465,133,2020.04.16,158,15,0.00089,2.6e-05,3.14e-05,3e-06,51734,5024279,128461,Republican,Republican,Republican,Republican,39.11
4557,148,2020.04.17,92,15,0.00091,2.9e-05,1.83e-05,3e-06,51734,5024279,128461,Republican,Republican,Republican,Republican,39.11
4788,153,2020.04.18,231,5,0.00095,3e-05,4.6e-05,1e-06,51734,5024279,128461,Republican,Republican,Republican,Republican,39.11
4978,157,2020.04.19,190,4,0.00099,3.1e-05,3.78e-05,8e-07,51734,5024279,128461,Republican,Republican,Republican,Republican,39.11
5163,163,2020.04.20,185,6,0.00103,3.2e-05,3.68e-05,1.2e-06,51734,5024279,128461,Republican,Republican,Republican,Republican,39.11
5404,183,2020.04.21,241,20,0.00108,3.6e-05,4.8e-05,4e-06,51734,5024279,128461,Republican,Republican,Republican,Republican,39.11
5692,196,2020.04.22,288,13,0.00113,3.9e-05,5.73e-05,2.6e-06,51734,5024279,128461,Republican,Republican,Republican,Republican,39.11
5899,202,2020.04.23,207,6,0.00117,4e-05,4.12e-05,1.2e-06,51734,5024279,128461,Republican,Republican,Republican,Republican,39.11
6092,209,2020.04.24,193,7,0.00121,4.2e-05,3.84e-05,1.4e-06,51734,5024279,128461,Republican,Republican,Republican,Republican,39.11
6274,209,2020.04.25,182,0,0.00125,4.2e-05,3.62e-05,0.0,51734,5024279,128461,Republican,Republican,Republican,Republican,39.11
6475,219,2020.04.26,201,10,0.00129,4.4e-05,4e-05,2e-06,51734,5024279,128461,Republican,Republican,Republican,Republican,39.11
6621,228,2020.04.27,146,9,0.00132,4.5e-05,2.91e-05,1.8e-06,51734,5024279,128461,Republican,Republican,Republican,Republican,39.11
6820,242,2020.04.28,199,14,0.00136,4.8e-05,3.96e-05,2.8e-06,51734,5024279,128461,Republican,Republican,Republican,Republican,39.11
6979,256,2020.04.29,159,14,0.00139,5.1e-05,3.16e-05,2.8e-06,51734,5024279,128461,Republican,Republican,Republican,Republican,39.11
7187,272,2020.04.30,208,16,0.00143,5.4e-05,4.14e-05,3.2e-06,51734,5024279,128461,Republican,Republican,Republican,Republican,39.11
7440,289,2020.05.01,253,17,0.00148,5.8e-05,5.04e-05,3.4e-06,51734,5024279,128461,Republican,Republican,Republican,Republican,39.11
7700,288,2020.05.02,260,-1,0.00153,5.7e-05,5.17e-05,-2e-07,51734,5024279,128461,Republican,Republican,Republican,Republican,39.11
7977,290,2020.05.03,277,2,0.00159,5.8e-05,5.51e-05,4e-07,51734,5024279,128461,Republican,Republican,Republican,Republican,39.11
8203,298,2020.05.04,226,8,0.00163,5.9e-05,4.5e-05,1.6e-06,51734,5024279,128461,Republican,Republican,Republican,Republican,39.11
8520,315,2020.05.05,317,17,0.0017,6.3e-05,6.31e-05,3.4e-06,51734,5024279,128461,Republican,Republican,Republican,Republican,39.11
8769,343,2020.05.06,249,28,0.00175,6.8e-05,4.96e-05,5.6e-06,51734,5024279,128461,Republican,Republican,Republican,Republican,39.11
9115,369,2020.05.07,346,26,0.00181,7.3e-05,6.89e-05,5.2e-06,51734,5024279,128461,Republican,Republican,Republican,Republican,39.11
9437,383,2020.05.08,322,14,0.00188,7.6e-05,6.41e-05,2.8e-06,51734,5024279,128461,Republican,Republican,Republican,Republican,39.11
9720,390,2020.05.09,283,7,0.00193,7.8e-05,5.63e-05,1.4e-06,51734,5024279,128461,Republican,Republican,Republican,Republican,39.11
9982,393,2020.05.10,262,3,0.00199,7.8e-05,5.21e-05,6e-07,51734,5024279,128461,Republican,Republican,Republican,Republican,39.11
10262,403,2020.05.11,280,10,0.00204,8e-05,5.57e-05,2e-06,51734,5024279,128461,Republican,Republican,Republican,Republican,39.11
10566,435,2020.05.12,304,32,0.0021,8.7e-05,6.05e-05,6.4e-06,51734,5024279,128461,Republican,Republican,Republican,Republican,39.11
10822,450,2020.05.13,256,15,0.00215,9e-05,5.1e-05,3e-06,51734,5024279,128461,Republican,Republican,Republican,Republican,39.11
11161,473,2020.05.14,339,23,0.00222,9.4e-05,6.75e-05,4.6e-06,51734,5024279,128461,Republican,Republican,Republican,Republican,39.11
11494,483,2020.05.15,333,10,0.00229,9.6e-05,6.63e-05,2e-06,51734,5024279,128461,Republican,Republican,Republican,Republican,39.11
11828,485,2020.05.16,334,2,0.00235,9.7e-05,6.65e-05,4e-07,51734,5024279,128461,Republican,Republican,Republican,Republican,39.11
12137,488,2020.05.17,309,3,0.00242,9.7e-05,6.15e-05,6e-07,51734,5024279,128461,Republican,Republican,Republican,Republican,39.11
12438,489,2020.05.18,301,1,0.00248,9.7e-05,5.99e-05,2e-07,51734,5024279,128461,Republican,Republican,Republican,Republican,39.11
12825,504,2020.05.19,387,15,0.00255,0.0001,7.7e-05,3e-06,51734,5024279,128461,Republican,Republican,Republican,Republican,39.11
13186,522,2020.05.20,361,18,0.00262,0.000104,7.19e-05,3.6e-06,51734,5024279,128461,Republican,Republican,Republican,Republican,39.11
13590,529,2020.05.21,404,7,0.0027,0.000105,8.04e-05,1.4e-06,51734,5024279,128461,Republican,Republican,Republican,Republican,39.11
13954,541,2020.05.22,364,12,0.00278,0.000108,7.24e-05,2.4e-06,51734,5024279,128461,Republican,Republican,Republican,Republican,39.11
14328,549,2020.05.23,374,8,0.00285,0.000109,7.44e-05,1.6e-06,51734,5024279,128461,Republican,Republican,Republican,Republican,39.11
14676,551,2020.05.24,348,2,0.00292,0.00011,6.93e-05,4e-07,51734,5024279,128461,Republican,Republican,Republican,Republican,39.11
15309,566,2020.05.25,633,15,0.00305,0.000113,0.000126,3e-06,51734,5024279,128461,Republican,Republican,Republican,Republican,39.11
15899,580,2020.05.26,590,14,0.00316,0.000115,0.0001174,2.8e-06,51734,5024279,128461,Republican,Republican,Republican,Republican,39.11
16263,583,2020.05.27,364,3,0.00324,0.000116,7.24e-05,6e-07,51734,5024279,128461,Republican,Republican,Republican,Republican,39.11
