Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
272,8,2020.04.12,272,8,0.00037,1.1e-05,0.0003709,1.09e-05,75463,733391,1251786,Republican,Republican,Republican,Split,0.58
277,8,2020.04.13,5,0,0.00038,1.1e-05,6.8e-06,0.0,75463,733391,1251786,Republican,Republican,Republican,Split,0.58
285,9,2020.04.14,8,1,0.00039,1.2e-05,1.09e-05,1.4e-06,75463,733391,1251786,Republican,Republican,Republican,Split,0.58
293,9,2020.04.15,8,0,0.0004,1.2e-05,1.09e-05,0.0,75463,733391,1251786,Republican,Republican,Republican,Split,0.58
300,9,2020.04.16,7,0,0.00041,1.2e-05,9.5e-06,0.0,75463,733391,1251786,Republican,Republican,Republican,Split,0.58
309,9,2020.04.17,9,0,0.00042,1.2e-05,1.23e-05,0.0,75463,733391,1251786,Republican,Republican,Republican,Split,0.58
314,9,2020.04.18,5,0,0.00043,1.2e-05,6.8e-06,0.0,75463,733391,1251786,Republican,Republican,Republican,Split,0.58
319,9,2020.04.19,5,0,0.00043,1.2e-05,6.8e-06,0.0,75463,733391,1251786,Republican,Republican,Republican,Split,0.58
321,9,2020.04.20,2,0,0.00044,1.2e-05,2.7e-06,0.0,75463,733391,1251786,Republican,Republican,Republican,Split,0.58
329,9,2020.04.21,8,0,0.00045,1.2e-05,1.09e-05,0.0,75463,733391,1251786,Republican,Republican,Republican,Split,0.58
335,9,2020.04.22,6,0,0.00046,1.2e-05,8.2e-06,0.0,75463,733391,1251786,Republican,Republican,Republican,Split,0.58
337,9,2020.04.23,2,0,0.00046,1.2e-05,2.7e-06,0.0,75463,733391,1251786,Republican,Republican,Republican,Split,0.58
339,9,2020.04.24,2,0,0.00046,1.2e-05,2.7e-06,0.0,75463,733391,1251786,Republican,Republican,Republican,Split,0.58
339,9,2020.04.25,0,0,0.00046,1.2e-05,0.0,0.0,75463,733391,1251786,Republican,Republican,Republican,Split,0.58
340,9,2020.04.26,1,0,0.00046,1.2e-05,1.4e-06,0.0,75463,733391,1251786,Republican,Republican,Republican,Split,0.58
345,9,2020.04.27,5,0,0.00047,1.2e-05,6.8e-06,0.0,75463,733391,1251786,Republican,Republican,Republican,Split,0.58
351,9,2020.04.28,6,0,0.00048,1.2e-05,8.2e-06,0.0,75463,733391,1251786,Republican,Republican,Republican,Split,0.58
355,9,2020.04.29,4,0,0.00048,1.2e-05,5.5e-06,0.0,75463,733391,1251786,Republican,Republican,Republican,Split,0.58
355,9,2020.04.30,0,0,0.00048,1.2e-05,0.0,0.0,75463,733391,1251786,Republican,Republican,Republican,Split,0.58
364,9,2020.05.01,9,0,0.0005,1.2e-05,1.23e-05,0.0,75463,733391,1251786,Republican,Republican,Republican,Split,0.58
