Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
3542,115,2020.04.12,3542,115,0.0005,1.6e-05,0.0004953,1.61e-05,62055,7151502,253814,Republican,Democratic,Republican,Republican,28.17
3705,122,2020.04.13,163,7,0.00052,1.7e-05,2.28e-05,1e-06,62055,7151502,253814,Republican,Democratic,Republican,Republican,28.17
3809,131,2020.04.14,104,9,0.00053,1.8e-05,1.45e-05,1.3e-06,62055,7151502,253814,Republican,Democratic,Republican,Republican,28.17
3964,142,2020.04.15,155,11,0.00055,2e-05,2.17e-05,1.5e-06,62055,7151502,253814,Republican,Democratic,Republican,Republican,28.17
4237,150,2020.04.16,273,8,0.00059,2.1e-05,3.82e-05,1.1e-06,62055,7151502,253814,Republican,Democratic,Republican,Republican,28.17
4511,169,2020.04.17,274,19,0.00063,2.4e-05,3.83e-05,2.7e-06,62055,7151502,253814,Republican,Democratic,Republican,Republican,28.17
4724,180,2020.04.18,213,11,0.00066,2.5e-05,2.98e-05,1.5e-06,62055,7151502,253814,Republican,Democratic,Republican,Republican,28.17
4933,184,2020.04.19,209,4,0.00069,2.6e-05,2.92e-05,6e-07,62055,7151502,253814,Republican,Democratic,Republican,Republican,28.17
5068,191,2020.04.20,135,7,0.00071,2.7e-05,1.89e-05,1e-06,62055,7151502,253814,Republican,Democratic,Republican,Republican,28.17
5256,208,2020.04.21,188,17,0.00073,2.9e-05,2.63e-05,2.4e-06,62055,7151502,253814,Republican,Democratic,Republican,Republican,28.17
5473,231,2020.04.22,217,23,0.00077,3.2e-05,3.03e-05,3.2e-06,62055,7151502,253814,Republican,Democratic,Republican,Republican,28.17
5772,249,2020.04.23,299,18,0.00081,3.5e-05,4.18e-05,2.5e-06,62055,7151502,253814,Republican,Democratic,Republican,Republican,28.17
6045,266,2020.04.24,273,17,0.00085,3.7e-05,3.82e-05,2.4e-06,62055,7151502,253814,Republican,Democratic,Republican,Republican,28.17
6286,273,2020.04.25,241,7,0.00088,3.8e-05,3.37e-05,1e-06,62055,7151502,253814,Republican,Democratic,Republican,Republican,28.17
6534,275,2020.04.26,248,2,0.00091,3.8e-05,3.47e-05,3e-07,62055,7151502,253814,Republican,Democratic,Republican,Republican,28.17
6725,275,2020.04.27,191,0,0.00094,3.8e-05,2.67e-05,0.0,62055,7151502,253814,Republican,Democratic,Republican,Republican,28.17
6955,275,2020.04.28,230,0,0.00097,3.8e-05,3.22e-05,0.0,62055,7151502,253814,Republican,Democratic,Republican,Republican,28.17
7209,308,2020.04.29,254,33,0.00101,4.3e-05,3.55e-05,4.6e-06,62055,7151502,253814,Republican,Democratic,Republican,Republican,28.17
7655,320,2020.04.30,446,12,0.00107,4.5e-05,6.24e-05,1.7e-06,62055,7151502,253814,Republican,Democratic,Republican,Republican,28.17
