Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
1280,27,2020.04.12,1280,27,0.00043,9e-06,0.000425,9e-06,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
1410,29,2020.04.13,130,2,0.00047,1e-05,4.32e-05,7e-07,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
1498,32,2020.04.14,88,3,0.0005,1.1e-05,2.92e-05,1e-06,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
1569,33,2020.04.15,71,1,0.00052,1.1e-05,2.36e-05,3e-07,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
1620,37,2020.04.16,51,4,0.00054,1.2e-05,1.69e-05,1.3e-06,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
1695,37,2020.04.17,75,0,0.00056,1.2e-05,2.49e-05,0.0,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
1744,38,2020.04.18,49,1,0.00058,1.3e-05,1.63e-05,3e-07,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
1781,39,2020.04.19,37,1,0.00059,1.3e-05,1.23e-05,3e-07,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
1973,41,2020.04.20,192,2,0.00066,1.4e-05,6.38e-05,7e-07,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
1990,42,2020.04.21,17,1,0.00066,1.4e-05,5.6e-06,3e-07,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
2276,42,2020.04.22,286,0,0.00076,1.4e-05,9.5e-05,0.0,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
2599,45,2020.04.23,323,3,0.00086,1.5e-05,0.0001073,1e-06,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
2810,47,2020.04.24,211,2,0.00093,1.6e-05,7.01e-05,7e-07,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
2911,48,2020.04.25,101,1,0.00097,1.6e-05,3.35e-05,3e-07,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
3001,51,2020.04.26,90,3,0.001,1.7e-05,2.99e-05,1e-06,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
3069,51,2020.04.27,68,0,0.00102,1.7e-05,2.26e-05,0.0,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
3127,57,2020.04.28,58,6,0.00104,1.9e-05,1.93e-05,2e-06,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
3193,57,2020.04.29,66,0,0.00106,1.9e-05,2.19e-05,0.0,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
3281,61,2020.04.30,88,4,0.00109,2e-05,2.92e-05,1.3e-06,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
3337,64,2020.05.01,56,3,0.00111,2.1e-05,1.86e-05,1e-06,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
3372,72,2020.05.02,35,8,0.00112,2.4e-05,1.16e-05,2.7e-06,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
3437,76,2020.05.03,65,4,0.00114,2.5e-05,2.16e-05,1.3e-06,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
3491,80,2020.05.04,54,4,0.00116,2.7e-05,1.79e-05,1.3e-06,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
3525,83,2020.05.05,34,3,0.00117,2.8e-05,1.13e-05,1e-06,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
3611,87,2020.05.06,86,4,0.0012,2.9e-05,2.86e-05,1.3e-06,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
3703,87,2020.05.07,92,0,0.00123,2.9e-05,3.05e-05,0.0,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
3747,88,2020.05.08,44,1,0.00124,2.9e-05,1.46e-05,3e-07,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
3747,88,2020.05.09,0,0,0.00124,2.9e-05,0.0,0.0,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
4012,91,2020.05.10,265,3,0.00133,3e-05,8.8e-05,1e-06,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
4043,94,2020.05.11,31,3,0.00134,3.1e-05,1.03e-05,1e-06,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
4164,95,2020.05.12,121,1,0.00138,3.2e-05,4.02e-05,3e-07,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
4236,97,2020.05.13,72,2,0.00141,3.2e-05,2.39e-05,7e-07,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
4366,98,2020.05.14,130,1,0.00145,3.3e-05,4.32e-05,3e-07,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
4463,98,2020.05.15,97,0,0.00148,3.3e-05,3.22e-05,0.0,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
4578,98,2020.05.16,115,0,0.00152,3.3e-05,3.82e-05,0.0,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
4759,98,2020.05.17,181,0,0.00158,3.3e-05,6.01e-05,0.0,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
4813,100,2020.05.18,54,2,0.0016,3.3e-05,1.79e-05,7e-07,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
4923,102,2020.05.19,110,2,0.00163,3.4e-05,3.65e-05,7e-07,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
5003,107,2020.05.20,80,5,0.00166,3.6e-05,2.66e-05,1.7e-06,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
5458,110,2020.05.21,455,3,0.00181,3.7e-05,0.0001511,1e-06,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
5612,113,2020.05.22,154,3,0.00186,3.8e-05,5.11e-05,1e-06,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
5775,115,2020.05.23,163,2,0.00192,3.8e-05,5.41e-05,7e-07,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
5922,116,2020.05.24,147,1,0.00197,3.9e-05,4.88e-05,3e-07,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
6029,117,2020.05.25,107,1,0.002,3.9e-05,3.55e-05,3e-07,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
6180,119,2020.05.26,151,2,0.00205,4e-05,5.01e-05,7e-07,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
6277,120,2020.05.27,97,1,0.00208,4e-05,3.22e-05,3e-07,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
6538,125,2020.05.28,261,5,0.00217,4.2e-05,8.67e-05,1.7e-06,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
6777,132,2020.05.29,239,7,0.00225,4.4e-05,7.94e-05,2.3e-06,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
7013,133,2020.05.30,236,1,0.00233,4.4e-05,7.84e-05,3e-07,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
7253,133,2020.05.31,240,0,0.00241,4.4e-05,7.97e-05,0.0,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
7443,133,2020.06.01,190,0,0.00247,4.4e-05,6.31e-05,0.0,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
7818,136,2020.06.02,375,3,0.0026,4.5e-05,0.0001245,1e-06,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
8067,142,2020.06.03,249,6,0.00268,4.7e-05,8.27e-05,2e-06,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
8425,151,2020.06.04,358,9,0.0028,5e-05,0.0001189,3e-06,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
8651,152,2020.06.05,226,1,0.00287,5e-05,7.5e-05,3e-07,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
9101,154,2020.06.06,450,2,0.00302,5.1e-05,0.0001494,7e-07,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
9426,154,2020.06.07,325,0,0.00313,5.1e-05,0.0001079,0.0,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
9740,155,2020.06.08,314,1,0.00323,5.1e-05,0.0001043,3e-07,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
10080,161,2020.06.09,340,6,0.00335,5.3e-05,0.0001129,2e-06,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
10368,165,2020.06.10,288,4,0.00344,5.5e-05,9.56e-05,1.3e-06,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
10816,171,2020.06.11,448,6,0.00359,5.7e-05,0.0001488,2e-06,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
11547,176,2020.06.12,731,5,0.00383,5.8e-05,0.0002427,1.7e-06,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
12095,177,2020.06.13,548,1,0.00402,5.9e-05,0.000182,3e-07,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
12501,179,2020.06.14,406,2,0.00415,5.9e-05,0.0001348,7e-07,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
12917,182,2020.06.15,416,3,0.00429,6e-05,0.0001381,1e-06,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
13191,188,2020.06.16,274,6,0.00438,6.2e-05,9.1e-05,2e-06,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
13606,197,2020.06.17,415,9,0.00452,6.5e-05,0.0001378,3e-06,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
13928,208,2020.06.18,322,11,0.00462,6.9e-05,0.0001069,3.7e-06,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
14631,214,2020.06.19,703,6,0.00486,7.1e-05,0.0002334,2e-06,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
15142,224,2020.06.20,511,10,0.00503,7.4e-05,0.0001697,3.3e-06,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
15561,225,2020.06.21,419,1,0.00517,7.5e-05,0.0001391,3e-07,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
16083,227,2020.06.22,522,2,0.00534,7.5e-05,0.0001733,7e-07,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
16678,237,2020.06.23,595,10,0.00554,7.9e-05,0.0001976,3.3e-06,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
17375,240,2020.06.24,697,3,0.00577,8e-05,0.0002314,1e-06,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
18062,240,2020.06.25,687,0,0.006,8e-05,0.0002281,0.0,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
18740,249,2020.06.26,678,9,0.00622,8.3e-05,0.0002251,3e-06,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
19310,259,2020.06.27,570,10,0.00641,8.6e-05,0.0001893,3.3e-06,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
19818,264,2020.06.28,508,5,0.00658,8.8e-05,0.0001687,1.7e-06,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
20257,265,2020.06.29,439,1,0.00673,8.8e-05,0.0001458,3e-07,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
20777,270,2020.06.30,520,5,0.0069,9e-05,0.0001727,1.7e-06,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
21197,277,2020.07.01,420,7,0.00704,9.2e-05,0.0001395,2.3e-06,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
22075,279,2020.07.02,878,2,0.00733,9.3e-05,0.0002915,7e-07,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
22622,281,2020.07.03,547,2,0.00751,9.3e-05,0.0001816,7e-07,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
23209,286,2020.07.04,587,5,0.00771,9.5e-05,0.0001949,1.7e-06,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
23814,287,2020.07.05,605,1,0.00791,9.5e-05,0.0002009,3e-07,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
24253,292,2020.07.06,439,5,0.00805,9.7e-05,0.0001458,1.7e-06,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
24512,301,2020.07.07,259,9,0.00814,0.0001,8.6e-05,3e-06,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
25246,305,2020.07.08,734,4,0.00838,0.000101,0.0002437,1.3e-06,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
26052,309,2020.07.09,806,4,0.00865,0.000103,0.0002676,1.3e-06,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
26803,313,2020.07.10,751,4,0.0089,0.000104,0.0002494,1.3e-06,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
27864,319,2020.07.11,1061,6,0.00925,0.000106,0.0003523,2e-06,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
28367,321,2020.07.12,503,2,0.00942,0.000107,0.000167,7e-07,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
28939,323,2020.07.13,572,2,0.00961,0.000107,0.0001899,7e-07,48952,3011524,124302,Republican,Republican,Republican,Republican,24.22
