Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
22201,632,2020.04.12,22201,632,0.00056,1.6e-05,0.0005615,1.6e-05,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
23403,696,2020.04.13,1202,64,0.00059,1.8e-05,3.04e-05,1.6e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
24541,781,2020.04.14,1138,85,0.00062,2e-05,2.88e-05,2.1e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
26353,873,2020.04.15,1812,92,0.00067,2.2e-05,4.58e-05,2.3e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
27575,955,2020.04.16,1222,82,0.0007,2.4e-05,3.09e-05,2.1e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
29293,1023,2020.04.17,1718,68,0.00074,2.6e-05,4.35e-05,1.7e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
30639,1127,2020.04.18,1346,104,0.00077,2.9e-05,3.4e-05,2.6e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
31304,1161,2020.04.19,665,34,0.00079,2.9e-05,1.68e-05,9e-07,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
33559,1201,2020.04.20,2255,40,0.00085,3e-05,5.7e-05,1e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
35750,1289,2020.04.21,2191,88,0.0009,3.3e-05,5.54e-05,2.2e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
37745,1415,2020.04.22,1995,126,0.00095,3.6e-05,5.05e-05,3.2e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
39593,1505,2020.04.23,1848,90,0.001,3.8e-05,4.67e-05,2.3e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
41463,1587,2020.04.24,1870,82,0.00105,4e-05,4.73e-05,2.1e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
42429,1662,2020.04.25,966,75,0.00107,4.2e-05,2.44e-05,1.9e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
43732,1694,2020.04.26,1303,32,0.00111,4.3e-05,3.3e-05,8e-07,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
45310,1734,2020.04.27,1578,40,0.00115,4.4e-05,3.99e-05,1e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
46825,1829,2020.04.28,1515,95,0.00118,4.6e-05,3.83e-05,2.4e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
49220,1912,2020.04.29,2395,83,0.00124,4.8e-05,6.06e-05,2.1e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
50708,2001,2020.04.30,1488,89,0.00128,5.1e-05,3.76e-05,2.3e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
52542,2097,2020.05.01,1834,96,0.00133,5.3e-05,4.64e-05,2.4e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
53880,2159,2020.05.02,1338,62,0.00136,5.5e-05,3.38e-05,1.6e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
55247,2201,2020.05.03,1367,42,0.0014,5.6e-05,3.46e-05,1.1e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
56608,2246,2020.05.04,1361,45,0.00143,5.7e-05,3.44e-05,1.1e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
59197,2359,2020.05.05,2589,113,0.0015,6e-05,6.55e-05,2.9e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
61076,2443,2020.05.06,1879,84,0.00154,6.2e-05,4.75e-05,2.1e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
63001,2512,2020.05.07,1925,69,0.00159,6.4e-05,4.87e-05,1.7e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
65126,2603,2020.05.08,2125,91,0.00165,6.6e-05,5.37e-05,2.3e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
67257,2674,2020.05.09,2131,71,0.0017,6.8e-05,5.39e-05,1.8e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
68448,2714,2020.05.10,1191,40,0.00173,6.9e-05,3.01e-05,1e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
69953,2774,2020.05.11,1505,60,0.00177,7e-05,3.81e-05,1.5e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
71641,2867,2020.05.12,1688,93,0.00181,7.3e-05,4.27e-05,2.4e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
73673,2947,2020.05.13,2032,80,0.00186,7.5e-05,5.14e-05,2e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
75451,3045,2020.05.14,1778,98,0.00191,7.7e-05,4.5e-05,2.5e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
77395,3127,2020.05.15,1944,82,0.00196,7.9e-05,4.92e-05,2.1e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
79465,3193,2020.05.16,2070,66,0.00201,8.1e-05,5.24e-05,1.7e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
81050,3228,2020.05.17,1585,35,0.00205,8.2e-05,4.01e-05,9e-07,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
82496,3262,2020.05.18,1446,34,0.00209,8.3e-05,3.66e-05,9e-07,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
84643,3378,2020.05.19,2147,116,0.00214,8.5e-05,5.43e-05,2.9e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
86921,3471,2020.05.20,2278,93,0.0022,8.8e-05,5.76e-05,2.4e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
89229,3557,2020.05.21,2308,86,0.00226,9e-05,5.84e-05,2.2e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
91473,3618,2020.05.22,2244,61,0.00231,9.2e-05,5.68e-05,1.5e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
93546,3684,2020.05.23,2073,66,0.00237,9.3e-05,5.24e-05,1.7e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
95332,3703,2020.05.24,1786,19,0.00241,9.4e-05,4.52e-05,5e-07,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
97443,3717,2020.05.25,2111,14,0.00246,9.4e-05,5.34e-05,4e-07,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
99912,3746,2020.05.26,2469,29,0.00253,9.5e-05,6.24e-05,7e-07,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
102576,3850,2020.05.27,2664,104,0.00259,9.7e-05,6.74e-05,2.6e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
104736,3938,2020.05.28,2160,88,0.00265,0.0001,5.46e-05,2.2e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
107877,4015,2020.05.29,3141,77,0.00273,0.000102,7.94e-05,1.9e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
111532,4078,2020.05.30,3655,63,0.00282,0.000103,9.24e-05,1.6e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
113865,4113,2020.05.31,2333,35,0.00288,0.000104,5.9e-05,9e-07,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
116302,4161,2020.06.01,2437,48,0.00294,0.000105,6.16e-05,1.2e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
118723,4252,2020.06.02,2421,91,0.003,0.000108,6.12e-05,2.3e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
120943,4324,2020.06.03,2220,72,0.00306,0.000109,5.61e-05,1.8e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
123973,4402,2020.06.04,3030,78,0.00314,0.000111,7.66e-05,2e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
127103,4473,2020.06.05,3130,71,0.00321,0.000113,7.92e-05,1.8e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
129910,4545,2020.06.06,2807,72,0.00329,0.000115,7.1e-05,1.8e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
132445,4570,2020.06.07,2535,25,0.00335,0.000116,6.41e-05,6e-07,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
134701,4599,2020.06.08,2256,29,0.00341,0.000116,5.71e-05,7e-07,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
137513,4696,2020.06.09,2812,97,0.00348,0.000119,7.11e-05,2.5e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
140612,4805,2020.06.10,3099,109,0.00356,0.000122,7.84e-05,2.8e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
143622,4870,2020.06.11,3010,65,0.00363,0.000123,7.61e-05,1.6e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
147425,4906,2020.06.12,3803,36,0.00373,0.000124,9.62e-05,9e-07,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
150675,4992,2020.06.13,3250,86,0.00381,0.000126,8.22e-05,2.2e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
153225,5014,2020.06.14,2550,22,0.00388,0.000127,6.45e-05,6e-07,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
155541,5033,2020.06.15,2316,19,0.00393,0.000127,5.86e-05,5e-07,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
159306,5096,2020.06.16,3765,63,0.00403,0.000129,9.52e-05,1.6e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
163854,5178,2020.06.17,4548,82,0.00414,0.000131,0.000115,2.1e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
168515,5272,2020.06.18,4661,94,0.00426,0.000133,0.0001179,2.4e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
172742,5341,2020.06.19,4227,69,0.00437,0.000135,0.0001069,1.7e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
177444,5424,2020.06.20,4702,83,0.00449,0.000137,0.0001189,2.1e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
181622,5447,2020.06.21,4178,23,0.00459,0.000138,0.0001057,6e-07,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
187538,5468,2020.06.22,5916,21,0.00474,0.000138,0.0001496,5e-07,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
195433,5519,2020.06.23,7895,51,0.00494,0.00014,0.0001997,1.3e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
201094,5627,2020.06.24,5661,108,0.00509,0.000142,0.0001432,2.7e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
206574,5727,2020.06.25,5480,100,0.00522,0.000145,0.0001386,2.5e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
213089,5794,2020.06.26,6515,67,0.00539,0.000147,0.0001648,1.7e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
217376,5820,2020.06.27,4287,26,0.0055,0.000147,0.0001084,7e-07,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
223540,5856,2020.06.28,6164,36,0.00565,0.000148,0.0001559,9e-07,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
230696,5894,2020.06.29,7156,38,0.00583,0.000149,0.000181,1e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
240802,5990,2020.06.30,10106,96,0.00609,0.000151,0.0002556,2.4e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
248148,6076,2020.07.01,7346,86,0.00628,0.000154,0.0001858,2.2e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
256064,6198,2020.07.02,7916,122,0.00648,0.000157,0.0002002,3.1e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
261503,6257,2020.07.03,5439,59,0.00661,0.000158,0.0001376,1.5e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
266870,6273,2020.07.04,5367,16,0.00675,0.000159,0.0001357,4e-07,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
277968,6308,2020.07.05,11098,35,0.00703,0.00016,0.0002807,9e-07,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
284348,6369,2020.07.06,6380,61,0.00719,0.000161,0.0001614,1.5e-06,80440,39538223,293763,Democratic,Democratic,Democratic,Democratic,134.59
