Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
11819,808,2020.04.12,11819,808,0.00205,0.00014,0.002047,0.0001399,77127,5773714,206599,Democratic,Democratic,Democratic,Democratic,27.94
12304,841,2020.04.13,485,33,0.00213,0.000146,8.4e-05,5.7e-06,77127,5773714,206599,Democratic,Democratic,Democratic,Democratic,27.94
12732,870,2020.04.14,428,29,0.00221,0.000151,7.41e-05,5e-06,77127,5773714,206599,Democratic,Democratic,Democratic,Democratic,27.94
13216,897,2020.04.15,484,27,0.00229,0.000155,8.38e-05,4.7e-06,77127,5773714,206599,Democratic,Democratic,Democratic,Democratic,27.94
13581,928,2020.04.16,365,31,0.00235,0.000161,6.32e-05,5.4e-06,77127,5773714,206599,Democratic,Democratic,Democratic,Democratic,27.94
14027,954,2020.04.17,446,26,0.00243,0.000165,7.72e-05,4.5e-06,77127,5773714,206599,Democratic,Democratic,Democratic,Democratic,27.94
14379,968,2020.04.18,352,14,0.00249,0.000168,6.1e-05,2.4e-06,77127,5773714,206599,Democratic,Democratic,Democratic,Democratic,27.94
14675,986,2020.04.19,296,18,0.00254,0.000171,5.13e-05,3.1e-06,77127,5773714,206599,Democratic,Democratic,Democratic,Democratic,27.94
15244,1027,2020.04.20,569,41,0.00264,0.000178,9.86e-05,7.1e-06,77127,5773714,206599,Democratic,Democratic,Democratic,Democratic,27.94
15853,1059,2020.04.21,609,32,0.00275,0.000183,0.0001055,5.5e-06,77127,5773714,206599,Democratic,Democratic,Democratic,Democratic,27.94
16336,1080,2020.04.22,483,21,0.00283,0.000187,8.37e-05,3.6e-06,77127,5773714,206599,Democratic,Democratic,Democratic,Democratic,27.94
16808,1140,2020.04.23,472,60,0.00291,0.000197,8.17e-05,1.04e-05,77127,5773714,206599,Democratic,Democratic,Democratic,Democratic,27.94
17318,1157,2020.04.24,510,17,0.003,0.0002,8.83e-05,2.9e-06,77127,5773714,206599,Democratic,Democratic,Democratic,Democratic,27.94
17707,1172,2020.04.25,389,15,0.00307,0.000203,6.74e-05,2.6e-06,77127,5773714,206599,Democratic,Democratic,Democratic,Democratic,27.94
18076,1185,2020.04.26,369,13,0.00313,0.000205,6.39e-05,2.3e-06,77127,5773714,206599,Democratic,Democratic,Democratic,Democratic,27.94
18602,1209,2020.04.27,526,24,0.00322,0.000209,9.11e-05,4.2e-06,77127,5773714,206599,Democratic,Democratic,Democratic,Democratic,27.94
18993,1227,2020.04.28,391,18,0.00329,0.000213,6.77e-05,3.1e-06,77127,5773714,206599,Democratic,Democratic,Democratic,Democratic,27.94
19381,1239,2020.04.29,388,12,0.00336,0.000215,6.72e-05,2.1e-06,77127,5773714,206599,Democratic,Democratic,Democratic,Democratic,27.94
19765,1251,2020.04.30,384,12,0.00342,0.000217,6.65e-05,2.1e-06,77127,5773714,206599,Democratic,Democratic,Democratic,Democratic,27.94
20228,1267,2020.05.01,463,16,0.0035,0.000219,8.02e-05,2.8e-06,77127,5773714,206599,Democratic,Democratic,Democratic,Democratic,27.94
20503,1278,2020.05.02,275,11,0.00355,0.000221,4.76e-05,1.9e-06,77127,5773714,206599,Democratic,Democratic,Democratic,Democratic,27.94
20759,1288,2020.05.03,256,10,0.0036,0.000223,4.43e-05,1.7e-06,77127,5773714,206599,Democratic,Democratic,Democratic,Democratic,27.94
21259,1309,2020.05.04,500,21,0.00368,0.000227,8.66e-05,3.6e-06,77127,5773714,206599,Democratic,Democratic,Democratic,Democratic,27.94
21740,1319,2020.05.05,481,10,0.00377,0.000228,8.33e-05,1.7e-06,77127,5773714,206599,Democratic,Democratic,Democratic,Democratic,27.94
22111,1334,2020.05.06,371,15,0.00383,0.000231,6.43e-05,2.6e-06,77127,5773714,206599,Democratic,Democratic,Democratic,Democratic,27.94
22534,1350,2020.05.07,423,16,0.0039,0.000234,7.33e-05,2.8e-06,77127,5773714,206599,Democratic,Democratic,Democratic,Democratic,27.94
22951,1364,2020.05.08,417,14,0.00398,0.000236,7.22e-05,2.4e-06,77127,5773714,206599,Democratic,Democratic,Democratic,Democratic,27.94
23190,1376,2020.05.09,239,12,0.00402,0.000238,4.14e-05,2.1e-06,77127,5773714,206599,Democratic,Democratic,Democratic,Democratic,27.94
23465,1381,2020.05.10,275,5,0.00406,0.000239,4.76e-05,9e-07,77127,5773714,206599,Democratic,Democratic,Democratic,Democratic,27.94
23822,1388,2020.05.11,357,7,0.00413,0.00024,6.18e-05,1.2e-06,77127,5773714,206599,Democratic,Democratic,Democratic,Democratic,27.94
24204,1414,2020.05.12,382,26,0.00419,0.000245,6.62e-05,4.5e-06,77127,5773714,206599,Democratic,Democratic,Democratic,Democratic,27.94
