Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
12035,554,2020.04.12,12035,554,0.00334,0.000154,0.0033375,0.0001536,78833,3605944,12542,Democratic,Democratic,Democratic,Democratic,287.5
13381,602,2020.04.13,1346,48,0.00371,0.000167,0.0003733,1.33e-05,78833,3605944,12542,Democratic,Democratic,Democratic,Democratic,287.5
13989,671,2020.04.14,608,69,0.00388,0.000186,0.0001686,1.91e-05,78833,3605944,12542,Democratic,Democratic,Democratic,Democratic,287.5
14755,868,2020.04.15,766,197,0.00409,0.000241,0.0002124,5.46e-05,78833,3605944,12542,Democratic,Democratic,Democratic,Democratic,287.5
15884,971,2020.04.16,1129,103,0.0044,0.000269,0.0003131,2.86e-05,78833,3605944,12542,Democratic,Democratic,Democratic,Democratic,287.5
16809,1036,2020.04.17,925,65,0.00466,0.000287,0.0002565,1.8e-05,78833,3605944,12542,Democratic,Democratic,Democratic,Democratic,287.5
17550,1086,2020.04.18,741,50,0.00487,0.000301,0.0002055,1.39e-05,78833,3605944,12542,Democratic,Democratic,Democratic,Democratic,287.5
17962,1127,2020.04.19,412,41,0.00498,0.000313,0.0001143,1.14e-05,78833,3605944,12542,Democratic,Democratic,Democratic,Democratic,287.5
19815,1331,2020.04.20,1853,204,0.0055,0.000369,0.0005139,5.66e-05,78833,3605944,12542,Democratic,Democratic,Democratic,Democratic,287.5
20360,1423,2020.04.21,545,92,0.00565,0.000395,0.0001511,2.55e-05,78833,3605944,12542,Democratic,Democratic,Democratic,Democratic,287.5
22469,1544,2020.04.22,2109,121,0.00623,0.000428,0.0005849,3.36e-05,78833,3605944,12542,Democratic,Democratic,Democratic,Democratic,287.5
23100,1639,2020.04.23,631,95,0.00641,0.000455,0.000175,2.63e-05,78833,3605944,12542,Democratic,Democratic,Democratic,Democratic,287.5
23936,1767,2020.04.24,836,128,0.00664,0.00049,0.0002318,3.55e-05,78833,3605944,12542,Democratic,Democratic,Democratic,Democratic,287.5
24583,1865,2020.04.25,647,98,0.00682,0.000517,0.0001794,2.72e-05,78833,3605944,12542,Democratic,Democratic,Democratic,Democratic,287.5
