Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
1625,49,2020.04.12,1625,49,0.00164,4.9e-05,0.0016415,4.95e-05,70176,989948,5047,Democratic,Democratic,Democratic,Democratic,196.14
1758,54,2020.04.13,133,5,0.00178,5.5e-05,0.0001344,5.1e-06,70176,989948,5047,Democratic,Democratic,Democratic,Democratic,196.14
1926,61,2020.04.14,168,7,0.00195,6.2e-05,0.0001697,7.1e-06,70176,989948,5047,Democratic,Democratic,Democratic,Democratic,196.14
2014,68,2020.04.15,88,7,0.00203,6.9e-05,8.89e-05,7.1e-06,70176,989948,5047,Democratic,Democratic,Democratic,Democratic,196.14
2070,71,2020.04.16,56,3,0.00209,7.2e-05,5.66e-05,3e-06,70176,989948,5047,Democratic,Democratic,Democratic,Democratic,196.14
2317,77,2020.04.17,247,6,0.00234,7.8e-05,0.0002495,6.1e-06,70176,989948,5047,Democratic,Democratic,Democratic,Democratic,196.14
2538,87,2020.04.18,221,10,0.00256,8.8e-05,0.0002232,1.01e-05,70176,989948,5047,Democratic,Democratic,Democratic,Democratic,196.14
2538,91,2020.04.19,0,4,0.00256,9.2e-05,0.0,4e-06,70176,989948,5047,Democratic,Democratic,Democratic,Democratic,196.14
2745,101,2020.04.20,207,10,0.00277,0.000102,0.0002091,1.01e-05,70176,989948,5047,Democratic,Democratic,Democratic,Democratic,196.14
2931,106,2020.04.21,186,5,0.00296,0.000107,0.0001879,5.1e-06,70176,989948,5047,Democratic,Democratic,Democratic,Democratic,196.14
3200,119,2020.04.22,269,13,0.00323,0.00012,0.0002717,1.31e-05,70176,989948,5047,Democratic,Democratic,Democratic,Democratic,196.14
3308,133,2020.04.23,108,14,0.00334,0.000134,0.0001091,1.41e-05,70176,989948,5047,Democratic,Democratic,Democratic,Democratic,196.14
