Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
19895,461,2020.04.12,19895,461,0.00092,2.1e-05,0.0009237,2.14e-05,59227,21538187,127052,Republican,Republican,Republican,Republican,169.52
21019,499,2020.04.13,1124,38,0.00098,2.3e-05,5.22e-05,1.8e-06,59227,21538187,127052,Republican,Republican,Republican,Republican,169.52
21628,571,2020.04.14,609,72,0.001,2.7e-05,2.83e-05,3.3e-06,59227,21538187,127052,Republican,Republican,Republican,Republican,169.52
22511,596,2020.04.15,883,25,0.00105,2.8e-05,4.1e-05,1.2e-06,59227,21538187,127052,Republican,Republican,Republican,Republican,169.52
23343,668,2020.04.16,832,72,0.00108,3.1e-05,3.86e-05,3.3e-06,59227,21538187,127052,Republican,Republican,Republican,Republican,169.52
24759,725,2020.04.17,1416,57,0.00115,3.4e-05,6.57e-05,2.6e-06,59227,21538187,127052,Republican,Republican,Republican,Republican,169.52
25492,748,2020.04.18,733,23,0.00118,3.5e-05,3.4e-05,1.1e-06,59227,21538187,127052,Republican,Republican,Republican,Republican,169.52
26314,774,2020.04.19,822,26,0.00122,3.6e-05,3.82e-05,1.2e-06,59227,21538187,127052,Republican,Republican,Republican,Republican,169.52
27059,822,2020.04.20,745,48,0.00126,3.8e-05,3.46e-05,2.2e-06,59227,21538187,127052,Republican,Republican,Republican,Republican,169.52
27869,867,2020.04.21,810,45,0.00129,4e-05,3.76e-05,2.1e-06,59227,21538187,127052,Republican,Republican,Republican,Republican,169.52
28309,893,2020.04.22,440,26,0.00131,4.1e-05,2.04e-05,1.2e-06,59227,21538187,127052,Republican,Republican,Republican,Republican,169.52
29648,987,2020.04.23,1339,94,0.00138,4.6e-05,6.22e-05,4.4e-06,59227,21538187,127052,Republican,Republican,Republican,Republican,169.52
30533,1046,2020.04.24,885,59,0.00142,4.9e-05,4.11e-05,2.7e-06,59227,21538187,127052,Republican,Republican,Republican,Republican,169.52
30839,1055,2020.04.25,306,9,0.00143,4.9e-05,1.42e-05,4e-07,59227,21538187,127052,Republican,Republican,Republican,Republican,169.52
31532,1075,2020.04.26,693,20,0.00146,5e-05,3.22e-05,9e-07,59227,21538187,127052,Republican,Republican,Republican,Republican,169.52
32138,1088,2020.04.27,606,13,0.00149,5.1e-05,2.81e-05,6e-07,59227,21538187,127052,Republican,Republican,Republican,Republican,169.52
32848,1171,2020.04.28,710,83,0.00153,5.4e-05,3.3e-05,3.9e-06,59227,21538187,127052,Republican,Republican,Republican,Republican,169.52
33193,1218,2020.04.29,345,47,0.00154,5.7e-05,1.6e-05,2.2e-06,59227,21538187,127052,Republican,Republican,Republican,Republican,169.52
33690,1268,2020.04.30,497,50,0.00156,5.9e-05,2.31e-05,2.3e-06,59227,21538187,127052,Republican,Republican,Republican,Republican,169.52
34728,1314,2020.05.01,1038,46,0.00161,6.1e-05,4.82e-05,2.1e-06,59227,21538187,127052,Republican,Republican,Republican,Republican,169.52
35463,1364,2020.05.02,735,50,0.00165,6.3e-05,3.41e-05,2.3e-06,59227,21538187,127052,Republican,Republican,Republican,Republican,169.52
36078,1379,2020.05.03,615,15,0.00168,6.4e-05,2.86e-05,7e-07,59227,21538187,127052,Republican,Republican,Republican,Republican,169.52
36897,1399,2020.05.04,819,20,0.00171,6.5e-05,3.8e-05,9e-07,59227,21538187,127052,Republican,Republican,Republican,Republican,169.52
37439,1471,2020.05.05,542,72,0.00174,6.8e-05,2.52e-05,3.3e-06,59227,21538187,127052,Republican,Republican,Republican,Republican,169.52
38002,1539,2020.05.06,563,68,0.00176,7.1e-05,2.61e-05,3.2e-06,59227,21538187,127052,Republican,Republican,Republican,Republican,169.52
38828,1600,2020.05.07,826,61,0.0018,7.4e-05,3.84e-05,2.8e-06,59227,21538187,127052,Republican,Republican,Republican,Republican,169.52
39199,1669,2020.05.08,371,69,0.00182,7.7e-05,1.72e-05,3.2e-06,59227,21538187,127052,Republican,Republican,Republican,Republican,169.52
40001,1715,2020.05.09,802,46,0.00186,8e-05,3.72e-05,2.1e-06,59227,21538187,127052,Republican,Republican,Republican,Republican,169.52
40596,1721,2020.05.10,595,6,0.00188,8e-05,2.76e-05,3e-07,59227,21538187,127052,Republican,Republican,Republican,Republican,169.52
40982,1735,2020.05.11,386,14,0.0019,8.1e-05,1.79e-05,7e-07,59227,21538187,127052,Republican,Republican,Republican,Republican,169.52
41923,1779,2020.05.12,941,44,0.00195,8.3e-05,4.37e-05,2e-06,59227,21538187,127052,Republican,Republican,Republican,Republican,169.52
42402,1827,2020.05.13,479,48,0.00197,8.5e-05,2.22e-05,2.2e-06,59227,21538187,127052,Republican,Republican,Republican,Republican,169.52
43210,1875,2020.05.14,808,48,0.00201,8.7e-05,3.75e-05,2.2e-06,59227,21538187,127052,Republican,Republican,Republican,Republican,169.52
44138,1917,2020.05.15,928,42,0.00205,8.9e-05,4.31e-05,2e-06,59227,21538187,127052,Republican,Republican,Republican,Republican,169.52
44811,1964,2020.05.16,673,47,0.00208,9.1e-05,3.12e-05,2.2e-06,59227,21538187,127052,Republican,Republican,Republican,Republican,169.52
45588,1973,2020.05.17,777,9,0.00212,9.2e-05,3.61e-05,4e-07,59227,21538187,127052,Republican,Republican,Republican,Republican,169.52
46442,1997,2020.05.18,854,24,0.00216,9.3e-05,3.97e-05,1.1e-06,59227,21538187,127052,Republican,Republican,Republican,Republican,169.52
46944,2052,2020.05.19,502,55,0.00218,9.5e-05,2.33e-05,2.6e-06,59227,21538187,127052,Republican,Republican,Republican,Republican,169.52
47471,2096,2020.05.20,527,44,0.0022,9.7e-05,2.45e-05,2e-06,59227,21538187,127052,Republican,Republican,Republican,Republican,169.52
