Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
12452,433,2020.04.12,12452,433,0.00116,4e-05,0.0011624,4.04e-05,61980,10711908,145305,Republican,Democratic,Republican,Republican,73.72
13315,465,2020.04.13,863,32,0.00124,4.3e-05,8.06e-05,3e-06,61980,10711908,145305,Republican,Democratic,Republican,Republican,73.72
14578,525,2020.04.14,1263,60,0.00136,4.9e-05,0.0001179,5.6e-06,61980,10711908,145305,Republican,Democratic,Republican,Republican,73.72
14987,552,2020.04.15,409,27,0.0014,5.2e-05,3.82e-05,2.5e-06,61980,10711908,145305,Republican,Democratic,Republican,Republican,73.72
15669,587,2020.04.16,682,35,0.00146,5.5e-05,6.37e-05,3.3e-06,61980,10711908,145305,Republican,Democratic,Republican,Republican,73.72
17194,650,2020.04.17,1525,63,0.00161,6.1e-05,0.0001424,5.9e-06,61980,10711908,145305,Republican,Democratic,Republican,Republican,73.72
17669,673,2020.04.18,475,23,0.00165,6.3e-05,4.43e-05,2.1e-06,61980,10711908,145305,Republican,Democratic,Republican,Republican,73.72
18301,687,2020.04.19,632,14,0.00171,6.4e-05,5.9e-05,1.3e-06,61980,10711908,145305,Republican,Democratic,Republican,Republican,73.72
19407,775,2020.04.20,1106,88,0.00181,7.2e-05,0.0001032,8.2e-06,61980,10711908,145305,Republican,Democratic,Republican,Republican,73.72
19881,798,2020.04.21,474,23,0.00186,7.4e-05,4.42e-05,2.1e-06,61980,10711908,145305,Republican,Democratic,Republican,Republican,73.72
21214,848,2020.04.22,1333,50,0.00198,7.9e-05,0.0001244,4.7e-06,61980,10711908,145305,Republican,Democratic,Republican,Republican,73.72
21883,881,2020.04.23,669,33,0.00204,8.2e-05,6.25e-05,3.1e-06,61980,10711908,145305,Republican,Democratic,Republican,Republican,73.72
22491,899,2020.04.24,608,18,0.0021,8.4e-05,5.68e-05,1.7e-06,61980,10711908,145305,Republican,Democratic,Republican,Republican,73.72
23222,907,2020.04.25,731,8,0.00217,8.5e-05,6.82e-05,7e-07,61980,10711908,145305,Republican,Democratic,Republican,Republican,73.72
23486,916,2020.04.26,264,9,0.00219,8.6e-05,2.46e-05,8e-07,61980,10711908,145305,Republican,Democratic,Republican,Republican,73.72
24302,995,2020.04.27,816,79,0.00227,9.3e-05,7.62e-05,7.4e-06,61980,10711908,145305,Republican,Democratic,Republican,Republican,73.72
24922,1036,2020.04.28,620,41,0.00233,9.7e-05,5.79e-05,3.8e-06,61980,10711908,145305,Republican,Democratic,Republican,Republican,73.72
