Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
499,9,2020.04.12,499,9,0.00034,6e-06,0.0003429,6.2e-06,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
504,9,2020.04.13,5,0,0.00035,6e-06,3.4e-06,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
511,9,2020.04.14,7,0,0.00035,6e-06,4.8e-06,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
524,9,2020.04.15,13,0,0.00036,6e-06,8.9e-06,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
530,9,2020.04.16,6,0,0.00036,6e-06,4.1e-06,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
541,9,2020.04.17,11,0,0.00037,6e-06,7.6e-06,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
574,9,2020.04.18,33,0,0.00039,6e-06,2.27e-05,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
580,10,2020.04.19,6,1,0.0004,7e-06,4.1e-06,7e-07,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
584,10,2020.04.20,4,0,0.0004,7e-06,2.7e-06,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
586,10,2020.04.21,2,0,0.0004,7e-06,1.4e-06,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
592,12,2020.04.22,6,2,0.00041,8e-06,4.1e-06,1.4e-06,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
596,12,2020.04.23,4,0,0.00041,8e-06,2.7e-06,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
601,13,2020.04.24,5,1,0.00041,9e-06,3.4e-06,7e-07,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
605,13,2020.04.25,4,0,0.00042,9e-06,2.7e-06,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
606,14,2020.04.26,1,1,0.00042,1e-05,7e-07,7e-07,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
607,16,2020.04.27,1,2,0.00042,1.1e-05,7e-07,1.4e-06,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
609,16,2020.04.28,2,0,0.00042,1.1e-05,1.4e-06,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
613,16,2020.04.29,4,0,0.00042,1.1e-05,2.7e-06,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
618,16,2020.04.30,5,0,0.00042,1.1e-05,3.4e-06,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
619,16,2020.05.01,1,0,0.00043,1.1e-05,7e-07,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
620,16,2020.05.02,1,0,0.00043,1.1e-05,7e-07,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
620,17,2020.05.03,0,1,0.00043,1.2e-05,0.0,7e-07,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
621,17,2020.05.04,1,0,0.00043,1.2e-05,7e-07,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
625,17,2020.05.05,4,0,0.00043,1.2e-05,2.7e-06,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
626,17,2020.05.06,1,0,0.00043,1.2e-05,7e-07,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
629,17,2020.05.07,3,0,0.00043,1.2e-05,2.1e-06,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
629,17,2020.05.08,0,0,0.00043,1.2e-05,0.0,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
631,17,2020.05.09,2,0,0.00043,1.2e-05,1.4e-06,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
632,17,2020.05.10,1,0,0.00043,1.2e-05,7e-07,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
634,17,2020.05.11,2,0,0.00044,1.2e-05,1.4e-06,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
635,17,2020.05.12,1,0,0.00044,1.2e-05,7e-07,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
638,17,2020.05.13,3,0,0.00044,1.2e-05,2.1e-06,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
637,17,2020.05.14,-1,0,0.00044,1.2e-05,-7e-07,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
638,17,2020.05.15,1,0,0.00044,1.2e-05,7e-07,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
639,17,2020.05.16,1,0,0.00044,1.2e-05,7e-07,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
640,17,2020.05.17,1,0,0.00044,1.2e-05,7e-07,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
640,17,2020.05.18,0,0,0.00044,1.2e-05,0.0,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
641,17,2020.05.19,1,0,0.00044,1.2e-05,7e-07,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
643,17,2020.05.20,2,0,0.00044,1.2e-05,1.4e-06,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
647,17,2020.05.21,4,0,0.00044,1.2e-05,2.7e-06,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
642,17,2020.05.22,-5,0,0.00044,1.2e-05,-3.4e-06,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
643,17,2020.05.23,1,0,0.00044,1.2e-05,7e-07,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
643,17,2020.05.24,0,0,0.00044,1.2e-05,0.0,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
643,17,2020.05.25,0,0,0.00044,1.2e-05,0.0,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
643,17,2020.05.26,0,0,0.00044,1.2e-05,0.0,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
644,17,2020.05.27,1,0,0.00044,1.2e-05,7e-07,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
647,17,2020.05.28,3,0,0.00044,1.2e-05,2.1e-06,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
649,17,2020.05.29,2,0,0.00045,1.2e-05,1.4e-06,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
651,17,2020.05.30,2,0,0.00045,1.2e-05,1.4e-06,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
652,17,2020.05.31,1,0,0.00045,1.2e-05,7e-07,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
652,17,2020.06.01,0,0,0.00045,1.2e-05,0.0,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
653,17,2020.06.02,1,0,0.00045,1.2e-05,7e-07,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
653,17,2020.06.03,0,0,0.00045,1.2e-05,0.0,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
655,17,2020.06.04,2,0,0.00045,1.2e-05,1.4e-06,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
664,17,2020.06.05,9,0,0.00046,1.2e-05,6.2e-06,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
673,17,2020.06.06,9,0,0.00046,1.2e-05,6.2e-06,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
675,17,2020.06.07,2,0,0.00046,1.2e-05,1.4e-06,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
676,17,2020.06.08,1,0,0.00046,1.2e-05,7e-07,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
682,17,2020.06.09,6,0,0.00047,1.2e-05,4.1e-06,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
685,17,2020.06.10,3,0,0.00047,1.2e-05,2.1e-06,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
692,17,2020.06.11,7,0,0.00048,1.2e-05,4.8e-06,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
706,17,2020.06.12,14,0,0.00049,1.2e-05,9.6e-06,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
723,17,2020.06.13,17,0,0.0005,1.2e-05,1.17e-05,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
728,17,2020.06.14,5,0,0.0005,1.2e-05,3.4e-06,0.0,83102,1455271,15105,Democratic,Democratic,Democratic,Democratic,96.34
