Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
1407,27,2020.04.12,1407,27,0.00077,1.5e-05,0.000765,1.47e-05,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
1426,27,2020.04.13,19,0,0.00078,1.5e-05,1.03e-05,0.0,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
1464,33,2020.04.14,38,6,0.0008,1.8e-05,2.07e-05,3.3e-06,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
1473,39,2020.04.15,9,6,0.0008,2.1e-05,4.9e-06,3.3e-06,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
1587,41,2020.04.16,114,2,0.00086,2.2e-05,6.2e-05,1.1e-06,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
1609,41,2020.04.17,22,0,0.00087,2.2e-05,1.2e-05,0.0,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
1655,43,2020.04.18,46,2,0.0009,2.3e-05,2.5e-05,1.1e-06,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
1668,44,2020.04.19,13,1,0.00091,2.4e-05,7.1e-06,5e-07,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
1672,45,2020.04.20,4,1,0.00091,2.4e-05,2.2e-06,5e-07,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
1736,48,2020.04.21,64,3,0.00094,2.6e-05,3.48e-05,1.6e-06,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
1766,51,2020.04.22,30,3,0.00096,2.8e-05,1.63e-05,1.6e-06,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
1836,54,2020.04.23,70,3,0.001,2.9e-05,3.81e-05,1.6e-06,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
1870,54,2020.04.24,34,0,0.00102,2.9e-05,1.85e-05,0.0,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
1887,56,2020.04.25,17,2,0.00103,3e-05,9.2e-06,1.1e-06,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
1897,56,2020.04.26,10,0,0.00103,3e-05,5.4e-06,0.0,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
1897,56,2020.04.27,0,0,0.00103,3e-05,0.0,0.0,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
1952,60,2020.04.28,55,4,0.00106,3.3e-05,2.99e-05,2.2e-06,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
1952,60,2020.04.29,0,0,0.00106,3.3e-05,0.0,0.0,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
1984,60,2020.04.30,32,0,0.00108,3.3e-05,1.74e-05,0.0,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
2015,63,2020.05.01,31,3,0.0011,3.4e-05,1.69e-05,1.6e-06,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
2061,64,2020.05.02,46,1,0.00112,3.5e-05,2.5e-05,5e-07,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
2061,64,2020.05.03,0,0,0.00112,3.5e-05,0.0,0.0,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
2106,64,2020.05.04,45,0,0.00115,3.5e-05,2.45e-05,0.0,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
2127,65,2020.05.05,21,1,0.00116,3.5e-05,1.14e-05,5e-07,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
2158,66,2020.05.06,31,1,0.00117,3.6e-05,1.69e-05,5e-07,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
2178,67,2020.05.07,20,1,0.00118,3.6e-05,1.09e-05,5e-07,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
2178,67,2020.05.08,0,0,0.00118,3.6e-05,0.0,0.0,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
2205,67,2020.05.09,27,0,0.0012,3.6e-05,1.47e-05,0.0,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
2230,67,2020.05.10,25,0,0.00121,3.6e-05,1.36e-05,0.0,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
2260,70,2020.05.11,30,3,0.00123,3.8e-05,1.63e-05,1.6e-06,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
2293,69,2020.05.12,33,-1,0.00125,3.8e-05,1.79e-05,-5e-07,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
2293,69,2020.05.13,0,0,0.00125,3.8e-05,0.0,0.0,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
2351,72,2020.05.14,58,3,0.00128,3.9e-05,3.15e-05,1.6e-06,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
2351,72,2020.05.15,0,0,0.00128,3.9e-05,0.0,0.0,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
2419,73,2020.05.16,68,1,0.00132,4e-05,3.7e-05,5e-07,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
2419,73,2020.05.17,0,0,0.00132,4e-05,0.0,0.0,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
2455,74,2020.05.18,36,1,0.00133,4e-05,1.96e-05,5e-07,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
2455,74,2020.05.19,0,0,0.00133,4e-05,0.0,0.0,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
2506,77,2020.05.20,51,3,0.00136,4.2e-05,2.77e-05,1.6e-06,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
2506,77,2020.05.21,0,0,0.00136,4.2e-05,0.0,0.0,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
2595,79,2020.05.22,89,2,0.00141,4.3e-05,4.84e-05,1.1e-06,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
2595,79,2020.05.23,0,0,0.00141,4.3e-05,0.0,0.0,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
2626,79,2020.05.24,31,0,0.00143,4.3e-05,1.69e-05,0.0,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
2626,79,2020.05.25,0,0,0.00143,4.3e-05,0.0,0.0,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
2626,79,2020.05.26,0,0,0.00143,4.3e-05,0.0,0.0,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
2699,81,2020.05.27,73,2,0.00147,4.4e-05,3.97e-05,1.1e-06,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
2770,82,2020.05.28,71,1,0.00151,4.5e-05,3.86e-05,5e-07,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
2770,82,2020.05.29,0,0,0.00151,4.5e-05,0.0,0.0,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
2803,82,2020.05.30,33,0,0.00152,4.5e-05,1.79e-05,0.0,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
2839,82,2020.05.31,36,0,0.00154,4.5e-05,1.96e-05,0.0,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
2839,82,2020.06.01,0,0,0.00154,4.5e-05,0.0,0.0,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
2933,83,2020.06.02,94,1,0.00159,4.5e-05,5.11e-05,5e-07,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
2933,83,2020.06.03,0,0,0.00159,4.5e-05,0.0,0.0,60999,1839106,129624,Republican,Republican,Republican,Republican,14.18
