Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
20852,720,2020.04.12,20852,720,0.00163,5.6e-05,0.0016275,5.62e-05,69187,12812508,142613,Democratic,Democratic,Democratic,Democratic,89.84
22025,798,2020.04.13,1173,78,0.00172,6.2e-05,9.16e-05,6.1e-06,69187,12812508,142613,Democratic,Democratic,Democratic,Democratic,89.84
23248,868,2020.04.14,1223,70,0.00181,6.8e-05,9.55e-05,5.5e-06,69187,12812508,142613,Democratic,Democratic,Democratic,Democratic,89.84
24593,949,2020.04.15,1345,81,0.00192,7.4e-05,0.000105,6.3e-06,69187,12812508,142613,Democratic,Democratic,Democratic,Democratic,89.84
25734,1072,2020.04.16,1141,123,0.00201,8.4e-05,8.91e-05,9.6e-06,69187,12812508,142613,Democratic,Democratic,Democratic,Democratic,89.84
27578,1132,2020.04.17,1844,60,0.00215,8.8e-05,0.0001439,4.7e-06,69187,12812508,142613,Democratic,Democratic,Democratic,Democratic,89.84
29160,1259,2020.04.18,1582,127,0.00228,9.8e-05,0.0001235,9.9e-06,69187,12812508,142613,Democratic,Democratic,Democratic,Democratic,89.84
30357,1290,2020.04.19,1197,31,0.00237,0.000101,9.34e-05,2.4e-06,69187,12812508,142613,Democratic,Democratic,Democratic,Democratic,89.84
31513,1349,2020.04.20,1156,59,0.00246,0.000105,9.02e-05,4.6e-06,69187,12812508,142613,Democratic,Democratic,Democratic,Democratic,89.84
33059,1468,2020.04.21,1546,119,0.00258,0.000115,0.0001207,9.3e-06,69187,12812508,142613,Democratic,Democratic,Democratic,Democratic,89.84
35107,1565,2020.04.22,2048,97,0.00274,0.000122,0.0001598,7.6e-06,69187,12812508,142613,Democratic,Democratic,Democratic,Democratic,89.84
36937,1688,2020.04.23,1830,123,0.00288,0.000132,0.0001428,9.6e-06,69187,12812508,142613,Democratic,Democratic,Democratic,Democratic,89.84
