Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
7928,448,2020.04.12,7928,448,0.00117,6.6e-05,0.0011684,6.6e-05,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
8359,483,2020.04.13,431,35,0.00123,7.1e-05,6.35e-05,5.2e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
8527,529,2020.04.14,168,46,0.00126,7.8e-05,2.48e-05,6.8e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
8960,567,2020.04.15,433,38,0.00132,8.4e-05,6.38e-05,5.6e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
9542,601,2020.04.16,582,34,0.00141,8.9e-05,8.58e-05,5e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
10154,637,2020.04.17,612,36,0.0015,9.4e-05,9.02e-05,5.3e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
10641,665,2020.04.18,487,28,0.00157,9.8e-05,7.18e-05,4.1e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
11211,702,2020.04.19,570,37,0.00165,0.000103,8.4e-05,5.5e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
11688,740,2020.04.20,477,38,0.00172,0.000109,7.03e-05,5.6e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
12097,790,2020.04.21,409,50,0.00178,0.000116,6.03e-05,7.4e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
12438,841,2020.04.22,341,51,0.00183,0.000124,5.03e-05,7.5e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
13039,879,2020.04.23,601,38,0.00192,0.00013,8.86e-05,5.6e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
13681,916,2020.04.24,642,37,0.00202,0.000135,9.46e-05,5.5e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
14399,958,2020.04.25,718,42,0.00212,0.000141,0.0001058,6.2e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
15012,993,2020.04.26,613,35,0.00221,0.000146,9.03e-05,5.2e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
15961,1036,2020.04.27,949,43,0.00235,0.000153,0.0001399,6.3e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
16588,1072,2020.04.28,627,36,0.00244,0.000158,9.24e-05,5.3e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
17182,1116,2020.04.29,594,44,0.00253,0.000164,8.75e-05,6.5e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
17835,1161,2020.04.30,653,45,0.00263,0.000171,9.62e-05,6.6e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
18630,1198,2020.05.01,795,37,0.00275,0.000177,0.0001172,5.5e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
19295,1242,2020.05.02,665,44,0.00284,0.000183,9.8e-05,6.5e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
19933,1278,2020.05.03,638,36,0.00294,0.000188,9.4e-05,5.3e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
20507,1317,2020.05.04,574,39,0.00302,0.000194,8.46e-05,5.7e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
21033,1356,2020.05.05,526,39,0.0031,0.0002,7.75e-05,5.7e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
21870,1400,2020.05.06,837,44,0.00322,0.000206,0.0001234,6.5e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
22503,1434,2020.05.07,633,34,0.00332,0.000211,9.33e-05,5e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
23146,1462,2020.05.08,643,28,0.00341,0.000215,9.48e-05,4.1e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
23732,1495,2020.05.09,586,33,0.0035,0.00022,8.64e-05,4.9e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
24126,1529,2020.05.10,394,34,0.00356,0.000225,5.81e-05,5e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
24627,1571,2020.05.11,501,42,0.00363,0.000232,7.38e-05,6.2e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
25127,1610,2020.05.12,500,39,0.0037,0.000237,7.37e-05,5.7e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
25473,1638,2020.05.13,346,28,0.00375,0.000241,5.1e-05,4.1e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
26053,1682,2020.05.14,580,44,0.00384,0.000248,8.55e-05,6.5e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
26656,1715,2020.05.15,603,33,0.00393,0.000253,8.89e-05,4.9e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
27280,1745,2020.05.16,624,30,0.00402,0.000257,9.2e-05,4.4e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
27778,1775,2020.05.17,498,30,0.00409,0.000262,7.34e-05,4.4e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
28255,1816,2020.05.18,477,41,0.00416,0.000268,7.03e-05,6e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
28705,1846,2020.05.19,450,30,0.00423,0.000272,6.63e-05,4.4e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
29274,1878,2020.05.20,569,32,0.00431,0.000277,8.39e-05,4.7e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
29936,1917,2020.05.21,662,39,0.00441,0.000283,9.76e-05,5.7e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
30409,1935,2020.05.22,473,18,0.00448,0.000285,6.97e-05,2.7e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
30901,1960,2020.05.23,492,25,0.00455,0.000289,7.25e-05,3.7e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
31376,1975,2020.05.24,475,15,0.00462,0.000291,7e-05,2.2e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
31715,1997,2020.05.25,339,22,0.00467,0.000294,5e-05,3.2e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
32078,2017,2020.05.26,363,20,0.00473,0.000297,5.35e-05,2.9e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
32437,2032,2020.05.27,359,15,0.00478,0.000299,5.29e-05,2.2e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
33068,2051,2020.05.28,631,19,0.00487,0.000302,9.3e-05,2.8e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
33558,2073,2020.05.29,490,22,0.00495,0.000306,7.22e-05,3.2e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
34211,2096,2020.05.30,653,23,0.00504,0.000309,9.62e-05,3.4e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
34574,2113,2020.05.31,363,17,0.0051,0.000311,5.35e-05,2.5e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
34830,2133,2020.06.01,256,20,0.00513,0.000314,3.77e-05,2.9e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
35237,2153,2020.06.02,407,20,0.00519,0.000317,6e-05,2.9e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
35712,2179,2020.06.03,475,26,0.00526,0.000321,7e-05,3.8e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
36096,2202,2020.06.04,384,23,0.00532,0.000325,5.66e-05,3.4e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
36578,2223,2020.06.05,482,21,0.00539,0.000328,7.1e-05,3.1e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
36997,2233,2020.06.06,419,10,0.00545,0.000329,6.17e-05,1.5e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
37397,2248,2020.06.07,400,15,0.00551,0.000331,5.89e-05,2.2e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
37623,2265,2020.06.08,226,17,0.00554,0.000334,3.33e-05,2.5e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
38033,2290,2020.06.09,410,25,0.00561,0.000337,6.04e-05,3.7e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
38337,2307,2020.06.10,304,17,0.00565,0.00034,4.48e-05,2.5e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
38748,2322,2020.06.11,411,15,0.00571,0.000342,6.06e-05,2.2e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
39146,2338,2020.06.12,398,16,0.00577,0.000345,5.87e-05,2.4e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
39543,2351,2020.06.13,397,13,0.00583,0.000346,5.85e-05,1.9e-06,57603,6785528,91903,Republican,Republican,Republican,Republican,73.83
