Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
1587,41,2020.04.12,1587,41,0.0005,1.3e-05,0.0004974,1.29e-05,61691,3190369,144669,Republican,Republican,Republican,Republican,22.05
1710,41,2020.04.13,123,0,0.00054,1.3e-05,3.86e-05,0.0,61691,3190369,144669,Republican,Republican,Republican,Republican,22.05
1899,49,2020.04.14,189,8,0.0006,1.5e-05,5.92e-05,2.5e-06,61691,3190369,144669,Republican,Republican,Republican,Republican,22.05
1995,53,2020.04.15,96,4,0.00063,1.7e-05,3.01e-05,1.3e-06,61691,3190369,144669,Republican,Republican,Republican,Republican,22.05
2141,60,2020.04.16,146,7,0.00067,1.9e-05,4.58e-05,2.2e-06,61691,3190369,144669,Republican,Republican,Republican,Republican,22.05
2332,64,2020.04.17,191,4,0.00073,2e-05,5.99e-05,1.3e-06,61691,3190369,144669,Republican,Republican,Republican,Republican,22.05
2513,74,2020.04.18,181,10,0.00079,2.3e-05,5.67e-05,3.1e-06,61691,3190369,144669,Republican,Republican,Republican,Republican,22.05
2902,75,2020.04.19,389,1,0.00091,2.4e-05,0.0001219,3e-07,61691,3190369,144669,Republican,Republican,Republican,Republican,22.05
3159,79,2020.04.20,257,4,0.00099,2.5e-05,8.06e-05,1.3e-06,61691,3190369,144669,Republican,Republican,Republican,Republican,22.05
3641,83,2020.04.21,482,4,0.00114,2.6e-05,0.0001511,1.3e-06,61691,3190369,144669,Republican,Republican,Republican,Republican,22.05
3748,90,2020.04.22,107,7,0.00117,2.8e-05,3.35e-05,2.2e-06,61691,3190369,144669,Republican,Republican,Republican,Republican,22.05
3924,96,2020.04.23,176,6,0.00123,3e-05,5.52e-05,1.9e-06,61691,3190369,144669,Republican,Republican,Republican,Republican,22.05
4445,107,2020.04.24,521,11,0.00139,3.4e-05,0.0001633,3.4e-06,61691,3190369,144669,Republican,Republican,Republican,Republican,22.05
5092,112,2020.04.25,647,5,0.0016,3.5e-05,0.0002028,1.6e-06,61691,3190369,144669,Republican,Republican,Republican,Republican,22.05
5476,118,2020.04.26,384,6,0.00172,3.7e-05,0.0001204,1.9e-06,61691,3190369,144669,Republican,Republican,Republican,Republican,22.05
5868,127,2020.04.27,392,9,0.00184,4e-05,0.0001229,2.8e-06,61691,3190369,144669,Republican,Republican,Republican,Republican,22.05
6376,136,2020.04.28,508,9,0.002,4.3e-05,0.0001592,2.8e-06,61691,3190369,144669,Republican,Republican,Republican,Republican,22.05
6843,148,2020.04.29,467,12,0.00214,4.6e-05,0.0001464,3.8e-06,61691,3190369,144669,Republican,Republican,Republican,Republican,22.05
7145,162,2020.04.30,302,14,0.00224,5.1e-05,9.47e-05,4.4e-06,61691,3190369,144669,Republican,Republican,Republican,Republican,22.05
7884,170,2020.05.01,739,8,0.00247,5.3e-05,0.0002316,2.5e-06,61691,3190369,144669,Republican,Republican,Republican,Republican,22.05
8643,175,2020.05.02,759,5,0.00271,5.5e-05,0.0002379,1.6e-06,61691,3190369,144669,Republican,Republican,Republican,Republican,22.05
9175,184,2020.05.03,532,9,0.00288,5.8e-05,0.0001668,2.8e-06,61691,3190369,144669,Republican,Republican,Republican,Republican,22.05
9703,188,2020.05.04,528,4,0.00304,5.9e-05,0.0001655,1.3e-06,61691,3190369,144669,Republican,Republican,Republican,Republican,22.05
10111,207,2020.05.05,408,19,0.00317,6.5e-05,0.0001279,6e-06,61691,3190369,144669,Republican,Republican,Republican,Republican,22.05
10404,219,2020.05.06,293,12,0.00326,6.9e-05,9.18e-05,3.8e-06,61691,3190369,144669,Republican,Republican,Republican,Republican,22.05
11059,231,2020.05.07,655,12,0.00347,7.2e-05,0.0002053,3.8e-06,61691,3190369,144669,Republican,Republican,Republican,Republican,22.05
11457,243,2020.05.08,398,12,0.00359,7.6e-05,0.0001248,3.8e-06,61691,3190369,144669,Republican,Republican,Republican,Republican,22.05
11671,252,2020.05.09,214,9,0.00366,7.9e-05,6.71e-05,2.8e-06,61691,3190369,144669,Republican,Republican,Republican,Republican,22.05
11959,265,2020.05.10,288,13,0.00375,8.3e-05,9.03e-05,4.1e-06,61691,3190369,144669,Republican,Republican,Republican,Republican,22.05
12373,271,2020.05.11,414,6,0.00388,8.5e-05,0.0001298,1.9e-06,61691,3190369,144669,Republican,Republican,Republican,Republican,22.05
12912,289,2020.05.12,539,18,0.00405,9.1e-05,0.0001689,5.6e-06,61691,3190369,144669,Republican,Republican,Republican,Republican,22.05
13289,306,2020.05.13,377,17,0.00417,9.6e-05,0.0001182,5.3e-06,61691,3190369,144669,Republican,Republican,Republican,Republican,22.05
