Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
1344,63,2020.04.12,1344,63,0.00046,2.1e-05,0.0004575,2.14e-05,62087,2937880,211317,Democratic,Republican,Republican,Republican,13.9
1390,61,2020.04.13,46,-2,0.00047,2.1e-05,1.57e-05,-7e-07,62087,2937880,211317,Democratic,Republican,Republican,Republican,13.9
1441,77,2020.04.14,51,16,0.00049,2.6e-05,1.74e-05,5.4e-06,62087,2937880,211317,Democratic,Republican,Republican,Republican,13.9
1504,73,2020.04.15,63,-4,0.00051,2.5e-05,2.14e-05,-1.4e-06,62087,2937880,211317,Democratic,Republican,Republican,Republican,13.9
1615,80,2020.04.16,111,7,0.00055,2.7e-05,3.78e-05,2.4e-06,62087,2937880,211317,Democratic,Republican,Republican,Republican,13.9
1730,84,2020.04.17,115,4,0.00059,2.9e-05,3.91e-05,1.4e-06,62087,2937880,211317,Democratic,Republican,Republican,Republican,13.9
1821,86,2020.04.18,91,2,0.00062,2.9e-05,3.1e-05,7e-07,62087,2937880,211317,Democratic,Republican,Republican,Republican,13.9
1905,93,2020.04.19,84,7,0.00065,3.2e-05,2.86e-05,2.4e-06,62087,2937880,211317,Democratic,Republican,Republican,Republican,13.9
2048,102,2020.04.20,143,9,0.0007,3.5e-05,4.87e-05,3.1e-06,62087,2937880,211317,Democratic,Republican,Republican,Republican,13.9
2164,109,2020.04.21,116,7,0.00074,3.7e-05,3.95e-05,2.4e-06,62087,2937880,211317,Democratic,Republican,Republican,Republican,13.9
2331,112,2020.04.22,167,3,0.00079,3.8e-05,5.68e-05,1e-06,62087,2937880,211317,Democratic,Republican,Republican,Republican,13.9
2721,113,2020.04.23,390,1,0.00093,3.8e-05,0.0001327,3e-07,62087,2937880,211317,Democratic,Republican,Republican,Republican,13.9
2959,118,2020.04.24,238,5,0.00101,4e-05,8.1e-05,1.7e-06,62087,2937880,211317,Democratic,Republican,Republican,Republican,13.9
3135,120,2020.04.25,176,2,0.00107,4.1e-05,5.99e-05,7e-07,62087,2937880,211317,Democratic,Republican,Republican,Republican,13.9
3277,121,2020.04.26,142,1,0.00112,4.1e-05,4.83e-05,3e-07,62087,2937880,211317,Democratic,Republican,Republican,Republican,13.9
3473,126,2020.04.27,196,5,0.00118,4.3e-05,6.67e-05,1.7e-06,62087,2937880,211317,Democratic,Republican,Republican,Republican,13.9
3652,127,2020.04.28,179,1,0.00124,4.3e-05,6.09e-05,3e-07,62087,2937880,211317,Democratic,Republican,Republican,Republican,13.9
3839,134,2020.04.29,187,7,0.00131,4.6e-05,6.37e-05,2.4e-06,62087,2937880,211317,Democratic,Republican,Republican,Republican,13.9
4413,134,2020.04.30,574,0,0.0015,4.6e-05,0.0001954,0.0,62087,2937880,211317,Democratic,Republican,Republican,Republican,13.9
4634,140,2020.05.01,221,6,0.00158,4.8e-05,7.52e-05,2e-06,62087,2937880,211317,Democratic,Republican,Republican,Republican,13.9
4885,142,2020.05.02,251,2,0.00166,4.8e-05,8.54e-05,7e-07,62087,2937880,211317,Democratic,Republican,Republican,Republican,13.9
