Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
1963,97,2020.04.12,1963,97,0.00044,2.2e-05,0.0004357,2.15e-05,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
2018,113,2020.04.13,55,16,0.00045,2.5e-05,1.22e-05,3.6e-06,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
2048,106,2020.04.14,30,-7,0.00045,2.4e-05,6.7e-06,-1.6e-06,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
2210,115,2020.04.15,162,9,0.00049,2.6e-05,3.6e-05,2e-06,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
2435,129,2020.04.16,225,14,0.00054,2.9e-05,4.99e-05,3.1e-06,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
2522,137,2020.04.17,87,8,0.00056,3e-05,1.93e-05,1.8e-06,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
2707,144,2020.04.18,185,7,0.0006,3.2e-05,4.11e-05,1.6e-06,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
2960,146,2020.04.19,253,2,0.00066,3.2e-05,5.61e-05,4e-07,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
3050,154,2020.04.20,90,8,0.00068,3.4e-05,2e-05,1.8e-06,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
3204,171,2020.04.21,154,17,0.00071,3.8e-05,3.42e-05,3.8e-06,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
3378,185,2020.04.22,174,14,0.00075,4.1e-05,3.86e-05,3.1e-06,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
3479,191,2020.04.23,101,6,0.00077,4.2e-05,2.24e-05,1.3e-06,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
3779,200,2020.04.24,300,9,0.00084,4.4e-05,6.66e-05,2e-06,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
3915,205,2020.04.25,136,5,0.00087,4.5e-05,3.02e-05,1.1e-06,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
4085,208,2020.04.26,170,3,0.00091,4.6e-05,3.77e-05,7e-07,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
4156,213,2020.04.27,71,5,0.00092,4.7e-05,1.58e-05,1.1e-06,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
4375,225,2020.04.28,219,12,0.00097,5e-05,4.86e-05,2.7e-06,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
4537,234,2020.04.29,162,9,0.00101,5.2e-05,3.6e-05,2e-06,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
4708,240,2020.04.30,171,6,0.00104,5.3e-05,3.8e-05,1.3e-06,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
4882,246,2020.05.01,174,6,0.00108,5.5e-05,3.86e-05,1.3e-06,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
4879,248,2020.05.02,-3,2,0.00108,5.5e-05,-7e-07,4e-07,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
5130,253,2020.05.03,251,5,0.00114,5.6e-05,5.57e-05,1.1e-06,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
5245,261,2020.05.04,115,8,0.00116,5.8e-05,2.55e-05,1.8e-06,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
5822,275,2020.05.05,577,14,0.00129,6.1e-05,0.0001281,3.1e-06,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
5934,283,2020.05.06,112,8,0.00132,6.3e-05,2.49e-05,1.8e-06,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
6129,294,2020.05.07,195,11,0.00136,6.5e-05,4.33e-05,2.4e-06,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
6288,298,2020.05.08,159,4,0.0014,6.6e-05,3.53e-05,9e-07,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
6440,304,2020.05.09,152,6,0.00143,6.7e-05,3.37e-05,1.3e-06,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
6440,304,2020.05.10,0,0,0.00143,6.7e-05,0.0,0.0,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
6677,311,2020.05.11,237,7,0.00148,6.9e-05,5.26e-05,1.6e-06,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
6853,321,2020.05.12,176,10,0.00152,7.1e-05,3.91e-05,2.2e-06,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
6853,321,2020.05.13,0,0,0.00152,7.1e-05,0.0,0.0,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
7225,328,2020.05.14,372,7,0.0016,7.3e-05,8.26e-05,1.6e-06,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
7444,332,2020.05.15,219,4,0.00165,7.4e-05,4.86e-05,9e-07,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
7688,334,2020.05.16,244,2,0.00171,7.4e-05,5.42e-05,4e-07,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
7688,334,2020.05.17,0,0,0.00171,7.4e-05,0.0,0.0,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
7935,346,2020.05.18,247,12,0.00176,7.7e-05,5.48e-05,2.7e-06,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
8069,366,2020.05.19,134,20,0.00179,8.1e-05,2.97e-05,4.4e-06,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
8167,376,2020.05.20,98,10,0.00181,8.3e-05,2.17e-05,2.2e-06,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
8286,386,2020.05.21,119,10,0.00184,8.6e-05,2.64e-05,2.2e-06,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
8426,391,2020.05.22,140,5,0.00187,8.7e-05,3.11e-05,1.1e-06,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
8571,391,2020.05.23,145,0,0.0019,8.7e-05,3.22e-05,0.0,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
8571,391,2020.05.24,0,0,0.0019,8.7e-05,0.0,0.0,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
8571,391,2020.05.25,0,0,0.0019,8.7e-05,0.0,0.0,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
8951,394,2020.05.26,380,3,0.00199,8.7e-05,8.43e-05,7e-07,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
9077,400,2020.05.27,126,6,0.00201,8.9e-05,2.8e-05,1.3e-06,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
9185,409,2020.05.28,108,9,0.00204,9.1e-05,2.4e-05,2e-06,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
9464,418,2020.05.29,279,9,0.0021,9.3e-05,6.19e-05,2e-06,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
9704,431,2020.05.30,240,13,0.00215,9.6e-05,5.33e-05,2.9e-06,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
9704,431,2020.05.31,0,0,0.00215,9.6e-05,0.0,0.0,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
10046,439,2020.06.01,342,8,0.00223,9.7e-05,7.59e-05,1.8e-06,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
10185,442,2020.06.02,139,3,0.00226,9.8e-05,3.08e-05,7e-07,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
10410,450,2020.06.03,225,8,0.00231,0.0001,4.99e-05,1.8e-06,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
10705,458,2020.06.04,295,8,0.00238,0.000102,6.55e-05,1.8e-06,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
10977,466,2020.06.05,272,8,0.00244,0.000103,6.04e-05,1.8e-06,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
11287,470,2020.06.06,310,4,0.0025,0.000104,6.88e-05,9e-07,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
11287,470,2020.06.07,0,0,0.0025,0.000104,0.0,0.0,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
11476,472,2020.06.08,189,2,0.00255,0.000105,4.19e-05,4e-07,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
11707,477,2020.06.09,231,5,0.0026,0.000106,5.13e-05,1.1e-06,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
11883,484,2020.06.10,176,7,0.00264,0.000107,3.91e-05,1.6e-06,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
11945,493,2020.06.11,62,9,0.00265,0.000109,1.38e-05,2e-06,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
12166,497,2020.06.12,221,4,0.0027,0.00011,4.9e-05,9e-07,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
12445,499,2020.06.13,279,2,0.00276,0.000111,6.19e-05,4e-07,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
12445,499,2020.06.14,0,0,0.00276,0.000111,0.0,0.0,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
12647,505,2020.06.15,202,6,0.00281,0.000112,4.48e-05,1.3e-06,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
12647,505,2020.06.16,0,0,0.00281,0.000112,0.0,0.0,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
12995,518,2020.06.17,348,13,0.00288,0.000115,7.72e-05,2.9e-06,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
13197,520,2020.06.18,202,2,0.00293,0.000115,4.48e-05,4e-07,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
13454,522,2020.06.19,257,2,0.00299,0.000116,5.7e-05,4e-07,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
13630,524,2020.06.20,176,2,0.00302,0.000116,3.91e-05,4e-07,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
13750,526,2020.06.21,120,2,0.00305,0.000117,2.66e-05,4e-07,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
13839,526,2020.06.22,89,0,0.00307,0.000117,1.98e-05,0.0,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
14141,537,2020.06.23,302,11,0.00314,0.000119,6.7e-05,2.4e-06,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
14363,538,2020.06.24,222,1,0.00319,0.000119,4.93e-05,2e-07,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
14617,546,2020.06.25,254,8,0.00324,0.000121,5.64e-05,1.8e-06,52295,4505836,99278,Democratic,Republican,Republican,Republican,45.38
