Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
20595,840,2020.04.12,20595,840,0.00442,0.00018,0.0044217,0.0001803,51073,4657757,109440,Democratic,Republican,Republican,Republican,42.55
21016,884,2020.04.13,421,44,0.00451,0.00019,9.04e-05,9.4e-06,51073,4657757,109440,Democratic,Republican,Republican,Republican,42.55
21518,1013,2020.04.14,502,129,0.00462,0.000217,0.0001078,2.77e-05,51073,4657757,109440,Democratic,Republican,Republican,Republican,42.55
21951,1103,2020.04.15,433,90,0.00471,0.000237,9.3e-05,1.93e-05,51073,4657757,109440,Democratic,Republican,Republican,Republican,42.55
22532,1156,2020.04.16,581,53,0.00484,0.000248,0.0001247,1.14e-05,51073,4657757,109440,Democratic,Republican,Republican,Republican,42.55
23118,1213,2020.04.17,586,57,0.00496,0.00026,0.0001258,1.22e-05,51073,4657757,109440,Democratic,Republican,Republican,Republican,42.55
23580,1267,2020.04.18,462,54,0.00506,0.000272,9.92e-05,1.16e-05,51073,4657757,109440,Democratic,Republican,Republican,Republican,42.55
23928,1296,2020.04.19,348,29,0.00514,0.000278,7.47e-05,6.2e-06,51073,4657757,109440,Democratic,Republican,Republican,Republican,42.55
24523,1328,2020.04.20,595,32,0.00526,0.000285,0.0001277,6.9e-06,51073,4657757,109440,Democratic,Republican,Republican,Republican,42.55
24854,1405,2020.04.21,331,77,0.00534,0.000302,7.11e-05,1.65e-05,51073,4657757,109440,Democratic,Republican,Republican,Republican,42.55
25258,1473,2020.04.22,404,68,0.00542,0.000316,8.67e-05,1.46e-05,51073,4657757,109440,Democratic,Republican,Republican,Republican,42.55
25739,1599,2020.04.23,481,126,0.00553,0.000343,0.0001033,2.71e-05,51073,4657757,109440,Democratic,Republican,Republican,Republican,42.55
26140,1660,2020.04.24,401,61,0.00561,0.000356,8.61e-05,1.31e-05,51073,4657757,109440,Democratic,Republican,Republican,Republican,42.55
26512,1707,2020.04.25,372,47,0.00569,0.000366,7.99e-05,1.01e-05,51073,4657757,109440,Democratic,Republican,Republican,Republican,42.55
26773,1729,2020.04.26,261,22,0.00575,0.000371,5.6e-05,4.7e-06,51073,4657757,109440,Democratic,Republican,Republican,Republican,42.55
27068,1740,2020.04.27,295,11,0.00581,0.000374,6.33e-05,2.4e-06,51073,4657757,109440,Democratic,Republican,Republican,Republican,42.55
27286,1801,2020.04.28,218,61,0.00586,0.000387,4.68e-05,1.31e-05,51073,4657757,109440,Democratic,Republican,Republican,Republican,42.55
27660,1845,2020.04.29,374,44,0.00594,0.000396,8.03e-05,9.4e-06,51073,4657757,109440,Democratic,Republican,Republican,Republican,42.55
28001,1905,2020.04.30,341,60,0.00601,0.000409,7.32e-05,1.29e-05,51073,4657757,109440,Democratic,Republican,Republican,Republican,42.55
28711,1970,2020.05.01,710,65,0.00616,0.000423,0.0001524,1.4e-05,51073,4657757,109440,Democratic,Republican,Republican,Republican,42.55
29140,1993,2020.05.02,429,23,0.00626,0.000428,9.21e-05,4.9e-06,51073,4657757,109440,Democratic,Republican,Republican,Republican,42.55
29340,2012,2020.05.03,200,19,0.0063,0.000432,4.29e-05,4.1e-06,51073,4657757,109440,Democratic,Republican,Republican,Republican,42.55
29673,2064,2020.05.04,333,52,0.00637,0.000443,7.15e-05,1.12e-05,51073,4657757,109440,Democratic,Republican,Republican,Republican,42.55
29996,2115,2020.05.05,323,51,0.00644,0.000454,6.93e-05,1.09e-05,51073,4657757,109440,Democratic,Republican,Republican,Republican,42.55
