Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
633,19,2020.04.12,633,19,0.00046,1.4e-05,0.0004646,1.39e-05,58924,1362359,79377,Democratic,Split,Democratic,Democratic,17.16
698,19,2020.04.13,65,0,0.00051,1.4e-05,4.77e-05,0.0,58924,1362359,79377,Democratic,Split,Democratic,Democratic,17.16
735,20,2020.04.14,37,1,0.00054,1.5e-05,2.72e-05,7e-07,58924,1362359,79377,Democratic,Split,Democratic,Democratic,17.16
770,24,2020.04.15,35,4,0.00057,1.8e-05,2.57e-05,2.9e-06,58924,1362359,79377,Democratic,Split,Democratic,Democratic,17.16
796,27,2020.04.16,26,3,0.00058,2e-05,1.91e-05,2.2e-06,58924,1362359,79377,Democratic,Split,Democratic,Democratic,17.16
827,29,2020.04.17,31,2,0.00061,2.1e-05,2.28e-05,1.5e-06,58924,1362359,79377,Democratic,Split,Democratic,Democratic,17.16
847,32,2020.04.18,20,3,0.00062,2.3e-05,1.47e-05,2.2e-06,58924,1362359,79377,Democratic,Split,Democratic,Democratic,17.16
867,34,2020.04.19,20,2,0.00064,2.5e-05,1.47e-05,1.5e-06,58924,1362359,79377,Democratic,Split,Democratic,Democratic,17.16
875,35,2020.04.20,8,1,0.00064,2.6e-05,5.9e-06,7e-07,58924,1362359,79377,Democratic,Split,Democratic,Democratic,17.16
888,36,2020.04.21,13,1,0.00065,2.6e-05,9.5e-06,7e-07,58924,1362359,79377,Democratic,Split,Democratic,Democratic,17.16
907,39,2020.04.22,19,3,0.00067,2.9e-05,1.39e-05,2.2e-06,58924,1362359,79377,Democratic,Split,Democratic,Democratic,17.16
937,44,2020.04.23,30,5,0.00069,3.2e-05,2.2e-05,3.7e-06,58924,1362359,79377,Democratic,Split,Democratic,Democratic,17.16
