Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
8225,236,2020.04.12,8225,236,0.00133,3.8e-05,0.0013315,3.82e-05,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
8936,262,2020.04.13,711,26,0.00145,4.2e-05,0.0001151,4.2e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
9472,302,2020.04.14,536,40,0.00153,4.9e-05,8.68e-05,6.5e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
10032,311,2020.04.15,560,9,0.00162,5e-05,9.07e-05,1.5e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
10784,319,2020.04.16,752,8,0.00175,5.2e-05,0.0001217,1.3e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
11572,334,2020.04.17,788,15,0.00187,5.4e-05,0.0001276,2.4e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
12326,421,2020.04.18,754,87,0.002,6.8e-05,0.0001221,1.41e-05,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
12847,461,2020.04.19,521,40,0.00208,7.5e-05,8.43e-05,6.5e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
13684,582,2020.04.20,837,121,0.00222,9.4e-05,0.0001355,1.96e-05,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
14193,652,2020.04.21,509,70,0.0023,0.000106,8.24e-05,1.13e-05,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
14775,698,2020.04.22,582,46,0.00239,0.000113,9.42e-05,7.4e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
15737,748,2020.04.23,962,50,0.00255,0.000121,0.0001557,8.1e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
16616,798,2020.04.24,879,50,0.00269,0.000129,0.0001423,8.1e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
17766,875,2020.04.25,1150,77,0.00288,0.000142,0.0001862,1.25e-05,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
18581,910,2020.04.26,815,35,0.00301,0.000147,0.0001319,5.7e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
19487,945,2020.04.27,906,35,0.00315,0.000153,0.0001467,5.7e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
20113,1016,2020.04.28,626,71,0.00326,0.000164,0.0001013,1.15e-05,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
20849,1078,2020.04.29,736,62,0.00338,0.000175,0.0001191,1e-05,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
21742,1140,2020.04.30,893,62,0.00352,0.000185,0.0001446,1e-05,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
23472,1080,2020.05.01,1730,-60,0.0038,0.000175,0.0002801,-9.7e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
24473,1251,2020.05.02,1001,171,0.00396,0.000203,0.000162,2.77e-05,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
25462,1281,2020.05.03,989,30,0.00412,0.000207,0.0001601,4.9e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
26408,1317,2020.05.04,946,36,0.00428,0.000213,0.0001531,5.8e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
27117,1390,2020.05.05,709,73,0.00439,0.000225,0.0001148,1.18e-05,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
28163,1437,2020.05.06,1046,47,0.00456,0.000233,0.0001693,7.6e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
29374,1503,2020.05.07,1211,66,0.00476,0.000243,0.000196,1.07e-05,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
30485,1560,2020.05.08,1111,57,0.00494,0.000253,0.0001799,9.2e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
31534,1614,2020.05.09,1049,54,0.0051,0.000261,0.0001698,8.7e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
32587,1644,2020.05.10,1053,30,0.00528,0.000266,0.0001705,4.9e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
33373,1683,2020.05.11,786,39,0.0054,0.000272,0.0001272,6.3e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
34061,1756,2020.05.12,688,73,0.00551,0.000284,0.0001114,1.18e-05,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
34812,1809,2020.05.13,751,53,0.00564,0.000293,0.0001216,8.6e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
35903,1866,2020.05.14,1091,57,0.00581,0.000302,0.0001766,9.2e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
36986,1911,2020.05.15,1083,45,0.00599,0.000309,0.0001753,7.3e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
37968,1957,2020.05.16,982,46,0.00615,0.000317,0.000159,7.4e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
38804,1992,2020.05.17,836,35,0.00628,0.000322,0.0001353,5.7e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
39762,2023,2020.05.18,958,31,0.00644,0.000327,0.0001551,5e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
41546,2081,2020.05.19,1784,58,0.00673,0.000337,0.0002888,9.4e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
42323,2123,2020.05.20,777,42,0.00685,0.000344,0.0001258,6.8e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
43531,2159,2020.05.21,1208,36,0.00705,0.00035,0.0001956,5.8e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
44424,2207,2020.05.22,893,48,0.00719,0.000357,0.0001446,7.8e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
45495,2243,2020.05.23,1071,36,0.00736,0.000363,0.0001734,5.8e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
46313,2277,2020.05.24,818,34,0.0075,0.000369,0.0001324,5.5e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
47152,2302,2020.05.25,839,25,0.00763,0.000373,0.0001358,4e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
47687,2333,2020.05.26,535,31,0.00772,0.000378,8.66e-05,5e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
48423,2392,2020.05.27,736,59,0.00784,0.000387,0.0001191,9.6e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
49709,2428,2020.05.28,1286,36,0.00805,0.000393,0.0002082,5.8e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
50988,2466,2020.05.29,1279,38,0.00825,0.000399,0.0002071,6.2e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
52015,2509,2020.05.30,1027,43,0.00842,0.000406,0.0001663,7e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
52778,2532,2020.05.31,763,23,0.00854,0.00041,0.0001235,3.7e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
53327,2552,2020.06.01,549,20,0.00863,0.000413,8.89e-05,3.2e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
54175,2597,2020.06.02,848,45,0.00877,0.00042,0.0001373,7.3e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
54982,2641,2020.06.03,807,44,0.0089,0.000428,0.0001306,7.1e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
55858,2668,2020.06.04,876,27,0.00904,0.000432,0.0001418,4.4e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
56770,2702,2020.06.05,912,34,0.00919,0.000437,0.0001476,5.5e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
57482,2740,2020.06.06,712,38,0.00931,0.000444,0.0001153,6.2e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
57973,2749,2020.06.07,491,9,0.00938,0.000445,7.95e-05,1.5e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
58404,2776,2020.06.08,431,27,0.00945,0.000449,6.98e-05,4.4e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
58904,2811,2020.06.09,500,35,0.00954,0.000455,8.09e-05,5.7e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
59465,2844,2020.06.10,561,33,0.00963,0.00046,9.08e-05,5.3e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
60197,2875,2020.06.11,732,31,0.00974,0.000465,0.0001185,5e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
60613,2900,2020.06.12,416,25,0.00981,0.000469,6.73e-05,4e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
61305,2926,2020.06.13,692,26,0.00992,0.000474,0.000112,4.2e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
61701,2939,2020.06.14,396,13,0.00999,0.000476,6.41e-05,2.1e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
62032,2947,2020.06.15,331,8,0.01004,0.000477,5.36e-05,1.3e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
62409,2982,2020.06.16,377,35,0.0101,0.000483,6.1e-05,5.7e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
62969,2996,2020.06.17,560,14,0.01019,0.000485,9.07e-05,2.3e-06,86738,6177224,25025,Republican,Democratic,Democratic,Democratic,246.84
