Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
25475,756,2020.04.12,25475,756,0.00362,0.000108,0.0036238,0.0001075,85843,7029917,20026,Republican,Democratic,Democratic,Democratic,351.03
26867,844,2020.04.13,1392,88,0.00382,0.00012,0.000198,1.25e-05,85843,7029917,20026,Republican,Democratic,Democratic,Democratic,351.03
28164,844,2020.04.14,1297,0,0.00401,0.00012,0.0001845,0.0,85843,7029917,20026,Republican,Democratic,Democratic,Democratic,351.03
29918,1108,2020.04.15,1754,264,0.00426,0.000158,0.0002495,3.76e-05,85843,7029917,20026,Republican,Democratic,Democratic,Democratic,351.03
32181,1108,2020.04.16,2263,0,0.00458,0.000158,0.0003219,0.0,85843,7029917,20026,Republican,Democratic,Democratic,Democratic,351.03
34402,1245,2020.04.17,2221,137,0.00489,0.000177,0.0003159,1.95e-05,85843,7029917,20026,Republican,Democratic,Democratic,Democratic,351.03
36372,1404,2020.04.18,1970,159,0.00517,0.0002,0.0002802,2.26e-05,85843,7029917,20026,Republican,Democratic,Democratic,Democratic,351.03
38077,1706,2020.04.19,1705,302,0.00542,0.000243,0.0002425,4.3e-05,85843,7029917,20026,Republican,Democratic,Democratic,Democratic,351.03
38077,1706,2020.04.20,0,0,0.00542,0.000243,0.0,0.0,85843,7029917,20026,Republican,Democratic,Democratic,Democratic,351.03
41199,1961,2020.04.21,3122,255,0.00586,0.000279,0.0004441,3.63e-05,85843,7029917,20026,Republican,Democratic,Democratic,Democratic,351.03
42944,2182,2020.04.22,1745,221,0.00611,0.00031,0.0002482,3.14e-05,85843,7029917,20026,Republican,Democratic,Democratic,Democratic,351.03
46023,2360,2020.04.23,3079,178,0.00655,0.000336,0.000438,2.53e-05,85843,7029917,20026,Republican,Democratic,Democratic,Democratic,351.03
50969,2556,2020.04.24,4946,196,0.00725,0.000364,0.0007036,2.79e-05,85843,7029917,20026,Republican,Democratic,Democratic,Democratic,351.03
53348,2730,2020.04.25,2379,174,0.00759,0.000388,0.0003384,2.48e-05,85843,7029917,20026,Republican,Democratic,Democratic,Democratic,351.03
54938,2899,2020.04.26,1590,169,0.00781,0.000412,0.0002262,2.4e-05,85843,7029917,20026,Republican,Democratic,Democratic,Democratic,351.03
56462,3003,2020.04.27,1524,104,0.00803,0.000427,0.0002168,1.48e-05,85843,7029917,20026,Republican,Democratic,Democratic,Democratic,351.03
58302,3153,2020.04.28,1840,150,0.00829,0.000449,0.0002617,2.13e-05,85843,7029917,20026,Republican,Democratic,Democratic,Democratic,351.03
60265,3405,2020.04.29,1963,252,0.00857,0.000484,0.0002792,3.58e-05,85843,7029917,20026,Republican,Democratic,Democratic,Democratic,351.03
62205,3562,2020.04.30,1940,157,0.00885,0.000507,0.000276,2.23e-05,85843,7029917,20026,Republican,Democratic,Democratic,Democratic,351.03
64311,3716,2020.05.01,2106,154,0.00915,0.000529,0.0002996,2.19e-05,85843,7029917,20026,Republican,Democratic,Democratic,Democratic,351.03
66263,3846,2020.05.02,1952,130,0.00943,0.000547,0.0002777,1.85e-05,85843,7029917,20026,Republican,Democratic,Democratic,Democratic,351.03
