Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
24244,1479,2020.04.12,24244,1479,0.00241,0.000147,0.0024058,0.0001468,59584,10077331,131945,Democratic,Democratic,Republican,Republican,76.37
25635,1602,2020.04.13,1391,123,0.00254,0.000159,0.000138,1.22e-05,59584,10077331,131945,Democratic,Democratic,Republican,Republican,76.37
27001,1768,2020.04.14,1366,166,0.00268,0.000175,0.0001356,1.65e-05,59584,10077331,131945,Democratic,Democratic,Republican,Republican,76.37
28059,1921,2020.04.15,1058,153,0.00278,0.000191,0.000105,1.52e-05,59584,10077331,131945,Democratic,Democratic,Republican,Republican,76.37
28809,1996,2020.04.16,750,75,0.00286,0.000198,7.44e-05,7.4e-06,59584,10077331,131945,Democratic,Democratic,Republican,Republican,76.37
30023,2227,2020.04.17,1214,231,0.00298,0.000221,0.0001205,2.29e-05,59584,10077331,131945,Democratic,Democratic,Republican,Republican,76.37
30791,2308,2020.04.18,768,81,0.00306,0.000229,7.62e-05,8e-06,59584,10077331,131945,Democratic,Democratic,Republican,Republican,76.37
31424,2391,2020.04.19,633,83,0.00312,0.000237,6.28e-05,8.2e-06,59584,10077331,131945,Democratic,Democratic,Republican,Republican,76.37
32000,2468,2020.04.20,576,77,0.00318,0.000245,5.72e-05,7.6e-06,59584,10077331,131945,Democratic,Democratic,Republican,Republican,76.37
32667,2575,2020.04.21,667,107,0.00324,0.000256,6.62e-05,1.06e-05,59584,10077331,131945,Democratic,Democratic,Republican,Republican,76.37
33966,2813,2020.04.22,1299,238,0.00337,0.000279,0.0001289,2.36e-05,59584,10077331,131945,Democratic,Democratic,Republican,Republican,76.37
35296,2977,2020.04.23,1330,164,0.0035,0.000295,0.000132,1.63e-05,59584,10077331,131945,Democratic,Democratic,Republican,Republican,76.37
36641,3085,2020.04.24,1345,108,0.00364,0.000306,0.0001335,1.07e-05,59584,10077331,131945,Democratic,Democratic,Republican,Republican,76.37
37074,3155,2020.04.25,433,70,0.00368,0.000313,4.3e-05,6.9e-06,59584,10077331,131945,Democratic,Democratic,Republican,Republican,76.37
37778,3315,2020.04.26,704,160,0.00375,0.000329,6.99e-05,1.59e-05,59584,10077331,131945,Democratic,Democratic,Republican,Republican,76.37
38210,3407,2020.04.27,432,92,0.00379,0.000338,4.29e-05,9.1e-06,59584,10077331,131945,Democratic,Democratic,Republican,Republican,76.37
39262,3568,2020.04.28,1052,161,0.0039,0.000354,0.0001044,1.6e-05,59584,10077331,131945,Democratic,Democratic,Republican,Republican,76.37
