Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
1621,70,2020.04.12,1621,70,0.00028,1.2e-05,0.0002841,1.23e-05,74593,5706494,194158,Democratic,Democratic,Republican,Democratic,29.39
1621,70,2020.04.13,0,0,0.00028,1.2e-05,0.0,0.0,74593,5706494,194158,Democratic,Democratic,Republican,Democratic,29.39
1695,79,2020.04.14,74,9,0.0003,1.4e-05,1.3e-05,1.6e-06,74593,5706494,194158,Democratic,Democratic,Republican,Democratic,29.39
1809,87,2020.04.15,114,8,0.00032,1.5e-05,2e-05,1.4e-06,74593,5706494,194158,Democratic,Democratic,Republican,Democratic,29.39
1809,87,2020.04.16,0,0,0.00032,1.5e-05,0.0,0.0,74593,5706494,194158,Democratic,Democratic,Republican,Democratic,29.39
2070,111,2020.04.17,261,24,0.00036,1.9e-05,4.57e-05,4.2e-06,74593,5706494,194158,Democratic,Democratic,Republican,Democratic,29.39
2209,121,2020.04.18,139,10,0.00039,2.1e-05,2.44e-05,1.8e-06,74593,5706494,194158,Democratic,Democratic,Republican,Democratic,29.39
2356,134,2020.04.19,147,13,0.00041,2.3e-05,2.58e-05,2.3e-06,74593,5706494,194158,Democratic,Democratic,Republican,Democratic,29.39
2470,143,2020.04.20,114,9,0.00043,2.5e-05,2e-05,1.6e-06,74593,5706494,194158,Democratic,Democratic,Republican,Democratic,29.39
2567,160,2020.04.21,97,17,0.00045,2.8e-05,1.7e-05,3e-06,74593,5706494,194158,Democratic,Democratic,Republican,Democratic,29.39
2722,179,2020.04.22,155,19,0.00048,3.1e-05,2.72e-05,3.3e-06,74593,5706494,194158,Democratic,Democratic,Republican,Democratic,29.39
2942,200,2020.04.23,220,21,0.00052,3.5e-05,3.86e-05,3.7e-06,74593,5706494,194158,Democratic,Democratic,Republican,Democratic,29.39
3185,221,2020.04.24,243,21,0.00056,3.9e-05,4.26e-05,3.7e-06,74593,5706494,194158,Democratic,Democratic,Republican,Democratic,29.39
3446,244,2020.04.25,261,23,0.0006,4.3e-05,4.57e-05,4e-06,74593,5706494,194158,Democratic,Democratic,Republican,Democratic,29.39
3602,272,2020.04.26,156,28,0.00063,4.8e-05,2.73e-05,4.9e-06,74593,5706494,194158,Democratic,Democratic,Republican,Democratic,29.39
3811,286,2020.04.27,209,14,0.00067,5e-05,3.66e-05,2.5e-06,74593,5706494,194158,Democratic,Democratic,Republican,Democratic,29.39
4181,301,2020.04.28,370,15,0.00073,5.3e-05,6.48e-05,2.6e-06,74593,5706494,194158,Democratic,Democratic,Republican,Democratic,29.39
4644,319,2020.04.29,463,18,0.00081,5.6e-05,8.11e-05,3.2e-06,74593,5706494,194158,Democratic,Democratic,Republican,Democratic,29.39
5136,343,2020.04.30,492,24,0.0009,6e-05,8.62e-05,4.2e-06,74593,5706494,194158,Democratic,Democratic,Republican,Democratic,29.39
5730,370,2020.05.01,594,27,0.001,6.5e-05,0.0001041,4.7e-06,74593,5706494,194158,Democratic,Democratic,Republican,Democratic,29.39
6232,394,2020.05.02,502,24,0.00109,6.9e-05,8.8e-05,4.2e-06,74593,5706494,194158,Democratic,Democratic,Republican,Democratic,29.39
6663,418,2020.05.03,431,24,0.00117,7.3e-05,7.55e-05,4.2e-06,74593,5706494,194158,Democratic,Democratic,Republican,Democratic,29.39
7234,427,2020.05.04,571,9,0.00127,7.5e-05,0.0001001,1.6e-06,74593,5706494,194158,Democratic,Democratic,Republican,Democratic,29.39
7851,455,2020.05.05,617,28,0.00138,8e-05,0.0001081,4.9e-06,74593,5706494,194158,Democratic,Democratic,Republican,Democratic,29.39
