Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
2781,96,2020.04.12,2781,96,0.00094,3.2e-05,0.0009391,3.24e-05,45792,2961279,116715,Republican,Republican,Republican,Republican,25.37
2942,98,2020.04.13,161,2,0.00099,3.3e-05,5.44e-05,7e-07,45792,2961279,116715,Republican,Republican,Republican,Republican,25.37
3087,111,2020.04.14,145,13,0.00104,3.7e-05,4.9e-05,4.4e-06,45792,2961279,116715,Republican,Republican,Republican,Republican,25.37
3360,122,2020.04.15,273,11,0.00113,4.1e-05,9.22e-05,3.7e-06,45792,2961279,116715,Republican,Republican,Republican,Republican,25.37
3624,129,2020.04.16,264,7,0.00122,4.4e-05,8.92e-05,2.4e-06,45792,2961279,116715,Republican,Republican,Republican,Republican,25.37
3793,140,2020.04.17,169,11,0.00128,4.7e-05,5.71e-05,3.7e-06,45792,2961279,116715,Republican,Republican,Republican,Republican,25.37
3974,152,2020.04.18,181,12,0.00134,5.1e-05,6.11e-05,4.1e-06,45792,2961279,116715,Republican,Republican,Republican,Republican,25.37
4274,159,2020.04.19,300,7,0.00144,5.4e-05,0.0001013,2.4e-06,45792,2961279,116715,Republican,Republican,Republican,Republican,25.37
4512,169,2020.04.20,238,10,0.00152,5.7e-05,8.04e-05,3.4e-06,45792,2961279,116715,Republican,Republican,Republican,Republican,25.37
4716,183,2020.04.21,204,14,0.00159,6.2e-05,6.89e-05,4.7e-06,45792,2961279,116715,Republican,Republican,Republican,Republican,25.37
4894,193,2020.04.22,178,10,0.00165,6.5e-05,6.01e-05,3.4e-06,45792,2961279,116715,Republican,Republican,Republican,Republican,25.37
5153,201,2020.04.23,259,8,0.00174,6.8e-05,8.75e-05,2.7e-06,45792,2961279,116715,Republican,Republican,Republican,Republican,25.37
5434,209,2020.04.24,281,8,0.00184,7.1e-05,9.49e-05,2.7e-06,45792,2961279,116715,Republican,Republican,Republican,Republican,25.37
5718,221,2020.04.25,284,12,0.00193,7.5e-05,9.59e-05,4.1e-06,45792,2961279,116715,Republican,Republican,Republican,Republican,25.37
5911,227,2020.04.26,193,6,0.002,7.7e-05,6.52e-05,2e-06,45792,2961279,116715,Republican,Republican,Republican,Republican,25.37
6094,229,2020.04.27,183,2,0.00206,7.7e-05,6.18e-05,7e-07,45792,2961279,116715,Republican,Republican,Republican,Republican,25.37
6342,239,2020.04.28,248,10,0.00214,8.1e-05,8.37e-05,3.4e-06,45792,2961279,116715,Republican,Republican,Republican,Republican,25.37
6569,250,2020.04.29,227,11,0.00222,8.4e-05,7.67e-05,3.7e-06,45792,2961279,116715,Republican,Republican,Republican,Republican,25.37
6815,261,2020.04.30,246,11,0.0023,8.8e-05,8.31e-05,3.7e-06,45792,2961279,116715,Republican,Republican,Republican,Republican,25.37
7212,281,2020.05.01,397,20,0.00244,9.5e-05,0.0001341,6.8e-06,45792,2961279,116715,Republican,Republican,Republican,Republican,25.37
7441,291,2020.05.02,229,10,0.00251,9.8e-05,7.73e-05,3.4e-06,45792,2961279,116715,Republican,Republican,Republican,Republican,25.37
7550,303,2020.05.03,109,12,0.00255,0.000102,3.68e-05,4.1e-06,45792,2961279,116715,Republican,Republican,Republican,Republican,25.37
7877,310,2020.05.04,327,7,0.00266,0.000105,0.0001104,2.4e-06,45792,2961279,116715,Republican,Republican,Republican,Republican,25.37
8207,342,2020.05.05,330,32,0.00277,0.000115,0.0001114,1.08e-05,45792,2961279,116715,Republican,Republican,Republican,Republican,25.37
8424,374,2020.05.06,217,32,0.00284,0.000126,7.33e-05,1.08e-05,45792,2961279,116715,Republican,Republican,Republican,Republican,25.37
8686,396,2020.05.07,262,22,0.00293,0.000134,8.85e-05,7.4e-06,45792,2961279,116715,Republican,Republican,Republican,Republican,25.37
9090,409,2020.05.08,404,13,0.00307,0.000138,0.0001364,4.4e-06,45792,2961279,116715,Republican,Republican,Republican,Republican,25.37
9378,421,2020.05.09,288,12,0.00317,0.000142,9.73e-05,4.1e-06,45792,2961279,116715,Republican,Republican,Republican,Republican,25.37
9501,430,2020.05.10,123,9,0.00321,0.000145,4.15e-05,3e-06,45792,2961279,116715,Republican,Republican,Republican,Republican,25.37
