Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
4352,120,2020.04.12,4352,120,0.00071,1.9e-05,0.0007071,1.95e-05,57409,6154913,171950,Republican,Republican,Republican,Republican,35.79
4568,128,2020.04.13,216,8,0.00074,2.1e-05,3.51e-05,1.3e-06,57409,6154913,171950,Republican,Republican,Republican,Republican,35.79
4815,151,2020.04.14,247,23,0.00078,2.5e-05,4.01e-05,3.7e-06,57409,6154913,171950,Republican,Republican,Republican,Republican,35.79
4876,154,2020.04.15,61,3,0.00079,2.5e-05,9.9e-06,5e-07,57409,6154913,171950,Republican,Republican,Republican,Republican,35.79
5265,170,2020.04.16,389,16,0.00086,2.8e-05,6.32e-05,2.6e-06,57409,6154913,171950,Republican,Republican,Republican,Republican,35.79
5469,186,2020.04.17,204,16,0.00089,3e-05,3.31e-05,2.6e-06,57409,6154913,171950,Republican,Republican,Republican,Republican,35.79
5652,197,2020.04.18,183,11,0.00092,3.2e-05,2.97e-05,1.8e-06,57409,6154913,171950,Republican,Republican,Republican,Republican,35.79
5808,199,2020.04.19,156,2,0.00094,3.2e-05,2.53e-05,3e-07,57409,6154913,171950,Republican,Republican,Republican,Republican,35.79
5953,210,2020.04.20,145,11,0.00097,3.4e-05,2.36e-05,1.8e-06,57409,6154913,171950,Republican,Republican,Republican,Republican,35.79
6162,226,2020.04.21,209,16,0.001,3.7e-05,3.4e-05,2.6e-06,57409,6154913,171950,Republican,Republican,Republican,Republican,35.79
6376,241,2020.04.22,214,15,0.00104,3.9e-05,3.48e-05,2.4e-06,57409,6154913,171950,Republican,Republican,Republican,Republican,35.79
6593,253,2020.04.23,217,12,0.00107,4.1e-05,3.53e-05,1.9e-06,57409,6154913,171950,Republican,Republican,Republican,Republican,35.79
6867,271,2020.04.24,274,18,0.00112,4.4e-05,4.45e-05,2.9e-06,57409,6154913,171950,Republican,Republican,Republican,Republican,35.79
7013,279,2020.04.25,146,8,0.00114,4.5e-05,2.37e-05,1.3e-06,57409,6154913,171950,Republican,Republican,Republican,Republican,35.79
7193,281,2020.04.26,180,2,0.00117,4.6e-05,2.92e-05,3e-07,57409,6154913,171950,Republican,Republican,Republican,Republican,35.79
7377,343,2020.04.27,184,62,0.0012,5.6e-05,2.99e-05,1.01e-05,57409,6154913,171950,Republican,Republican,Republican,Republican,35.79
7516,330,2020.04.28,139,-13,0.00122,5.4e-05,2.26e-05,-2.1e-06,57409,6154913,171950,Republican,Republican,Republican,Republican,35.79
7761,339,2020.04.29,245,9,0.00126,5.5e-05,3.98e-05,1.5e-06,57409,6154913,171950,Republican,Republican,Republican,Republican,35.79
7953,351,2020.04.30,192,12,0.00129,5.7e-05,3.12e-05,1.9e-06,57409,6154913,171950,Republican,Republican,Republican,Republican,35.79
8284,361,2020.05.01,331,10,0.00135,5.9e-05,5.38e-05,1.6e-06,57409,6154913,171950,Republican,Republican,Republican,Republican,35.79
