Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
387,6,2020.04.12,387,6,0.00036,6e-06,0.0003569,5.5e-06,57153,1084225,311538,Democratic,Republican,Republican,Republican,3.48
394,7,2020.04.13,7,1,0.00036,6e-06,6.5e-06,9e-07,57153,1084225,311538,Democratic,Republican,Republican,Republican,3.48
399,7,2020.04.14,5,0,0.00037,6e-06,4.6e-06,0.0,57153,1084225,311538,Democratic,Republican,Republican,Republican,3.48
404,7,2020.04.15,5,0,0.00037,6e-06,4.6e-06,0.0,57153,1084225,311538,Democratic,Republican,Republican,Republican,3.48
415,7,2020.04.16,11,0,0.00038,6e-06,1.01e-05,0.0,57153,1084225,311538,Democratic,Republican,Republican,Republican,3.48
422,8,2020.04.17,7,1,0.00039,7e-06,6.5e-06,9e-07,57153,1084225,311538,Democratic,Republican,Republican,Republican,3.48
426,10,2020.04.18,4,2,0.00039,9e-06,3.7e-06,1.8e-06,57153,1084225,311538,Democratic,Republican,Republican,Republican,3.48
433,10,2020.04.19,7,0,0.0004,9e-06,6.5e-06,0.0,57153,1084225,311538,Democratic,Republican,Republican,Republican,3.48
433,10,2020.04.20,0,0,0.0004,9e-06,0.0,0.0,57153,1084225,311538,Democratic,Republican,Republican,Republican,3.48
437,12,2020.04.21,4,2,0.0004,1.1e-05,3.7e-06,1.8e-06,57153,1084225,311538,Democratic,Republican,Republican,Republican,3.48
439,14,2020.04.22,2,2,0.0004,1.3e-05,1.8e-06,1.8e-06,57153,1084225,311538,Democratic,Republican,Republican,Republican,3.48
442,14,2020.04.23,3,0,0.00041,1.3e-05,2.8e-06,0.0,57153,1084225,311538,Democratic,Republican,Republican,Republican,3.48
444,14,2020.04.24,2,0,0.00041,1.3e-05,1.8e-06,0.0,57153,1084225,311538,Democratic,Republican,Republican,Republican,3.48
445,14,2020.04.25,1,0,0.00041,1.3e-05,9e-07,0.0,57153,1084225,311538,Democratic,Republican,Republican,Republican,3.48
448,14,2020.04.26,3,0,0.00041,1.3e-05,2.8e-06,0.0,57153,1084225,311538,Democratic,Republican,Republican,Republican,3.48
449,14,2020.04.27,1,0,0.00041,1.3e-05,9e-07,0.0,57153,1084225,311538,Democratic,Republican,Republican,Republican,3.48
451,15,2020.04.28,2,1,0.00042,1.4e-05,1.8e-06,9e-07,57153,1084225,311538,Democratic,Republican,Republican,Republican,3.48
451,16,2020.04.29,0,1,0.00042,1.5e-05,0.0,9e-07,57153,1084225,311538,Democratic,Republican,Republican,Republican,3.48
453,16,2020.04.30,2,0,0.00042,1.5e-05,1.8e-06,0.0,57153,1084225,311538,Democratic,Republican,Republican,Republican,3.48
453,16,2020.05.01,0,0,0.00042,1.5e-05,0.0,0.0,57153,1084225,311538,Democratic,Republican,Republican,Republican,3.48
455,16,2020.05.02,2,0,0.00042,1.5e-05,1.8e-06,0.0,57153,1084225,311538,Democratic,Republican,Republican,Republican,3.48
455,16,2020.05.03,0,0,0.00042,1.5e-05,0.0,0.0,57153,1084225,311538,Democratic,Republican,Republican,Republican,3.48
457,16,2020.05.04,2,0,0.00042,1.5e-05,1.8e-06,0.0,57153,1084225,311538,Democratic,Republican,Republican,Republican,3.48
456,16,2020.05.05,-1,0,0.00042,1.5e-05,-9e-07,0.0,57153,1084225,311538,Democratic,Republican,Republican,Republican,3.48
456,16,2020.05.06,0,0,0.00042,1.5e-05,0.0,0.0,57153,1084225,311538,Democratic,Republican,Republican,Republican,3.48
456,16,2020.05.07,0,0,0.00042,1.5e-05,0.0,0.0,57153,1084225,311538,Democratic,Republican,Republican,Republican,3.48
458,16,2020.05.08,2,0,0.00042,1.5e-05,1.8e-06,0.0,57153,1084225,311538,Democratic,Republican,Republican,Republican,3.48
458,16,2020.05.09,0,0,0.00042,1.5e-05,0.0,0.0,57153,1084225,311538,Democratic,Republican,Republican,Republican,3.48
458,16,2020.05.10,0,0,0.00042,1.5e-05,0.0,0.0,57153,1084225,311538,Democratic,Republican,Republican,Republican,3.48
459,16,2020.05.11,1,0,0.00042,1.5e-05,9e-07,0.0,57153,1084225,311538,Democratic,Republican,Republican,Republican,3.48
461,16,2020.05.12,2,0,0.00043,1.5e-05,1.8e-06,0.0,57153,1084225,311538,Democratic,Republican,Republican,Republican,3.48
462,16,2020.05.13,1,0,0.00043,1.5e-05,9e-07,0.0,57153,1084225,311538,Democratic,Republican,Republican,Republican,3.48
462,16,2020.05.14,0,0,0.00043,1.5e-05,0.0,0.0,57153,1084225,311538,Democratic,Republican,Republican,Republican,3.48
466,16,2020.05.15,4,0,0.00043,1.5e-05,3.7e-06,0.0,57153,1084225,311538,Democratic,Republican,Republican,Republican,3.48
468,16,2020.05.16,2,0,0.00043,1.5e-05,1.8e-06,0.0,57153,1084225,311538,Democratic,Republican,Republican,Republican,3.48
468,16,2020.05.17,0,0,0.00043,1.5e-05,0.0,0.0,57153,1084225,311538,Democratic,Republican,Republican,Republican,3.48
