Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
791,17,2020.04.12,791,17,0.0004,9e-06,0.0004033,8.7e-06,63229,1961504,197555,Republican,Split,Republican,Republican,9.92
814,17,2020.04.13,23,0,0.00041,9e-06,1.17e-05,0.0,63229,1961504,197555,Republican,Split,Republican,Republican,9.92
897,20,2020.04.14,83,3,0.00046,1e-05,4.23e-05,1.5e-06,63229,1961504,197555,Republican,Split,Republican,Republican,9.92
901,20,2020.04.15,4,0,0.00046,1e-05,2e-06,0.0,63229,1961504,197555,Republican,Split,Republican,Republican,9.92
952,21,2020.04.16,51,1,0.00049,1.1e-05,2.6e-05,5e-07,63229,1961504,197555,Republican,Split,Republican,Republican,9.92
1066,24,2020.04.17,114,3,0.00054,1.2e-05,5.81e-05,1.5e-06,63229,1961504,197555,Republican,Split,Republican,Republican,9.92
1249,24,2020.04.18,183,0,0.00064,1.2e-05,9.33e-05,0.0,63229,1961504,197555,Republican,Split,Republican,Republican,9.92
1474,28,2020.04.19,225,4,0.00075,1.4e-05,0.0001147,2e-06,63229,1961504,197555,Republican,Split,Republican,Republican,9.92
1648,33,2020.04.20,174,5,0.00084,1.7e-05,8.87e-05,2.5e-06,63229,1961504,197555,Republican,Split,Republican,Republican,9.92
1685,33,2020.04.21,37,0,0.00086,1.7e-05,1.89e-05,0.0,63229,1961504,197555,Republican,Split,Republican,Republican,9.92
1813,38,2020.04.22,128,5,0.00092,1.9e-05,6.53e-05,2.5e-06,63229,1961504,197555,Republican,Split,Republican,Republican,9.92
2202,47,2020.04.23,389,9,0.00112,2.4e-05,0.0001983,4.6e-06,63229,1961504,197555,Republican,Split,Republican,Republican,9.92
2424,50,2020.04.24,222,3,0.00124,2.5e-05,0.0001132,1.5e-06,63229,1961504,197555,Republican,Split,Republican,Republican,9.92
2719,50,2020.04.25,295,0,0.00139,2.5e-05,0.0001504,0.0,63229,1961504,197555,Republican,Split,Republican,Republican,9.92
3028,56,2020.04.26,309,6,0.00154,2.9e-05,0.0001575,3.1e-06,63229,1961504,197555,Republican,Split,Republican,Republican,9.92
3358,56,2020.04.27,330,0,0.00171,2.9e-05,0.0001682,0.0,63229,1961504,197555,Republican,Split,Republican,Republican,9.92
3517,56,2020.04.28,159,0,0.00179,2.9e-05,8.11e-05,0.0,63229,1961504,197555,Republican,Split,Republican,Republican,9.92
3851,56,2020.04.29,334,0,0.00196,2.9e-05,0.0001703,0.0,63229,1961504,197555,Republican,Split,Republican,Republican,9.92
