Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
2836,112,2020.04.12,2836,112,0.00091,3.6e-05,0.0009135,3.61e-05,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
2990,114,2020.04.13,154,2,0.00096,3.7e-05,4.96e-05,6e-07,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
3134,126,2020.04.14,144,12,0.00101,4.1e-05,4.64e-05,3.9e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
3211,131,2020.04.15,77,5,0.00103,4.2e-05,2.48e-05,1.6e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
3214,137,2020.04.16,3,6,0.00104,4.4e-05,1e-06,1.9e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
3524,142,2020.04.17,310,5,0.00114,4.6e-05,9.99e-05,1.6e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
3626,151,2020.04.18,102,9,0.00117,4.9e-05,3.29e-05,2.9e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
3728,158,2020.04.19,102,7,0.0012,5.1e-05,3.29e-05,2.3e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
3830,159,2020.04.20,102,1,0.00123,5.1e-05,3.29e-05,3e-07,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
3937,163,2020.04.21,107,4,0.00127,5.3e-05,3.45e-05,1.3e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
4081,172,2020.04.22,144,9,0.00131,5.5e-05,4.64e-05,2.9e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
4208,195,2020.04.23,127,23,0.00136,6.3e-05,4.09e-05,7.4e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
4398,197,2020.04.24,190,2,0.00142,6.3e-05,6.12e-05,6e-07,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
4539,205,2020.04.25,141,8,0.00146,6.6e-05,4.54e-05,2.6e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
4734,206,2020.04.26,195,1,0.00152,6.6e-05,6.28e-05,3e-07,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
4700,206,2020.04.27,-34,0,0.00151,6.6e-05,-1.1e-05,0.0,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
4821,219,2020.04.28,121,13,0.00155,7.1e-05,3.9e-05,4.2e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
4934,230,2020.04.29,113,11,0.00159,7.4e-05,3.64e-05,3.5e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
5053,243,2020.04.30,119,13,0.00163,7.8e-05,3.83e-05,4.2e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
5248,246,2020.05.01,195,3,0.00169,7.9e-05,6.28e-05,1e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
5389,255,2020.05.02,141,9,0.00174,8.2e-05,4.54e-05,2.9e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
5472,258,2020.05.03,83,3,0.00176,8.3e-05,2.67e-05,1e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
5630,265,2020.05.04,158,7,0.00181,8.5e-05,5.09e-05,2.3e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
5660,270,2020.05.05,30,5,0.00182,8.7e-05,9.7e-06,1.6e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
5741,289,2020.05.06,81,19,0.00185,9.3e-05,2.61e-05,6.1e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
5855,297,2020.05.07,114,8,0.00189,9.6e-05,3.67e-05,2.6e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
5920,294,2020.05.08,65,-3,0.00191,9.5e-05,2.09e-05,-1e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
6171,313,2020.05.09,251,19,0.00199,0.000101,8.08e-05,6.1e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
6120,310,2020.05.10,-51,-3,0.00197,0.0001,-1.64e-05,-1e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
6152,312,2020.05.11,32,2,0.00198,0.0001,1.03e-05,6e-07,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
6313,321,2020.05.12,161,9,0.00203,0.000103,5.19e-05,2.9e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
6476,331,2020.05.13,163,10,0.00209,0.000107,5.25e-05,3.2e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
6504,333,2020.05.14,28,2,0.00209,0.000107,9e-06,6e-07,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
6733,343,2020.05.15,229,10,0.00217,0.00011,7.38e-05,3.2e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
6813,347,2020.05.16,80,4,0.00219,0.000112,2.58e-05,1.3e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
6949,350,2020.05.17,136,3,0.00224,0.000113,4.38e-05,1e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
7061,358,2020.05.18,112,8,0.00227,0.000115,3.61e-05,2.6e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
7096,358,2020.05.19,35,0,0.00229,0.000115,1.13e-05,0.0,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
7388,377,2020.05.20,292,19,0.00238,0.000121,9.41e-05,6.1e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
7400,383,2020.05.21,12,6,0.00238,0.000123,3.9e-06,1.9e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
7525,386,2020.05.22,125,3,0.00242,0.000124,4.03e-05,1e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
7526,387,2020.05.23,1,1,0.00242,0.000125,3e-07,3e-07,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
7881,380,2020.05.24,355,-7,0.00254,0.000122,0.0001143,-2.3e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
7956,394,2020.05.25,75,14,0.00256,0.000127,2.42e-05,4.5e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
8057,394,2020.05.26,101,0,0.0026,0.000127,3.25e-05,0.0,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
8150,402,2020.05.27,93,8,0.00263,0.000129,3e-05,2.6e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
8248,406,2020.05.28,98,4,0.00266,0.000131,3.16e-05,1.3e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
8376,406,2020.05.29,128,0,0.0027,0.000131,4.12e-05,0.0,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
8517,417,2020.05.30,141,11,0.00274,0.000134,4.54e-05,3.5e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
8628,417,2020.05.31,111,0,0.00278,0.000134,3.58e-05,0.0,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
8702,417,2020.06.01,74,0,0.0028,0.000134,2.38e-05,0.0,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
8858,417,2020.06.02,156,0,0.00285,0.000134,5.02e-05,0.0,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
8951,431,2020.06.03,93,14,0.00288,0.000139,3e-05,4.5e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
9129,430,2020.06.04,178,-1,0.00294,0.000139,5.73e-05,-3e-07,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
9309,436,2020.06.05,180,6,0.003,0.00014,5.8e-05,1.9e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
9491,437,2020.06.06,182,1,0.00306,0.000141,5.86e-05,3e-07,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
9669,438,2020.06.07,178,1,0.00311,0.000141,5.73e-05,3e-07,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
9816,442,2020.06.08,147,4,0.00316,0.000142,4.73e-05,1.3e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
10045,446,2020.06.09,229,4,0.00324,0.000144,7.38e-05,1.3e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
10218,449,2020.06.10,173,3,0.00329,0.000145,5.57e-05,1e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
10473,459,2020.06.11,255,10,0.00337,0.000148,8.21e-05,3.2e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
10704,461,2020.06.12,231,2,0.00345,0.000148,7.44e-05,6e-07,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
10997,462,2020.06.13,293,1,0.00354,0.000149,9.44e-05,3e-07,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
11201,463,2020.06.14,204,1,0.00361,0.000149,6.57e-05,3e-07,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
11315,465,2020.06.15,114,2,0.00364,0.00015,3.67e-05,6e-07,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
11683,467,2020.06.16,368,2,0.00376,0.00015,0.0001185,6e-07,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
11854,473,2020.06.17,171,6,0.00382,0.000152,5.51e-05,1.9e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
12169,475,2020.06.18,315,2,0.00392,0.000153,0.0001015,6e-07,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
12524,479,2020.06.19,355,4,0.00403,0.000154,0.0001143,1.3e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
12976,486,2020.06.20,452,7,0.00418,0.000157,0.0001456,2.3e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
13240,487,2020.06.21,264,1,0.00426,0.000157,8.5e-05,3e-07,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
13528,489,2020.06.22,288,2,0.00436,0.000158,9.28e-05,6e-07,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
13528,489,2020.06.23,0,0,0.00436,0.000158,0.0,0.0,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
13528,489,2020.06.24,0,0,0.00436,0.000158,0.0,0.0,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
14859,495,2020.06.25,1331,6,0.00479,0.000159,0.0004287,1.9e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
15240,498,2020.06.26,381,3,0.00491,0.00016,0.0001227,1e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
16339,500,2020.06.27,1099,2,0.00526,0.000161,0.000354,6e-07,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
17160,500,2020.06.28,821,0,0.00553,0.000161,0.0002644,0.0,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
17894,504,2020.06.29,734,4,0.00576,0.000162,0.0002364,1.3e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
18456,507,2020.06.30,562,3,0.00594,0.000163,0.000181,1e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
19101,511,2020.07.01,645,4,0.00615,0.000165,0.0002078,1.3e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
19733,525,2020.07.02,632,14,0.00636,0.000169,0.0002036,4.5e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
20718,528,2020.07.03,985,3,0.00667,0.00017,0.0003173,1e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
21575,530,2020.07.04,857,2,0.00695,0.000171,0.000276,6e-07,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
22418,534,2020.07.05,843,4,0.00722,0.000172,0.0002715,1.3e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
22909,537,2020.07.06,491,3,0.00738,0.000173,0.0001582,1e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
23785,548,2020.07.07,876,11,0.00766,0.000177,0.0002822,3.5e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
24301,553,2020.07.08,516,5,0.00783,0.000178,0.0001662,1.6e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
24904,571,2020.07.09,603,18,0.00802,0.000184,0.0001942,5.8e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
25908,579,2020.07.10,1004,8,0.00834,0.000186,0.0003234,2.6e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
26838,592,2020.07.11,930,13,0.00864,0.000191,0.0002996,4.2e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
27683,593,2020.07.12,845,1,0.00892,0.000191,0.0002722,3e-07,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
28515,593,2020.07.13,832,0,0.00918,0.000191,0.000268,0.0,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
29619,612,2020.07.14,1104,19,0.00954,0.000197,0.0003556,6.1e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
30468,618,2020.07.15,849,6,0.00981,0.000199,0.0002735,1.9e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
31915,626,2020.07.16,1447,8,0.01028,0.000202,0.0004661,2.6e-06,63276,3104614,258703,Democratic,Democratic,Democratic,Democratic,12.0
