Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
929,23,2020.04.12,929,23,0.00067,1.7e-05,0.0006744,1.67e-05,77933,1377529,20414,Republican,Democratic,Democratic,Democratic,67.47
985,23,2020.04.13,56,0,0.00072,1.7e-05,4.07e-05,0.0,77933,1377529,20414,Republican,Democratic,Democratic,Democratic,67.47
922,25,2020.04.14,-63,2,0.00067,1.8e-05,-4.57e-05,1.5e-06,77933,1377529,20414,Republican,Democratic,Democratic,Democratic,67.47
1139,32,2020.04.15,217,7,0.00083,2.3e-05,0.0001575,5.1e-06,77933,1377529,20414,Republican,Democratic,Democratic,Democratic,67.47
1139,32,2020.04.16,0,0,0.00083,2.3e-05,0.0,0.0,77933,1377529,20414,Republican,Democratic,Democratic,Democratic,67.47
1287,37,2020.04.17,148,5,0.00093,2.7e-05,0.0001074,3.6e-06,77933,1377529,20414,Republican,Democratic,Democratic,Democratic,67.47
1342,38,2020.04.18,55,1,0.00097,2.8e-05,3.99e-05,7e-07,77933,1377529,20414,Republican,Democratic,Democratic,Democratic,67.47
1390,38,2020.04.19,48,0,0.00101,2.8e-05,3.48e-05,0.0,77933,1377529,20414,Republican,Democratic,Democratic,Democratic,67.47
1447,42,2020.04.20,57,4,0.00105,3e-05,4.14e-05,2.9e-06,77933,1377529,20414,Republican,Democratic,Democratic,Democratic,67.47
1490,42,2020.04.21,43,0,0.00108,3e-05,3.12e-05,0.0,77933,1377529,20414,Republican,Democratic,Democratic,Democratic,67.47
1588,48,2020.04.22,98,6,0.00115,3.5e-05,7.11e-05,4.4e-06,77933,1377529,20414,Republican,Democratic,Democratic,Democratic,67.47
1670,51,2020.04.23,82,3,0.00121,3.7e-05,5.95e-05,2.2e-06,77933,1377529,20414,Republican,Democratic,Democratic,Democratic,67.47
1720,53,2020.04.24,50,2,0.00125,3.8e-05,3.63e-05,1.5e-06,77933,1377529,20414,Republican,Democratic,Democratic,Democratic,67.47
1797,53,2020.04.25,77,0,0.0013,3.8e-05,5.59e-05,0.0,77933,1377529,20414,Republican,Democratic,Democratic,Democratic,67.47
1864,60,2020.04.26,67,7,0.00135,4.4e-05,4.86e-05,5.1e-06,77933,1377529,20414,Republican,Democratic,Democratic,Democratic,67.47
1938,60,2020.04.27,74,0,0.00141,4.4e-05,5.37e-05,0.0,77933,1377529,20414,Republican,Democratic,Democratic,Democratic,67.47
2010,60,2020.04.28,72,0,0.00146,4.4e-05,5.23e-05,0.0,77933,1377529,20414,Republican,Democratic,Democratic,Democratic,67.47
2058,60,2020.04.29,48,0,0.00149,4.4e-05,3.48e-05,0.0,77933,1377529,20414,Republican,Democratic,Democratic,Democratic,67.47
2146,72,2020.04.30,88,12,0.00156,5.2e-05,6.39e-05,8.7e-06,77933,1377529,20414,Republican,Democratic,Democratic,Democratic,67.47
2310,81,2020.05.01,164,9,0.00168,5.9e-05,0.0001191,6.5e-06,77933,1377529,20414,Republican,Democratic,Democratic,Democratic,67.47
2429,84,2020.05.02,119,3,0.00176,6.1e-05,8.64e-05,2.2e-06,77933,1377529,20414,Republican,Democratic,Democratic,Democratic,67.47
2518,86,2020.05.03,89,2,0.00183,6.2e-05,6.46e-05,1.5e-06,77933,1377529,20414,Republican,Democratic,Democratic,Democratic,67.47
2588,86,2020.05.04,70,0,0.00188,6.2e-05,5.08e-05,0.0,77933,1377529,20414,Republican,Democratic,Democratic,Democratic,67.47
2636,92,2020.05.05,48,6,0.00191,6.7e-05,3.48e-05,4.4e-06,77933,1377529,20414,Republican,Democratic,Democratic,Democratic,67.47
2741,92,2020.05.06,105,0,0.00199,6.7e-05,7.62e-05,0.0,77933,1377529,20414,Republican,Democratic,Democratic,Democratic,67.47
