Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
61850,2350,2020.04.12,61850,2350,0.00666,0.000253,0.0066584,0.000253,85751,9288994,19047,Democratic,Democratic,Democratic,Democratic,487.68
64584,2443,2020.04.13,2734,93,0.00695,0.000263,0.0002943,1e-05,85751,9288994,19047,Democratic,Democratic,Democratic,Democratic,487.68
68824,2805,2020.04.14,4240,362,0.00741,0.000302,0.0004565,3.9e-05,85751,9288994,19047,Democratic,Democratic,Democratic,Democratic,487.68
71030,3156,2020.04.15,2206,351,0.00765,0.00034,0.0002375,3.78e-05,85751,9288994,19047,Democratic,Democratic,Democratic,Democratic,487.68
75317,3518,2020.04.16,4287,362,0.00811,0.000379,0.0004615,3.9e-05,85751,9288994,19047,Democratic,Democratic,Democratic,Democratic,487.68
78467,3840,2020.04.17,3150,322,0.00845,0.000413,0.0003391,3.47e-05,85751,9288994,19047,Democratic,Democratic,Democratic,Democratic,487.68
81420,4070,2020.04.18,2953,230,0.00877,0.000438,0.0003179,2.48e-05,85751,9288994,19047,Democratic,Democratic,Democratic,Democratic,487.68
85301,4362,2020.04.19,3881,292,0.00918,0.00047,0.0004178,3.14e-05,85751,9288994,19047,Democratic,Democratic,Democratic,Democratic,487.68
88722,4496,2020.04.20,3421,134,0.00955,0.000484,0.0003683,1.44e-05,85751,9288994,19047,Democratic,Democratic,Democratic,Democratic,487.68
92387,4753,2020.04.21,3665,257,0.00995,0.000512,0.0003946,2.77e-05,85751,9288994,19047,Democratic,Democratic,Democratic,Democratic,487.68
95914,5150,2020.04.22,3527,397,0.01033,0.000554,0.0003797,4.27e-05,85751,9288994,19047,Democratic,Democratic,Democratic,Democratic,487.68
100025,5426,2020.04.23,4111,276,0.01077,0.000584,0.0004426,2.97e-05,85751,9288994,19047,Democratic,Democratic,Democratic,Democratic,487.68
102196,5683,2020.04.24,2171,257,0.011,0.000612,0.0002337,2.77e-05,85751,9288994,19047,Democratic,Democratic,Democratic,Democratic,487.68
105498,5914,2020.04.25,3302,231,0.01136,0.000637,0.0003555,2.49e-05,85751,9288994,19047,Democratic,Democratic,Democratic,Democratic,487.68
109038,5938,2020.04.26,3540,24,0.01174,0.000639,0.0003811,2.6e-06,85751,9288994,19047,Democratic,Democratic,Democratic,Democratic,487.68
111188,6044,2020.04.27,2150,106,0.01197,0.000651,0.0002315,1.14e-05,85751,9288994,19047,Democratic,Democratic,Democratic,Democratic,487.68
113856,6442,2020.04.28,2668,398,0.01226,0.000694,0.0002872,4.28e-05,85751,9288994,19047,Democratic,Democratic,Democratic,Democratic,487.68
116365,6771,2020.04.29,2509,329,0.01253,0.000729,0.0002701,3.54e-05,85751,9288994,19047,Democratic,Democratic,Democratic,Democratic,487.68
118652,7228,2020.04.30,2287,457,0.01277,0.000778,0.0002462,4.92e-05,85751,9288994,19047,Democratic,Democratic,Democratic,Democratic,487.68
121203,7538,2020.05.01,2551,310,0.01305,0.000811,0.0002746,3.34e-05,85751,9288994,19047,Democratic,Democratic,Democratic,Democratic,487.68
123735,7742,2020.05.02,2532,204,0.01332,0.000833,0.0002726,2.2e-05,85751,9288994,19047,Democratic,Democratic,Democratic,Democratic,487.68
126763,7871,2020.05.03,3028,129,0.01365,0.000847,0.000326,1.39e-05,85751,9288994,19047,Democratic,Democratic,Democratic,Democratic,487.68
128296,7910,2020.05.04,1533,39,0.01381,0.000852,0.000165,4.2e-06,85751,9288994,19047,Democratic,Democratic,Democratic,Democratic,487.68
130628,8244,2020.05.05,2332,334,0.01406,0.000888,0.000251,3.6e-05,85751,9288994,19047,Democratic,Democratic,Democratic,Democratic,487.68
131928,8549,2020.05.06,1300,305,0.0142,0.00092,0.00014,3.28e-05,85751,9288994,19047,Democratic,Democratic,Democratic,Democratic,487.68
134037,8807,2020.05.07,2109,258,0.01443,0.000948,0.000227,2.78e-05,85751,9288994,19047,Democratic,Democratic,Democratic,Democratic,487.68
135899,8960,2020.05.08,1862,153,0.01463,0.000965,0.0002005,1.65e-05,85751,9288994,19047,Democratic,Democratic,Democratic,Democratic,487.68
137464,9116,2020.05.09,1565,156,0.0148,0.000981,0.0001685,1.68e-05,85751,9288994,19047,Democratic,Democratic,Democratic,Democratic,487.68
138823,9256,2020.05.10,1359,140,0.01494,0.000996,0.0001463,1.51e-05,85751,9288994,19047,Democratic,Democratic,Democratic,Democratic,487.68
140289,9340,2020.05.11,1466,84,0.0151,0.001005,0.0001578,9e-06,85751,9288994,19047,Democratic,Democratic,Democratic,Democratic,487.68
141016,9531,2020.05.12,727,191,0.01518,0.001026,7.83e-05,2.06e-05,85751,9288994,19047,Democratic,Democratic,Democratic,Democratic,487.68
141673,9714,2020.05.13,657,183,0.01525,0.001046,7.07e-05,1.97e-05,85751,9288994,19047,Democratic,Democratic,Democratic,Democratic,487.68
142834,9946,2020.05.14,1161,232,0.01538,0.001071,0.000125,2.5e-05,85751,9288994,19047,Democratic,Democratic,Democratic,Democratic,487.68
144124,10148,2020.05.15,1290,202,0.01552,0.001092,0.0001389,2.17e-05,85751,9288994,19047,Democratic,Democratic,Democratic,Democratic,487.68
145233,10261,2020.05.16,1109,113,0.01563,0.001105,0.0001194,1.22e-05,85751,9288994,19047,Democratic,Democratic,Democratic,Democratic,487.68
