Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
189033,9382,2020.04.12,189033,9382,0.00936,0.000464,0.0093575,0.0004644,72108,20201249,121912,Democratic,Democratic,Democratic,Democratic,165.7
195749,10026,2020.04.13,6716,644,0.00969,0.000496,0.0003325,3.19e-05,72108,20201249,121912,Democratic,Democratic,Democratic,Democratic,165.7
203020,10811,2020.04.14,7271,785,0.01005,0.000535,0.0003599,3.89e-05,72108,20201249,121912,Democratic,Democratic,Democratic,Democratic,165.7
214454,11569,2020.04.15,11434,758,0.01062,0.000573,0.000566,3.75e-05,72108,20201249,121912,Democratic,Democratic,Democratic,Democratic,165.7
223691,14832,2020.04.16,9237,3263,0.01107,0.000734,0.0004572,0.0001615,72108,20201249,121912,Democratic,Democratic,Democratic,Democratic,165.7
230597,17131,2020.04.17,6906,2299,0.01141,0.000848,0.0003419,0.0001138,72108,20201249,121912,Democratic,Democratic,Democratic,Democratic,165.7
241712,17634,2020.04.18,11115,503,0.01197,0.000873,0.0005502,2.49e-05,72108,20201249,121912,Democratic,Democratic,Democratic,Democratic,165.7
247815,18271,2020.04.19,6103,637,0.01227,0.000904,0.0003021,3.15e-05,72108,20201249,121912,Democratic,Democratic,Democratic,Democratic,165.7
253060,18598,2020.04.20,5245,327,0.01253,0.000921,0.0002596,1.62e-05,72108,20201249,121912,Democratic,Democratic,Democratic,Democratic,165.7
258361,19037,2020.04.21,5301,439,0.01279,0.000942,0.0002624,2.17e-05,72108,20201249,121912,Democratic,Democratic,Democratic,Democratic,165.7
263292,19361,2020.04.22,4931,324,0.01303,0.000958,0.0002441,1.6e-05,72108,20201249,121912,Democratic,Democratic,Democratic,Democratic,165.7
263460,20899,2020.04.23,168,1538,0.01304,0.001035,8.3e-06,7.61e-05,72108,20201249,121912,Democratic,Democratic,Democratic,Democratic,165.7
271590,21327,2020.04.24,8130,428,0.01344,0.001056,0.0004025,2.12e-05,72108,20201249,121912,Democratic,Democratic,Democratic,Democratic,165.7
282143,21933,2020.04.25,10553,606,0.01397,0.001086,0.0005224,3e-05,72108,20201249,121912,Democratic,Democratic,Democratic,Democratic,165.7
288045,22200,2020.04.26,5902,267,0.01426,0.001099,0.0002922,1.32e-05,72108,20201249,121912,Democratic,Democratic,Democratic,Democratic,165.7
291996,22574,2020.04.27,3951,374,0.01445,0.001117,0.0001956,1.85e-05,72108,20201249,121912,Democratic,Democratic,Democratic,Democratic,165.7
295106,22823,2020.04.28,3110,249,0.01461,0.00113,0.000154,1.23e-05,72108,20201249,121912,Democratic,Democratic,Democratic,Democratic,165.7
299691,23375,2020.04.29,4585,552,0.01484,0.001157,0.000227,2.73e-05,72108,20201249,121912,Democratic,Democratic,Democratic,Democratic,165.7
304372,23479,2020.04.30,4681,104,0.01507,0.001162,0.0002317,5.1e-06,72108,20201249,121912,Democratic,Democratic,Democratic,Democratic,165.7
308314,23928,2020.05.01,3942,449,0.01526,0.001184,0.0001951,2.22e-05,72108,20201249,121912,Democratic,Democratic,Democratic,Democratic,165.7
312977,24090,2020.05.02,4663,162,0.01549,0.001193,0.0002308,8e-06,72108,20201249,121912,Democratic,Democratic,Democratic,Democratic,165.7
316415,24602,2020.05.03,3438,512,0.01566,0.001218,0.0001702,2.53e-05,72108,20201249,121912,Democratic,Democratic,Democratic,Democratic,165.7
318953,24879,2020.05.04,2538,277,0.01579,0.001232,0.0001256,1.37e-05,72108,20201249,121912,Democratic,Democratic,Democratic,Democratic,165.7
321192,24995,2020.05.05,2239,116,0.0159,0.001237,0.0001108,5.7e-06,72108,20201249,121912,Democratic,Democratic,Democratic,Democratic,165.7
323978,25508,2020.05.06,2786,513,0.01604,0.001263,0.0001379,2.54e-05,72108,20201249,121912,Democratic,Democratic,Democratic,Democratic,165.7
327469,26024,2020.05.07,3491,516,0.01621,0.001288,0.0001728,2.55e-05,72108,20201249,121912,Democratic,Democratic,Democratic,Democratic,165.7
330407,26124,2020.05.08,2938,100,0.01636,0.001293,0.0001454,5e-06,72108,20201249,121912,Democratic,Democratic,Democratic,Democratic,165.7
333122,26499,2020.05.09,2715,375,0.01649,0.001312,0.0001344,1.86e-05,72108,20201249,121912,Democratic,Democratic,Democratic,Democratic,165.7
