Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
4570,89,2020.04.12,4570,89,0.00044,9e-06,0.0004378,8.5e-06,57341,10439388,119490,Democratic,Republican,Republican,Republican,87.36
4886,94,2020.04.13,316,5,0.00047,9e-06,3.03e-05,5e-07,57341,10439388,119490,Democratic,Republican,Republican,Republican,87.36
5113,112,2020.04.14,227,18,0.00049,1.1e-05,2.17e-05,1.7e-06,57341,10439388,119490,Democratic,Republican,Republican,Republican,87.36
5340,130,2020.04.15,227,18,0.00051,1.2e-05,2.17e-05,1.7e-06,57341,10439388,119490,Democratic,Republican,Republican,Republican,87.36
5639,150,2020.04.16,299,20,0.00054,1.4e-05,2.86e-05,1.9e-06,57341,10439388,119490,Democratic,Republican,Republican,Republican,87.36
6045,177,2020.04.17,406,27,0.00058,1.7e-05,3.89e-05,2.6e-06,57341,10439388,119490,Democratic,Republican,Republican,Republican,87.36
6328,187,2020.04.18,283,10,0.00061,1.8e-05,2.71e-05,1e-06,57341,10439388,119490,Democratic,Republican,Republican,Republican,87.36
6601,200,2020.04.19,273,13,0.00063,1.9e-05,2.62e-05,1.2e-06,57341,10439388,119490,Democratic,Republican,Republican,Republican,87.36
6895,218,2020.04.20,294,18,0.00066,2.1e-05,2.82e-05,1.7e-06,57341,10439388,119490,Democratic,Republican,Republican,Republican,87.36
7134,245,2020.04.21,239,27,0.00068,2.3e-05,2.29e-05,2.6e-06,57341,10439388,119490,Democratic,Republican,Republican,Republican,87.36
7495,265,2020.04.22,361,20,0.00072,2.5e-05,3.46e-05,1.9e-06,57341,10439388,119490,Democratic,Republican,Republican,Republican,87.36
7820,281,2020.04.23,325,16,0.00075,2.7e-05,3.11e-05,1.5e-06,57341,10439388,119490,Democratic,Republican,Republican,Republican,87.36
8290,294,2020.04.24,470,13,0.00079,2.8e-05,4.5e-05,1.2e-06,57341,10439388,119490,Democratic,Republican,Republican,Republican,87.36
8768,305,2020.04.25,478,11,0.00084,2.9e-05,4.58e-05,1.1e-06,57341,10439388,119490,Democratic,Republican,Republican,Republican,87.36
8997,324,2020.04.26,229,19,0.00086,3.1e-05,2.19e-05,1.8e-06,57341,10439388,119490,Democratic,Republican,Republican,Republican,87.36
9321,340,2020.04.27,324,16,0.00089,3.3e-05,3.1e-05,1.5e-06,57341,10439388,119490,Democratic,Republican,Republican,Republican,87.36
9755,363,2020.04.28,434,23,0.00093,3.5e-05,4.16e-05,2.2e-06,57341,10439388,119490,Democratic,Republican,Republican,Republican,87.36
10180,382,2020.04.29,425,19,0.00098,3.7e-05,4.07e-05,1.8e-06,57341,10439388,119490,Democratic,Republican,Republican,Republican,87.36
10754,406,2020.04.30,574,24,0.00103,3.9e-05,5.5e-05,2.3e-06,57341,10439388,119490,Democratic,Republican,Republican,Republican,87.36
11070,419,2020.05.01,316,13,0.00106,4e-05,3.03e-05,1.2e-06,57341,10439388,119490,Democratic,Republican,Republican,Republican,87.36
11588,431,2020.05.02,518,12,0.00111,4.1e-05,4.96e-05,1.1e-06,57341,10439388,119490,Democratic,Republican,Republican,Republican,87.36
11770,434,2020.05.03,182,3,0.00113,4.2e-05,1.74e-05,3e-07,57341,10439388,119490,Democratic,Republican,Republican,Republican,87.36
11971,442,2020.05.04,201,8,0.00115,4.2e-05,1.93e-05,8e-07,57341,10439388,119490,Democratic,Republican,Republican,Republican,87.36
12510,472,2020.05.05,539,30,0.0012,4.5e-05,5.16e-05,2.9e-06,57341,10439388,119490,Democratic,Republican,Republican,Republican,87.36
13053,492,2020.05.06,543,20,0.00125,4.7e-05,5.2e-05,1.9e-06,57341,10439388,119490,Democratic,Republican,Republican,Republican,87.36
13540,513,2020.05.07,487,21,0.0013,4.9e-05,4.67e-05,2e-06,57341,10439388,119490,Democratic,Republican,Republican,Republican,87.36
14006,530,2020.05.08,466,17,0.00134,5.1e-05,4.46e-05,1.6e-06,57341,10439388,119490,Democratic,Republican,Republican,Republican,87.36
14478,551,2020.05.09,472,21,0.00139,5.3e-05,4.52e-05,2e-06,57341,10439388,119490,Democratic,Republican,Republican,Republican,87.36
14938,564,2020.05.10,460,13,0.00143,5.4e-05,4.41e-05,1.2e-06,57341,10439388,119490,Democratic,Republican,Republican,Republican,87.36
15274,575,2020.05.11,336,11,0.00146,5.5e-05,3.22e-05,1.1e-06,57341,10439388,119490,Democratic,Republican,Republican,Republican,87.36
15622,600,2020.05.12,348,25,0.0015,5.7e-05,3.33e-05,2.4e-06,57341,10439388,119490,Democratic,Republican,Republican,Republican,87.36
16352,625,2020.05.13,730,25,0.00157,6e-05,6.99e-05,2.4e-06,57341,10439388,119490,Democratic,Republican,Republican,Republican,87.36
16968,641,2020.05.14,616,16,0.00163,6.1e-05,5.9e-05,1.5e-06,57341,10439388,119490,Democratic,Republican,Republican,Republican,87.36
17494,667,2020.05.15,526,26,0.00168,6.4e-05,5.04e-05,2.5e-06,57341,10439388,119490,Democratic,Republican,Republican,Republican,87.36
18130,676,2020.05.16,636,9,0.00174,6.5e-05,6.09e-05,9e-07,57341,10439388,119490,Democratic,Republican,Republican,Republican,87.36
