Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
331,7,2020.04.12,331,7,0.00042,9e-06,0.0004249,9e-06,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
341,8,2020.04.13,10,1,0.00044,1e-05,1.28e-05,1.3e-06,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
364,8,2020.04.14,23,0,0.00047,1e-05,2.95e-05,0.0,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
392,9,2020.04.15,28,1,0.0005,1.2e-05,3.59e-05,1.3e-06,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
438,9,2020.04.16,46,0,0.00056,1.2e-05,5.9e-05,0.0,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
528,9,2020.04.17,90,0,0.00068,1.2e-05,0.0001155,0.0,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
584,9,2020.04.18,56,0,0.00075,1.2e-05,7.19e-05,0.0,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
626,9,2020.04.19,42,0,0.0008,1.2e-05,5.39e-05,0.0,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
644,9,2020.04.20,18,0,0.00083,1.2e-05,2.31e-05,0.0,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
677,13,2020.04.21,33,4,0.00087,1.7e-05,4.24e-05,5.1e-06,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
710,14,2020.04.22,33,1,0.00091,1.8e-05,4.24e-05,1.3e-06,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
748,15,2020.04.23,38,1,0.00096,1.9e-05,4.88e-05,1.3e-06,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
803,15,2020.04.24,55,0,0.00103,1.9e-05,7.06e-05,0.0,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
867,16,2020.04.25,64,1,0.00111,2.1e-05,8.21e-05,1.3e-06,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
943,17,2020.04.26,76,1,0.00121,2.2e-05,9.75e-05,1.3e-06,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
992,19,2020.04.27,49,2,0.00127,2.4e-05,6.29e-05,2.6e-06,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
1034,19,2020.04.28,42,0,0.00133,2.4e-05,5.39e-05,0.0,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
1067,19,2020.04.29,33,0,0.00137,2.4e-05,4.24e-05,0.0,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
1107,19,2020.04.30,40,0,0.00142,2.4e-05,5.13e-05,0.0,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
1153,23,2020.05.01,46,4,0.00148,3e-05,5.9e-05,5.1e-06,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
1191,24,2020.05.02,38,1,0.00153,3.1e-05,4.88e-05,1.3e-06,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
1225,25,2020.05.03,34,1,0.00157,3.2e-05,4.36e-05,1.3e-06,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
1265,25,2020.05.04,40,0,0.00162,3.2e-05,5.13e-05,0.0,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
1320,25,2020.05.05,55,0,0.00169,3.2e-05,7.06e-05,0.0,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
1367,31,2020.05.06,47,6,0.00175,4e-05,6.03e-05,7.7e-06,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
1422,31,2020.05.07,55,0,0.00183,4e-05,7.06e-05,0.0,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
1462,33,2020.05.08,40,2,0.00188,4.2e-05,5.13e-05,2.6e-06,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
1488,35,2020.05.09,26,2,0.00191,4.5e-05,3.34e-05,2.6e-06,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
1514,35,2020.05.10,26,0,0.00194,4.5e-05,3.34e-05,0.0,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
1566,36,2020.05.11,52,1,0.00201,4.6e-05,6.67e-05,1.3e-06,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
1639,38,2020.05.12,73,2,0.0021,4.9e-05,9.37e-05,2.6e-06,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
1706,40,2020.05.13,67,2,0.00219,5.1e-05,8.6e-05,2.6e-06,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
1757,40,2020.05.14,51,0,0.00226,5.1e-05,6.55e-05,0.0,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
1844,42,2020.05.15,87,2,0.00237,5.4e-05,0.0001117,2.6e-06,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
1894,42,2020.05.16,50,0,0.00243,5.4e-05,6.42e-05,0.0,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
1927,43,2020.05.17,33,1,0.00247,5.5e-05,4.24e-05,1.3e-06,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
1986,44,2020.05.18,59,1,0.00255,5.6e-05,7.57e-05,1.3e-06,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
2068,45,2020.05.19,82,1,0.00265,5.8e-05,0.0001053,1.3e-06,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
2168,49,2020.05.20,100,4,0.00278,6.3e-05,0.0001284,5.1e-06,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
2237,51,2020.05.21,69,2,0.00287,6.5e-05,8.86e-05,2.6e-06,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
2288,52,2020.05.22,51,1,0.00294,6.7e-05,6.55e-05,1.3e-06,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
2342,52,2020.05.23,54,0,0.00301,6.7e-05,6.93e-05,0.0,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
2382,53,2020.05.24,40,1,0.00306,6.8e-05,5.13e-05,1.3e-06,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
2425,54,2020.05.25,43,1,0.00311,6.9e-05,5.52e-05,1.3e-06,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
2442,54,2020.05.26,17,0,0.00313,6.9e-05,2.18e-05,0.0,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
2483,56,2020.05.27,41,2,0.00319,7.2e-05,5.26e-05,2.6e-06,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
2523,57,2020.05.28,40,1,0.00324,7.3e-05,5.13e-05,1.3e-06,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
2557,59,2020.05.29,34,2,0.00328,7.6e-05,4.36e-05,2.6e-06,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
2580,60,2020.05.30,23,1,0.00331,7.7e-05,2.95e-05,1.3e-06,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
2627,61,2020.05.31,47,1,0.00337,7.8e-05,6.03e-05,1.3e-06,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
2648,61,2020.06.01,21,0,0.0034,7.8e-05,2.7e-05,0.0,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
2682,65,2020.06.02,34,4,0.00344,8.3e-05,4.36e-05,5.1e-06,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
2708,66,2020.06.03,26,1,0.00348,8.5e-05,3.34e-05,1.3e-06,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
2748,66,2020.06.04,40,0,0.00353,8.5e-05,5.13e-05,0.0,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
2817,71,2020.06.05,69,5,0.00362,9.1e-05,8.86e-05,6.4e-06,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
2863,72,2020.06.06,46,1,0.00367,9.2e-05,5.9e-05,1.3e-06,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
2882,72,2020.06.07,19,0,0.0037,9.2e-05,2.44e-05,0.0,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
2903,72,2020.06.08,21,0,0.00373,9.2e-05,2.7e-05,0.0,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
2944,72,2020.06.09,41,0,0.00378,9.2e-05,5.26e-05,0.0,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
2982,73,2020.06.10,38,1,0.00383,9.4e-05,4.88e-05,1.3e-06,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
3018,74,2020.06.11,36,1,0.00387,9.5e-05,4.62e-05,1.3e-06,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
3060,74,2020.06.12,42,0,0.00393,9.5e-05,5.39e-05,0.0,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
3082,74,2020.06.13,22,0,0.00396,9.5e-05,2.82e-05,0.0,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
3104,74,2020.06.14,22,0,0.00398,9.5e-05,2.82e-05,0.0,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
3127,74,2020.06.15,23,0,0.00401,9.5e-05,2.95e-05,0.0,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
3166,74,2020.06.16,39,0,0.00406,9.5e-05,5.01e-05,0.0,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
3194,74,2020.06.17,28,0,0.0041,9.5e-05,3.59e-05,0.0,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
3226,75,2020.06.18,32,1,0.00414,9.6e-05,4.11e-05,1.3e-06,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
3250,76,2020.06.19,24,1,0.00417,9.8e-05,3.08e-05,1.3e-06,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
3289,76,2020.06.20,39,0,0.00422,9.8e-05,5.01e-05,0.0,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
3314,77,2020.06.21,25,1,0.00425,9.9e-05,3.21e-05,1.3e-06,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
3321,77,2020.06.22,7,0,0.00426,9.9e-05,9e-06,0.0,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
3362,78,2020.06.23,41,1,0.00432,0.0001,5.26e-05,1.3e-06,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
3394,78,2020.06.24,32,0,0.00436,0.0001,4.11e-05,0.0,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
3421,78,2020.06.25,27,0,0.00439,0.0001,3.47e-05,0.0,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
3459,78,2020.06.26,38,0,0.00444,0.0001,4.88e-05,0.0,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
3494,78,2020.06.27,35,0,0.00448,0.0001,4.49e-05,0.0,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
3540,79,2020.06.28,46,1,0.00454,0.000101,5.9e-05,1.3e-06,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
3578,79,2020.06.29,38,0,0.00459,0.000101,4.88e-05,0.0,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
3617,79,2020.06.30,39,0,0.00464,0.000101,5.01e-05,0.0,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
3660,80,2020.07.01,43,1,0.0047,0.000103,5.52e-05,1.3e-06,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
3723,80,2020.07.02,63,0,0.00478,0.000103,8.09e-05,0.0,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
3780,80,2020.07.03,57,0,0.00485,0.000103,7.32e-05,0.0,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
3816,80,2020.07.04,36,0,0.0049,0.000103,4.62e-05,0.0,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
3849,80,2020.07.05,33,0,0.00494,0.000103,4.24e-05,0.0,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
3899,80,2020.07.06,50,0,0.005,0.000103,6.42e-05,0.0,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
3973,84,2020.07.07,74,4,0.0051,0.000108,9.5e-05,5.1e-06,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
4072,85,2020.07.08,99,1,0.00523,0.000109,0.0001271,1.3e-06,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
4156,85,2020.07.09,84,0,0.00533,0.000109,0.0001078,0.0,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
4245,85,2020.07.10,89,0,0.00545,0.000109,0.0001142,0.0,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
4335,87,2020.07.11,90,2,0.00556,0.000112,0.0001155,2.6e-06,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
4437,87,2020.07.12,102,0,0.0057,0.000112,0.0001309,0.0,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
4490,87,2020.07.13,53,0,0.00576,0.000112,6.8e-05,0.0,64577,779094,173951,Republican,Republican,Republican,Republican,4.47
