Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
6604,363,2020.04.12,6604,363,0.00056,3.1e-05,0.0005597,3.08e-05,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
6975,399,2020.04.13,371,36,0.00059,3.4e-05,3.14e-05,3.1e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
7285,434,2020.04.14,310,35,0.00062,3.7e-05,2.63e-05,3e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
7794,470,2020.04.15,509,36,0.00066,4e-05,4.31e-05,3.1e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
8414,504,2020.04.16,620,34,0.00071,4.3e-05,5.25e-05,2.9e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
9107,552,2020.04.17,693,48,0.00077,4.7e-05,5.87e-05,4.1e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
10222,587,2020.04.18,1115,35,0.00087,5e-05,9.45e-05,3e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
11602,618,2020.04.19,1380,31,0.00098,5.2e-05,0.000117,2.6e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
12919,661,2020.04.20,1317,43,0.00109,5.6e-05,0.0001116,3.6e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
13725,699,2020.04.21,806,38,0.00116,5.9e-05,6.83e-05,3.2e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
14117,742,2020.04.22,392,43,0.0012,6.3e-05,3.32e-05,3.6e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
14694,782,2020.04.23,577,40,0.00125,6.6e-05,4.89e-05,3.4e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
15169,830,2020.04.24,475,48,0.00129,7e-05,4.03e-05,4.1e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
15587,861,2020.04.25,418,31,0.00132,7.3e-05,3.54e-05,2.6e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
15972,911,2020.04.26,385,50,0.00135,7.7e-05,3.26e-05,4.2e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
16325,957,2020.04.27,353,46,0.00138,8.1e-05,2.99e-05,3.9e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
16769,1012,2020.04.28,444,55,0.00142,8.6e-05,3.76e-05,4.7e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
17303,1053,2020.04.29,534,41,0.00147,8.9e-05,4.53e-05,3.5e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
18027,1083,2020.04.30,724,30,0.00153,9.2e-05,6.14e-05,2.5e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
18743,1132,2020.05.01,716,49,0.00159,9.6e-05,6.07e-05,4.2e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
19335,1174,2020.05.02,592,42,0.00164,9.9e-05,5.02e-05,3.6e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
19914,1217,2020.05.03,579,43,0.00169,0.000103,4.91e-05,3.6e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
20474,1246,2020.05.04,560,29,0.00174,0.000106,4.75e-05,2.5e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
20969,1284,2020.05.05,495,38,0.00178,0.000109,4.2e-05,3.2e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
21576,1326,2020.05.06,607,42,0.00183,0.000112,5.14e-05,3.6e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
22131,1366,2020.05.07,555,40,0.00188,0.000116,4.7e-05,3.4e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
23016,1405,2020.05.08,885,39,0.00195,0.000119,7.5e-05,3.3e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
23697,1445,2020.05.09,681,40,0.00201,0.000122,5.77e-05,3.4e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
24081,1479,2020.05.10,384,34,0.00204,0.000125,3.25e-05,2.9e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
24777,1505,2020.05.11,696,26,0.0021,0.000128,5.9e-05,2.2e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
25250,1544,2020.05.12,473,39,0.00214,0.000131,4.01e-05,3.3e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
25721,1581,2020.05.13,471,37,0.00218,0.000134,3.99e-05,3.1e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
26357,1608,2020.05.14,636,27,0.00223,0.000136,5.39e-05,2.3e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
26954,1653,2020.05.15,597,45,0.00228,0.00014,5.06e-05,3.8e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
27474,1687,2020.05.16,520,34,0.00233,0.000143,4.41e-05,2.9e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
27923,1723,2020.05.17,449,36,0.00237,0.000146,3.81e-05,3.1e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
28454,1761,2020.05.18,531,38,0.00241,0.000149,4.5e-05,3.2e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
28952,1794,2020.05.19,498,33,0.00245,0.000152,4.22e-05,2.8e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
29436,1823,2020.05.20,484,29,0.00249,0.000154,4.1e-05,2.5e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
30167,1860,2020.05.21,731,37,0.00256,0.000158,6.2e-05,3.1e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
30794,1892,2020.05.22,627,32,0.00261,0.00016,5.31e-05,2.7e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
31408,1935,2020.05.23,614,43,0.00266,0.000164,5.2e-05,3.6e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
31911,1962,2020.05.24,503,27,0.0027,0.000166,4.26e-05,2.3e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
32477,1989,2020.05.25,566,27,0.00275,0.000169,4.8e-05,2.3e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
33006,2009,2020.05.26,529,20,0.0028,0.00017,4.48e-05,1.7e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
33439,2035,2020.05.27,433,26,0.00283,0.000172,3.67e-05,2.2e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
33915,2056,2020.05.28,476,21,0.00287,0.000174,4.03e-05,1.8e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
34566,2083,2020.05.29,651,27,0.00293,0.000177,5.52e-05,2.3e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
35033,2104,2020.05.30,467,21,0.00297,0.000178,3.96e-05,1.8e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
35513,2134,2020.05.31,480,30,0.00301,0.000181,4.07e-05,2.5e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
35984,2164,2020.06.01,471,30,0.00305,0.000183,3.99e-05,2.5e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
36350,2185,2020.06.02,366,21,0.00308,0.000185,3.1e-05,1.8e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
36792,2214,2020.06.03,442,29,0.00312,0.000188,3.75e-05,2.5e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
37282,2236,2020.06.04,490,22,0.00316,0.00019,4.15e-05,1.9e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
37758,2253,2020.06.05,476,17,0.0032,0.000191,4.03e-05,1.4e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
38111,2276,2020.06.06,353,23,0.00323,0.000193,2.99e-05,1.9e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
38476,2287,2020.06.07,365,11,0.00326,0.000194,3.09e-05,9e-07,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
38837,2303,2020.06.08,361,16,0.00329,0.000195,3.06e-05,1.4e-06,58642,11799448,104714,Republican,Republican,Republican,Republican,112.68
