Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
1970,96,2020.04.12,1970,96,0.0005,2.4e-05,0.0004976,2.42e-05,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
2069,99,2020.04.13,99,3,0.00052,2.5e-05,2.5e-05,8e-07,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
2184,108,2020.04.14,115,9,0.00055,2.7e-05,2.9e-05,2.3e-06,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
2263,123,2020.04.15,79,15,0.00057,3.1e-05,2e-05,3.8e-06,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
2357,131,2020.04.16,94,8,0.0006,3.3e-05,2.37e-05,2e-06,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
2465,136,2020.04.17,108,5,0.00062,3.4e-05,2.73e-05,1.3e-06,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
2465,136,2020.04.18,0,0,0.00062,3.4e-05,0.0,0.0,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
2567,140,2020.04.19,102,4,0.00065,3.5e-05,2.58e-05,1e-06,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
2680,143,2020.04.20,113,3,0.00068,3.6e-05,2.85e-05,8e-07,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
2807,164,2020.04.21,127,21,0.00071,4.1e-05,3.21e-05,5.3e-06,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
2894,170,2020.04.22,87,6,0.00073,4.3e-05,2.2e-05,1.5e-06,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
3017,179,2020.04.23,123,9,0.00076,4.5e-05,3.11e-05,2.3e-06,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
3121,188,2020.04.24,104,9,0.00079,4.7e-05,2.63e-05,2.3e-06,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
3194,194,2020.04.25,73,6,0.00081,4.9e-05,1.84e-05,1.5e-06,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
3254,195,2020.04.26,60,1,0.00082,4.9e-05,1.52e-05,3e-07,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
3281,197,2020.04.27,27,2,0.00083,5e-05,6.8e-06,5e-07,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
3410,207,2020.04.28,129,10,0.00086,5.2e-05,3.26e-05,2.5e-06,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
3473,214,2020.04.29,63,7,0.00088,5.4e-05,1.59e-05,1.8e-06,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
3618,222,2020.04.30,145,8,0.00091,5.6e-05,3.66e-05,2e-06,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
3748,230,2020.05.01,130,8,0.00095,5.8e-05,3.28e-05,2e-06,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
3851,238,2020.05.02,103,8,0.00097,6e-05,2.6e-05,2e-06,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
3972,238,2020.05.03,121,0,0.001,6e-05,3.06e-05,0.0,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
4044,238,2020.05.04,72,0,0.00102,6e-05,1.82e-05,0.0,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
4127,247,2020.05.05,83,9,0.00104,6.2e-05,2.1e-05,2.3e-06,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
4202,253,2020.05.06,75,6,0.00106,6.4e-05,1.89e-05,1.5e-06,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
4330,260,2020.05.07,128,7,0.00109,6.6e-05,3.23e-05,1.8e-06,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
4424,266,2020.05.08,94,6,0.00112,6.7e-05,2.37e-05,1.5e-06,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
4490,270,2020.05.09,66,4,0.00113,6.8e-05,1.67e-05,1e-06,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
4589,272,2020.05.10,99,2,0.00116,6.9e-05,2.5e-05,5e-07,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
4613,274,2020.05.11,24,2,0.00117,6.9e-05,6.1e-06,5e-07,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
4732,278,2020.05.12,119,4,0.0012,7e-05,3.01e-05,1e-06,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
4858,278,2020.05.13,126,0,0.00123,7e-05,3.18e-05,0.0,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
4963,284,2020.05.14,105,6,0.00125,7.2e-05,2.65e-05,1.5e-06,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
5087,285,2020.05.15,124,1,0.00128,7.2e-05,3.13e-05,3e-07,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
5237,288,2020.05.16,150,3,0.00132,7.3e-05,3.79e-05,8e-07,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
5310,288,2020.05.17,73,0,0.00134,7.3e-05,1.84e-05,0.0,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
5398,288,2020.05.18,88,0,0.00136,7.3e-05,2.22e-05,0.0,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
5489,293,2020.05.19,91,5,0.00139,7.4e-05,2.3e-05,1.3e-06,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
5532,299,2020.05.20,43,6,0.0014,7.6e-05,1.09e-05,1.5e-06,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
5680,304,2020.05.21,148,5,0.00143,7.7e-05,3.74e-05,1.3e-06,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
5849,307,2020.05.22,169,3,0.00148,7.8e-05,4.27e-05,8e-07,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
5960,311,2020.05.23,111,4,0.00151,7.9e-05,2.8e-05,1e-06,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
6037,311,2020.05.24,77,0,0.00152,7.9e-05,1.94e-05,0.0,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
6090,313,2020.05.25,53,2,0.00154,7.9e-05,1.34e-05,5e-07,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
6138,318,2020.05.26,48,5,0.00155,8e-05,1.21e-05,1.3e-06,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
6229,322,2020.05.27,91,4,0.00157,8.1e-05,2.3e-05,1e-06,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
6273,325,2020.05.28,44,3,0.00158,8.2e-05,1.11e-05,8e-07,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
6338,329,2020.05.29,65,4,0.0016,8.3e-05,1.64e-05,1e-06,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
6418,334,2020.05.30,80,5,0.00162,8.4e-05,2.02e-05,1.3e-06,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
6418,334,2020.05.31,0,0,0.00162,8.4e-05,0.0,0.0,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
6573,334,2020.06.01,155,0,0.00166,8.4e-05,3.91e-05,0.0,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
6692,339,2020.06.02,119,5,0.00169,8.6e-05,3.01e-05,1.3e-06,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
6805,341,2020.06.03,113,2,0.00172,8.6e-05,2.85e-05,5e-07,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
6907,344,2020.06.04,102,3,0.00174,8.7e-05,2.58e-05,8e-07,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
7007,345,2020.06.05,100,1,0.00177,8.7e-05,2.53e-05,3e-07,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
7059,347,2020.06.06,52,2,0.00178,8.8e-05,1.31e-05,5e-07,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
7150,348,2020.06.07,91,1,0.00181,8.8e-05,2.3e-05,3e-07,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
7205,348,2020.06.08,55,0,0.00182,8.8e-05,1.39e-05,0.0,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
7363,354,2020.06.09,158,6,0.00186,8.9e-05,3.99e-05,1.5e-06,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
7483,356,2020.06.10,120,2,0.00189,9e-05,3.03e-05,5e-07,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
7626,358,2020.06.11,143,2,0.00193,9e-05,3.61e-05,5e-07,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
7849,360,2020.06.12,223,2,0.00198,9.1e-05,5.63e-05,5e-07,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
8073,359,2020.06.13,224,-1,0.00204,9.1e-05,5.66e-05,-3e-07,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
8231,359,2020.06.14,158,0,0.00208,9.1e-05,3.99e-05,0.0,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
8417,359,2020.06.15,186,0,0.00213,9.1e-05,4.7e-05,0.0,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
8645,363,2020.06.16,228,4,0.00218,9.2e-05,5.76e-05,1e-06,54449,3959353,176151,Republican,Republican,Republican,Republican,22.47
