Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
1527,52,2020.04.12,1527,52,0.00036,1.2e-05,0.0003604,1.23e-05,67058,4237256,185784,Democratic,Democratic,Democratic,Democratic,22.8
1584,53,2020.04.13,57,1,0.00037,1.3e-05,1.35e-05,2e-07,67058,4237256,185784,Democratic,Democratic,Democratic,Democratic,22.8
1633,55,2020.04.14,49,2,0.00039,1.3e-05,1.16e-05,5e-07,67058,4237256,185784,Democratic,Democratic,Democratic,Democratic,22.8
1663,58,2020.04.15,30,3,0.00039,1.4e-05,7.1e-06,7e-07,67058,4237256,185784,Democratic,Democratic,Democratic,Democratic,22.8
1736,64,2020.04.16,73,6,0.00041,1.5e-05,1.72e-05,1.4e-06,67058,4237256,185784,Democratic,Democratic,Democratic,Democratic,22.8
1785,70,2020.04.17,49,6,0.00042,1.7e-05,1.16e-05,1.4e-06,67058,4237256,185784,Democratic,Democratic,Democratic,Democratic,22.8
1844,72,2020.04.18,59,2,0.00044,1.7e-05,1.39e-05,5e-07,67058,4237256,185784,Democratic,Democratic,Democratic,Democratic,22.8
1910,74,2020.04.19,66,2,0.00045,1.7e-05,1.56e-05,5e-07,67058,4237256,185784,Democratic,Democratic,Democratic,Democratic,22.8
1957,75,2020.04.20,47,1,0.00046,1.8e-05,1.11e-05,2e-07,67058,4237256,185784,Democratic,Democratic,Democratic,Democratic,22.8
2004,78,2020.04.21,47,3,0.00047,1.8e-05,1.11e-05,7e-07,67058,4237256,185784,Democratic,Democratic,Democratic,Democratic,22.8
2059,78,2020.04.22,55,0,0.00049,1.8e-05,1.3e-05,0.0,67058,4237256,185784,Democratic,Democratic,Democratic,Democratic,22.8
2127,83,2020.04.23,68,5,0.0005,2e-05,1.6e-05,1.2e-06,67058,4237256,185784,Democratic,Democratic,Democratic,Democratic,22.8
2177,86,2020.04.24,50,3,0.00051,2e-05,1.18e-05,7e-07,67058,4237256,185784,Democratic,Democratic,Democratic,Democratic,22.8
2253,87,2020.04.25,76,1,0.00053,2.1e-05,1.79e-05,2e-07,67058,4237256,185784,Democratic,Democratic,Democratic,Democratic,22.8
2311,92,2020.04.26,58,5,0.00055,2.2e-05,1.37e-05,1.2e-06,67058,4237256,185784,Democratic,Democratic,Democratic,Democratic,22.8
2354,92,2020.04.27,43,0,0.00056,2.2e-05,1.01e-05,0.0,67058,4237256,185784,Democratic,Democratic,Democratic,Democratic,22.8
2385,99,2020.04.28,31,7,0.00056,2.3e-05,7.3e-06,1.7e-06,67058,4237256,185784,Democratic,Democratic,Democratic,Democratic,22.8
2446,101,2020.04.29,61,2,0.00058,2.4e-05,1.44e-05,5e-07,67058,4237256,185784,Democratic,Democratic,Democratic,Democratic,22.8
2510,103,2020.04.30,64,2,0.00059,2.4e-05,1.51e-05,5e-07,67058,4237256,185784,Democratic,Democratic,Democratic,Democratic,22.8
2579,104,2020.05.01,69,1,0.00061,2.5e-05,1.63e-05,2e-07,67058,4237256,185784,Democratic,Democratic,Democratic,Democratic,22.8
2635,109,2020.05.02,56,5,0.00062,2.6e-05,1.32e-05,1.2e-06,67058,4237256,185784,Democratic,Democratic,Democratic,Democratic,22.8
2680,109,2020.05.03,45,0,0.00063,2.6e-05,1.06e-05,0.0,67058,4237256,185784,Democratic,Democratic,Democratic,Democratic,22.8
2759,109,2020.05.04,79,0,0.00065,2.6e-05,1.86e-05,0.0,67058,4237256,185784,Democratic,Democratic,Democratic,Democratic,22.8
2839,113,2020.05.05,80,4,0.00067,2.7e-05,1.89e-05,9e-07,67058,4237256,185784,Democratic,Democratic,Democratic,Democratic,22.8
2916,115,2020.05.06,77,2,0.00069,2.7e-05,1.82e-05,5e-07,67058,4237256,185784,Democratic,Democratic,Democratic,Democratic,22.8
2989,121,2020.05.07,73,6,0.00071,2.9e-05,1.72e-05,1.4e-06,67058,4237256,185784,Democratic,Democratic,Democratic,Democratic,22.8
3068,124,2020.05.08,79,3,0.00072,2.9e-05,1.86e-05,7e-07,67058,4237256,185784,Democratic,Democratic,Democratic,Democratic,22.8
3160,127,2020.05.09,92,3,0.00075,3e-05,2.17e-05,7e-07,67058,4237256,185784,Democratic,Democratic,Democratic,Democratic,22.8
3228,127,2020.05.10,68,0,0.00076,3e-05,1.6e-05,0.0,67058,4237256,185784,Democratic,Democratic,Democratic,Democratic,22.8
3286,130,2020.05.11,58,3,0.00078,3.1e-05,1.37e-05,7e-07,67058,4237256,185784,Democratic,Democratic,Democratic,Democratic,22.8
3358,130,2020.05.12,72,0,0.00079,3.1e-05,1.7e-05,0.0,67058,4237256,185784,Democratic,Democratic,Democratic,Democratic,22.8
3416,134,2020.05.13,58,4,0.00081,3.2e-05,1.37e-05,9e-07,67058,4237256,185784,Democratic,Democratic,Democratic,Democratic,22.8
