Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
23219,572,2020.04.12,23219,572,0.00179,4.4e-05,0.0017857,4.4e-05,63463,13002700,113805,Democratic,Democratic,Republican,Republican,114.25
24505,610,2020.04.13,1286,38,0.00188,4.7e-05,9.89e-05,2.9e-06,63463,13002700,113805,Democratic,Democratic,Republican,Republican,114.25
25612,716,2020.04.14,1107,106,0.00197,5.5e-05,8.51e-05,8.2e-06,63463,13002700,113805,Democratic,Democratic,Republican,Republican,114.25
26841,803,2020.04.15,1229,87,0.00206,6.2e-05,9.45e-05,6.7e-06,63463,13002700,113805,Democratic,Democratic,Republican,Republican,114.25
28033,877,2020.04.16,1192,74,0.00216,6.7e-05,9.17e-05,5.7e-06,63463,13002700,113805,Democratic,Democratic,Republican,Republican,114.25
29855,960,2020.04.17,1822,83,0.0023,7.4e-05,0.0001401,6.4e-06,63463,13002700,113805,Democratic,Democratic,Republican,Republican,114.25
31671,1081,2020.04.18,1816,121,0.00244,8.3e-05,0.0001397,9.3e-06,63463,13002700,113805,Democratic,Democratic,Republican,Republican,114.25
32938,1320,2020.04.19,1267,239,0.00253,0.000102,9.74e-05,1.84e-05,63463,13002700,113805,Democratic,Democratic,Republican,Republican,114.25
33833,1397,2020.04.20,895,77,0.0026,0.000107,6.88e-05,5.9e-06,63463,13002700,113805,Democratic,Democratic,Republican,Republican,114.25
35077,1651,2020.04.21,1244,254,0.0027,0.000127,9.57e-05,1.95e-05,63463,13002700,113805,Democratic,Democratic,Republican,Republican,114.25
36420,1715,2020.04.22,1343,64,0.0028,0.000132,0.0001033,4.9e-06,63463,13002700,113805,Democratic,Democratic,Republican,Republican,114.25
38274,1771,2020.04.23,1854,56,0.00294,0.000136,0.0001426,4.3e-06,63463,13002700,113805,Democratic,Democratic,Republican,Republican,114.25
39915,1792,2020.04.24,1641,21,0.00307,0.000138,0.0001262,1.6e-06,63463,13002700,113805,Democratic,Democratic,Republican,Republican,114.25
41460,1845,2020.04.25,1545,53,0.00319,0.000142,0.0001188,4.1e-06,63463,13002700,113805,Democratic,Democratic,Republican,Republican,114.25
42784,1873,2020.04.26,1324,28,0.00329,0.000144,0.0001018,2.2e-06,63463,13002700,113805,Democratic,Democratic,Republican,Republican,114.25
43695,1954,2020.04.27,911,81,0.00336,0.00015,7.01e-05,6.2e-06,63463,13002700,113805,Democratic,Democratic,Republican,Republican,114.25
45199,2116,2020.04.28,1504,162,0.00348,0.000163,0.0001157,1.25e-05,63463,13002700,113805,Democratic,Democratic,Republican,Republican,114.25
46372,2432,2020.04.29,1173,316,0.00357,0.000187,9.02e-05,2.43e-05,63463,13002700,113805,Democratic,Democratic,Republican,Republican,114.25
47953,2529,2020.04.30,1581,97,0.00369,0.000194,0.0001216,7.5e-06,63463,13002700,113805,Democratic,Democratic,Republican,Republican,114.25
49646,2694,2020.05.01,1693,165,0.00382,0.000207,0.0001302,1.27e-05,63463,13002700,113805,Democratic,Democratic,Republican,Republican,114.25
50995,2753,2020.05.02,1349,59,0.00392,0.000212,0.0001037,4.5e-06,63463,13002700,113805,Democratic,Democratic,Republican,Republican,114.25
