Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
2665,91,2020.04.12,2665,91,0.00243,8.3e-05,0.0024285,8.29e-05,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
2665,100,2020.04.13,0,9,0.00243,9.1e-05,0.0,8.2e-06,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
3251,108,2020.04.14,586,8,0.00296,9.8e-05,0.000534,7.3e-06,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
3251,125,2020.04.15,0,17,0.00296,0.000114,0.0,1.55e-05,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
3529,139,2020.04.16,278,14,0.00322,0.000127,0.0002533,1.28e-05,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
4177,160,2020.04.17,648,21,0.00381,0.000146,0.0005905,1.91e-05,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
4491,175,2020.04.18,314,15,0.00409,0.000159,0.0002861,1.37e-05,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
4706,186,2020.04.19,215,11,0.00429,0.000169,0.0001959,1e-05,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
5090,196,2020.04.20,384,10,0.00464,0.000179,0.0003499,9.1e-06,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
5500,214,2020.04.21,410,18,0.00501,0.000195,0.0003736,1.64e-05,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
5841,232,2020.04.22,341,18,0.00532,0.000211,0.0003107,1.64e-05,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
6256,247,2020.04.23,415,15,0.0057,0.000225,0.0003782,1.37e-05,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
6699,262,2020.04.24,443,15,0.0061,0.000239,0.0004037,1.37e-05,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
7129,276,2020.04.25,430,14,0.0065,0.000252,0.0003918,1.28e-05,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
7439,290,2020.04.26,310,14,0.00678,0.000264,0.0002825,1.28e-05,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
7708,300,2020.04.27,269,10,0.00702,0.000273,0.0002451,9.1e-06,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
7927,322,2020.04.28,219,22,0.00722,0.000293,0.0001996,2e-05,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
8247,340,2020.04.29,320,18,0.00752,0.00031,0.0002916,1.64e-05,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
8621,364,2020.04.30,374,24,0.00786,0.000332,0.0003408,2.19e-05,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
8962,378,2020.05.01,341,14,0.00817,0.000344,0.0003107,1.28e-05,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
9289,402,2020.05.02,327,24,0.00846,0.000366,0.000298,2.19e-05,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
9477,423,2020.05.03,188,21,0.00864,0.000385,0.0001713,1.91e-05,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
9652,441,2020.05.04,175,18,0.0088,0.000402,0.0001595,1.64e-05,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
9933,457,2020.05.05,281,16,0.00905,0.000416,0.0002561,1.46e-05,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
10205,478,2020.05.06,272,21,0.0093,0.000436,0.0002479,1.91e-05,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
10530,499,2020.05.07,325,21,0.0096,0.000455,0.0002962,1.91e-05,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
10779,521,2020.05.08,249,22,0.00982,0.000475,0.0002269,2e-05,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
10989,536,2020.05.09,210,15,0.01001,0.000488,0.0001914,1.37e-05,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
11274,550,2020.05.10,285,14,0.01027,0.000501,0.0002597,1.28e-05,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
11450,565,2020.05.11,176,15,0.01043,0.000515,0.0001604,1.37e-05,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
11614,587,2020.05.12,164,22,0.01058,0.000535,0.0001494,2e-05,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
11835,600,2020.05.13,221,13,0.01078,0.000547,0.0002014,1.18e-05,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
12016,615,2020.05.14,181,15,0.01095,0.00056,0.0001649,1.37e-05,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
12219,629,2020.05.15,203,14,0.01113,0.000573,0.000185,1.28e-05,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
12434,644,2020.05.16,215,15,0.01133,0.000587,0.0001959,1.37e-05,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
12674,654,2020.05.17,240,10,0.01155,0.000596,0.0002187,9.1e-06,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
12795,672,2020.05.18,121,18,0.01166,0.000612,0.0001103,1.64e-05,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
12951,683,2020.05.19,156,11,0.0118,0.000622,0.0001422,1e-05,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
13356,705,2020.05.20,405,22,0.01217,0.000642,0.0003691,2e-05,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
13571,725,2020.05.21,215,20,0.01237,0.000661,0.0001959,1.82e-05,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
13736,736,2020.05.22,165,11,0.01252,0.000671,0.0001504,1e-05,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
13952,749,2020.05.23,216,13,0.01271,0.000683,0.0001968,1.18e-05,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
14065,757,2020.05.24,113,8,0.01282,0.00069,0.000103,7.3e-06,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
14065,767,2020.05.25,0,10,0.01282,0.000699,0.0,9.1e-06,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
14210,782,2020.05.26,145,15,0.01295,0.000713,0.0001321,1.37e-05,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
14353,792,2020.05.27,143,10,0.01308,0.000722,0.0001303,9.1e-06,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
14494,800,2020.05.28,141,8,0.01321,0.000729,0.0001285,7.3e-06,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
14635,812,2020.05.29,141,12,0.01334,0.00074,0.0001285,1.09e-05,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
14819,824,2020.05.30,184,12,0.0135,0.000751,0.0001677,1.09e-05,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
14928,827,2020.05.31,109,3,0.0136,0.000754,9.93e-05,2.7e-06,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
14991,832,2020.06.01,63,5,0.01366,0.000758,5.74e-05,4.6e-06,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
15112,842,2020.06.02,121,10,0.01377,0.000767,0.0001103,9.1e-06,71169,1097379,2678,Democratic,Democratic,Democratic,Democratic,409.77
