Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
3320,82,2020.04.12,3320,82,0.00065,1.6e-05,0.0006486,1.6e-05,56227,5118425,75195,Republican,Republican,Republican,Republican,68.06
3391,82,2020.04.13,71,0,0.00066,1.6e-05,1.39e-05,0.0,56227,5118425,75195,Republican,Republican,Republican,Republican,68.06
3553,97,2020.04.14,162,15,0.00069,1.9e-05,3.17e-05,2.9e-06,56227,5118425,75195,Republican,Republican,Republican,Republican,68.06
3656,106,2020.04.15,103,9,0.00071,2.1e-05,2.01e-05,1.8e-06,56227,5118425,75195,Republican,Republican,Republican,Republican,68.06
3931,111,2020.04.16,275,5,0.00077,2.2e-05,5.37e-05,1e-06,56227,5118425,75195,Republican,Republican,Republican,Republican,68.06
4099,116,2020.04.17,168,5,0.0008,2.3e-05,3.28e-05,1e-06,56227,5118425,75195,Republican,Republican,Republican,Republican,68.06
4248,119,2020.04.18,149,3,0.00083,2.3e-05,2.91e-05,6e-07,56227,5118425,75195,Republican,Republican,Republican,Republican,68.06
4377,120,2020.04.19,129,1,0.00086,2.3e-05,2.52e-05,2e-07,56227,5118425,75195,Republican,Republican,Republican,Republican,68.06
4446,123,2020.04.20,69,3,0.00087,2.4e-05,1.35e-05,6e-07,56227,5118425,75195,Republican,Republican,Republican,Republican,68.06
4439,124,2020.04.21,-7,1,0.00087,2.4e-05,-1.4e-06,2e-07,56227,5118425,75195,Republican,Republican,Republican,Republican,68.06
4761,140,2020.04.22,322,16,0.00093,2.7e-05,6.29e-05,3.1e-06,56227,5118425,75195,Republican,Republican,Republican,Republican,68.06
4917,150,2020.04.23,156,10,0.00096,2.9e-05,3.05e-05,2e-06,56227,5118425,75195,Republican,Republican,Republican,Republican,68.06
5070,157,2020.04.24,153,7,0.00099,3.1e-05,2.99e-05,1.4e-06,56227,5118425,75195,Republican,Republican,Republican,Republican,68.06
5253,166,2020.04.25,183,9,0.00103,3.2e-05,3.58e-05,1.8e-06,56227,5118425,75195,Republican,Republican,Republican,Republican,68.06
5498,174,2020.04.26,245,8,0.00107,3.4e-05,4.79e-05,1.6e-06,56227,5118425,75195,Republican,Republican,Republican,Republican,68.06
5613,177,2020.04.27,115,3,0.0011,3.5e-05,2.25e-05,6e-07,56227,5118425,75195,Republican,Republican,Republican,Republican,68.06
5735,192,2020.04.28,122,15,0.00112,3.8e-05,2.38e-05,2.9e-06,56227,5118425,75195,Republican,Republican,Republican,Republican,68.06
5882,231,2020.04.29,147,39,0.00115,4.5e-05,2.87e-05,7.6e-06,56227,5118425,75195,Republican,Republican,Republican,Republican,68.06
6095,244,2020.04.30,213,13,0.00119,4.8e-05,4.16e-05,2.5e-06,56227,5118425,75195,Republican,Republican,Republican,Republican,68.06
