Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
730,6,2020.04.12,730,6,0.00082,7e-06,0.0008233,6.8e-06,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
868,6,2020.04.13,138,0,0.00098,7e-06,0.0001556,0.0,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
988,6,2020.04.14,120,0,0.00111,7e-06,0.0001353,0.0,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
1168,6,2020.04.15,180,0,0.00132,7e-06,0.000203,0.0,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
1311,7,2020.04.16,143,1,0.00148,8e-06,0.0001613,1.1e-06,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
1411,7,2020.04.17,100,0,0.00159,8e-06,0.0001128,0.0,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
1542,7,2020.04.18,131,0,0.00174,8e-06,0.0001477,0.0,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
1635,7,2020.04.19,93,0,0.00184,8e-06,0.0001049,0.0,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
1685,7,2020.04.20,50,0,0.0019,8e-06,5.64e-05,0.0,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
1755,8,2020.04.21,70,1,0.00198,9e-06,7.89e-05,1.1e-06,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
1858,9,2020.04.22,103,1,0.0021,1e-05,0.0001162,1.1e-06,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
1956,9,2020.04.23,98,0,0.00221,1e-05,0.0001105,0.0,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
2040,10,2020.04.24,84,1,0.0023,1.1e-05,9.47e-05,1.1e-06,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
2147,10,2020.04.25,107,0,0.00242,1.1e-05,0.0001207,0.0,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
2212,11,2020.04.26,65,1,0.00249,1.2e-05,7.33e-05,1.1e-06,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
2244,11,2020.04.27,32,0,0.00253,1.2e-05,3.61e-05,0.0,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
2313,11,2020.04.28,69,0,0.00261,1.2e-05,7.78e-05,0.0,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
2373,13,2020.04.29,60,2,0.00268,1.5e-05,6.77e-05,2.3e-06,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
2449,17,2020.04.30,76,4,0.00276,1.9e-05,8.57e-05,4.5e-06,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
2525,21,2020.05.01,76,4,0.00285,2.4e-05,8.57e-05,4.5e-06,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
2588,21,2020.05.02,63,0,0.00292,2.4e-05,7.11e-05,0.0,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
2631,21,2020.05.03,43,0,0.00297,2.4e-05,4.85e-05,0.0,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
2668,21,2020.05.04,37,0,0.00301,2.4e-05,4.17e-05,0.0,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
2721,24,2020.05.05,53,3,0.00307,2.7e-05,5.98e-05,3.4e-06,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
2780,29,2020.05.06,59,5,0.00314,3.3e-05,6.65e-05,5.6e-06,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
2906,31,2020.05.07,126,2,0.00328,3.5e-05,0.0001421,2.3e-06,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
3145,31,2020.05.08,239,0,0.00355,3.5e-05,0.0002695,0.0,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
3393,34,2020.05.09,248,3,0.00383,3.8e-05,0.0002797,3.4e-06,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
3517,34,2020.05.10,124,0,0.00397,3.8e-05,0.0001398,0.0,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
3614,34,2020.05.11,97,0,0.00408,3.8e-05,0.0001094,0.0,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
3663,39,2020.05.12,49,5,0.00413,4.4e-05,5.53e-05,5.6e-06,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
3732,39,2020.05.13,69,0,0.00421,4.4e-05,7.78e-05,0.0,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
3792,43,2020.05.14,60,4,0.00428,4.8e-05,6.77e-05,4.5e-06,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
3887,44,2020.05.15,95,1,0.00438,5e-05,0.0001071,1.1e-06,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
3959,44,2020.05.16,72,0,0.00447,5e-05,8.12e-05,0.0,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
3987,44,2020.05.17,28,0,0.0045,5e-05,3.16e-05,0.0,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
4027,44,2020.05.18,40,0,0.00454,5e-05,4.51e-05,0.0,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
4085,46,2020.05.19,58,2,0.00461,5.2e-05,6.54e-05,2.3e-06,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
4177,46,2020.05.20,92,0,0.00471,5.2e-05,0.0001038,0.0,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
4177,48,2020.05.21,0,2,0.00471,5.4e-05,0.0,2.3e-06,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
4356,50,2020.05.22,179,2,0.00491,5.6e-05,0.0002019,2.3e-06,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
4464,50,2020.05.23,108,0,0.00503,5.6e-05,0.0001218,0.0,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
4563,50,2020.05.24,99,0,0.00515,5.6e-05,0.0001117,0.0,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
4586,50,2020.05.25,23,0,0.00517,5.6e-05,2.59e-05,0.0,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
4653,50,2020.05.26,67,0,0.00525,5.6e-05,7.56e-05,0.0,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
4710,54,2020.05.27,57,4,0.00531,6.1e-05,6.43e-05,4.5e-06,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
4793,54,2020.05.28,83,0,0.00541,6.1e-05,9.36e-05,0.0,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
4866,59,2020.05.29,73,5,0.00549,6.7e-05,8.23e-05,5.6e-06,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
4960,62,2020.05.30,94,3,0.00559,7e-05,0.000106,3.4e-06,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
4993,62,2020.05.31,33,0,0.00563,7e-05,3.72e-05,0.0,59533,886667,191726,Republican,Republican,Republican,Republican,4.62
