Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
5390,101,2020.04.12,5390,101,0.00078,1.5e-05,0.0007799,1.46e-05,56071,6910840,105528,Republican,Republican,Republican,Republican,65.48
5606,109,2020.04.13,216,8,0.00081,1.6e-05,3.13e-05,1.2e-06,56071,6910840,105528,Republican,Republican,Republican,Republican,65.48
5788,124,2020.04.14,182,15,0.00084,1.8e-05,2.63e-05,2.2e-06,56071,6910840,105528,Republican,Republican,Republican,Republican,65.48
6051,135,2020.04.15,263,11,0.00088,2e-05,3.81e-05,1.6e-06,56071,6910840,105528,Republican,Republican,Republican,Republican,65.48
6341,141,2020.04.16,290,6,0.00092,2e-05,4.2e-05,9e-07,56071,6910840,105528,Republican,Republican,Republican,Republican,65.48
6661,142,2020.04.17,320,1,0.00096,2.1e-05,4.63e-05,1e-07,56071,6910840,105528,Republican,Republican,Republican,Republican,65.48
6834,145,2020.04.18,173,3,0.00099,2.1e-05,2.5e-05,4e-07,56071,6910840,105528,Republican,Republican,Republican,Republican,65.48
7111,148,2020.04.19,277,3,0.00103,2.1e-05,4.01e-05,4e-07,56071,6910840,105528,Republican,Republican,Republican,Republican,65.48
7361,152,2020.04.20,250,4,0.00107,2.2e-05,3.62e-05,6e-07,56071,6910840,105528,Republican,Republican,Republican,Republican,65.48
7649,157,2020.04.21,288,5,0.00111,2.3e-05,4.17e-05,7e-07,56071,6910840,105528,Republican,Republican,Republican,Republican,65.48
8148,166,2020.04.22,499,9,0.00118,2.4e-05,7.22e-05,1.3e-06,56071,6910840,105528,Republican,Republican,Republican,Republican,65.48
8600,170,2020.04.23,452,4,0.00124,2.5e-05,6.54e-05,6e-07,56071,6910840,105528,Republican,Republican,Republican,Republican,65.48
9068,168,2020.04.24,468,-2,0.00131,2.4e-05,6.77e-05,-3e-07,56071,6910840,105528,Republican,Republican,Republican,Republican,65.48
9369,178,2020.04.25,301,10,0.00136,2.6e-05,4.36e-05,1.4e-06,56071,6910840,105528,Republican,Republican,Republican,Republican,65.48
9667,181,2020.04.26,298,3,0.0014,2.6e-05,4.31e-05,4e-07,56071,6910840,105528,Republican,Republican,Republican,Republican,65.48
9964,184,2020.04.27,297,3,0.00144,2.7e-05,4.3e-05,4e-07,56071,6910840,105528,Republican,Republican,Republican,Republican,65.48
10237,188,2020.04.28,273,4,0.00148,2.7e-05,3.95e-05,6e-07,56071,6910840,105528,Republican,Republican,Republican,Republican,65.48
10805,195,2020.04.29,568,7,0.00156,2.8e-05,8.22e-05,1e-06,56071,6910840,105528,Republican,Republican,Republican,Republican,65.48
11807,199,2020.04.30,1002,4,0.00171,2.9e-05,0.000145,6e-07,56071,6910840,105528,Republican,Republican,Republican,Republican,65.48
12576,204,2020.05.01,769,5,0.00182,3e-05,0.0001113,7e-07,56071,6910840,105528,Republican,Republican,Republican,Republican,65.48
12813,209,2020.05.02,237,5,0.00185,3e-05,3.43e-05,7e-07,56071,6910840,105528,Republican,Republican,Republican,Republican,65.48
13183,210,2020.05.03,370,1,0.00191,3e-05,5.35e-05,1e-07,56071,6910840,105528,Republican,Republican,Republican,Republican,65.48
13493,219,2020.05.04,310,9,0.00195,3.2e-05,4.49e-05,1.3e-06,56071,6910840,105528,Republican,Republican,Republican,Republican,65.48
13682,226,2020.05.05,189,7,0.00198,3.3e-05,2.73e-05,1e-06,56071,6910840,105528,Republican,Republican,Republican,Republican,65.48
