Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
9762,315,2020.04.12,9762,315,0.00033,1.1e-05,0.0003349,1.08e-05,64034,29145505,669413,Republican,Republican,Republican,Republican,43.53
10418,346,2020.04.13,656,31,0.00036,1.2e-05,2.25e-05,1.1e-06,64034,29145505,669413,Republican,Republican,Republican,Republican,43.53
11137,372,2020.04.14,719,26,0.00038,1.3e-05,2.47e-05,9e-07,64034,29145505,669413,Republican,Republican,Republican,Republican,43.53
11815,415,2020.04.15,678,43,0.00041,1.4e-05,2.33e-05,1.5e-06,64034,29145505,669413,Republican,Republican,Republican,Republican,43.53
12476,449,2020.04.16,661,34,0.00043,1.5e-05,2.27e-05,1.2e-06,64034,29145505,669413,Republican,Republican,Republican,Republican,43.53
13067,488,2020.04.17,591,39,0.00045,1.7e-05,2.03e-05,1.3e-06,64034,29145505,669413,Republican,Republican,Republican,Republican,43.53
13452,510,2020.04.18,385,22,0.00046,1.7e-05,1.32e-05,8e-07,64034,29145505,669413,Republican,Republican,Republican,Republican,43.53
13728,530,2020.04.19,276,20,0.00047,1.8e-05,9.5e-06,7e-07,64034,29145505,669413,Republican,Republican,Republican,Republican,43.53
14622,550,2020.04.20,894,20,0.0005,1.9e-05,3.07e-05,7e-07,64034,29145505,669413,Republican,Republican,Republican,Republican,43.53
15320,582,2020.04.21,698,32,0.00053,2e-05,2.39e-05,1.1e-06,64034,29145505,669413,Republican,Republican,Republican,Republican,43.53
16100,604,2020.04.22,780,22,0.00055,2.1e-05,2.68e-05,8e-07,64034,29145505,669413,Republican,Republican,Republican,Republican,43.53
17003,651,2020.04.23,903,47,0.00058,2.2e-05,3.1e-05,1.6e-06,64034,29145505,669413,Republican,Republican,Republican,Republican,43.53
17766,669,2020.04.24,763,18,0.00061,2.3e-05,2.62e-05,6e-07,64034,29145505,669413,Republican,Republican,Republican,Republican,43.53
18387,684,2020.04.25,621,15,0.00063,2.3e-05,2.13e-05,5e-07,64034,29145505,669413,Republican,Republican,Republican,Republican,43.53
18774,704,2020.04.26,387,20,0.00064,2.4e-05,1.33e-05,7e-07,64034,29145505,669413,Republican,Republican,Republican,Republican,43.53
20122,722,2020.04.27,1348,18,0.00069,2.5e-05,4.63e-05,6e-07,64034,29145505,669413,Republican,Republican,Republican,Republican,43.53
20891,771,2020.04.28,769,49,0.00072,2.6e-05,2.64e-05,1.7e-06,64034,29145505,669413,Republican,Republican,Republican,Republican,43.53
22323,810,2020.04.29,1432,39,0.00077,2.8e-05,4.91e-05,1.3e-06,64034,29145505,669413,Republican,Republican,Republican,Republican,43.53
23439,852,2020.04.30,1116,42,0.0008,2.9e-05,3.83e-05,1.4e-06,64034,29145505,669413,Republican,Republican,Republican,Republican,43.53
24746,887,2020.05.01,1307,35,0.00085,3e-05,4.48e-05,1.2e-06,64034,29145505,669413,Republican,Republican,Republican,Republican,43.53
