Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
2303,18,2020.04.12,2303,18,0.0007,6e-06,0.0007039,5.5e-06,75780,3271616,176509,Republican,Republican,Republican,Republican,18.53
2363,13,2020.04.13,60,-5,0.00072,4e-06,1.83e-05,-1.5e-06,75780,3271616,176509,Republican,Republican,Republican,Republican,18.53
2417,18,2020.04.14,54,5,0.00074,6e-06,1.65e-05,1.5e-06,75780,3271616,176509,Republican,Republican,Republican,Republican,18.53
2548,20,2020.04.15,131,2,0.00078,6e-06,4e-05,6e-07,75780,3271616,176509,Republican,Republican,Republican,Republican,18.53
2683,20,2020.04.16,135,0,0.00082,6e-06,4.13e-05,0.0,75780,3271616,176509,Republican,Republican,Republican,Republican,18.53
2793,23,2020.04.17,110,3,0.00085,7e-06,3.36e-05,9e-07,75780,3271616,176509,Republican,Republican,Republican,Republican,18.53
2917,25,2020.04.18,124,2,0.00089,8e-06,3.79e-05,6e-07,75780,3271616,176509,Republican,Republican,Republican,Republican,18.53
3069,27,2020.04.19,152,2,0.00094,8e-06,4.65e-05,6e-07,75780,3271616,176509,Republican,Republican,Republican,Republican,18.53
3213,28,2020.04.20,144,1,0.00098,9e-06,4.4e-05,3e-07,75780,3271616,176509,Republican,Republican,Republican,Republican,18.53
3297,32,2020.04.21,84,4,0.00101,1e-05,2.57e-05,1.2e-06,75780,3271616,176509,Republican,Republican,Republican,Republican,18.53
3445,32,2020.04.22,148,0,0.00105,1e-05,4.52e-05,0.0,75780,3271616,176509,Republican,Republican,Republican,Republican,18.53
3612,35,2020.04.23,167,3,0.0011,1.1e-05,5.1e-05,9e-07,75780,3271616,176509,Republican,Republican,Republican,Republican,18.53
3782,39,2020.04.24,170,4,0.00116,1.2e-05,5.2e-05,1.2e-06,75780,3271616,176509,Republican,Republican,Republican,Republican,18.53
3948,41,2020.04.25,166,2,0.00121,1.3e-05,5.07e-05,6e-07,75780,3271616,176509,Republican,Republican,Republican,Republican,18.53
4123,41,2020.04.26,175,0,0.00126,1.3e-05,5.35e-05,0.0,75780,3271616,176509,Republican,Republican,Republican,Republican,18.53
4236,41,2020.04.27,113,0,0.00129,1.3e-05,3.45e-05,0.0,75780,3271616,176509,Republican,Republican,Republican,Republican,18.53
4345,41,2020.04.28,109,0,0.00133,1.3e-05,3.33e-05,0.0,75780,3271616,176509,Republican,Republican,Republican,Republican,18.53
4497,45,2020.04.29,152,4,0.00137,1.4e-05,4.65e-05,1.2e-06,75780,3271616,176509,Republican,Republican,Republican,Republican,18.53
4672,46,2020.04.30,175,1,0.00143,1.4e-05,5.35e-05,3e-07,75780,3271616,176509,Republican,Republican,Republican,Republican,18.53
4828,46,2020.05.01,156,0,0.00148,1.4e-05,4.77e-05,0.0,75780,3271616,176509,Republican,Republican,Republican,Republican,18.53
4985,49,2020.05.02,157,3,0.00152,1.5e-05,4.8e-05,9e-07,75780,3271616,176509,Republican,Republican,Republican,Republican,18.53
5175,50,2020.05.03,190,1,0.00158,1.5e-05,5.81e-05,3e-07,75780,3271616,176509,Republican,Republican,Republican,Republican,18.53
5317,50,2020.05.04,142,0,0.00163,1.5e-05,4.34e-05,0.0,75780,3271616,176509,Republican,Republican,Republican,Republican,18.53
5449,56,2020.05.05,132,6,0.00167,1.7e-05,4.03e-05,1.8e-06,75780,3271616,176509,Republican,Republican,Republican,Republican,18.53
5595,58,2020.05.06,146,2,0.00171,1.8e-05,4.46e-05,6e-07,75780,3271616,176509,Republican,Republican,Republican,Republican,18.53
5724,61,2020.05.07,129,3,0.00175,1.9e-05,3.94e-05,9e-07,75780,3271616,176509,Republican,Republican,Republican,Republican,18.53
5919,61,2020.05.08,195,0,0.00181,1.9e-05,5.96e-05,0.0,75780,3271616,176509,Republican,Republican,Republican,Republican,18.53
6103,66,2020.05.09,184,5,0.00187,2e-05,5.62e-05,1.5e-06,75780,3271616,176509,Republican,Republican,Republican,Republican,18.53
6251,67,2020.05.10,148,1,0.00191,2e-05,4.52e-05,3e-07,75780,3271616,176509,Republican,Republican,Republican,Republican,18.53
6362,68,2020.05.11,111,1,0.00194,2.1e-05,3.39e-05,3e-07,75780,3271616,176509,Republican,Republican,Republican,Republican,18.53
6432,73,2020.05.12,70,5,0.00197,2.2e-05,2.14e-05,1.5e-06,75780,3271616,176509,Republican,Republican,Republican,Republican,18.53
6620,75,2020.05.13,188,2,0.00202,2.3e-05,5.75e-05,6e-07,75780,3271616,176509,Republican,Republican,Republican,Republican,18.53
6749,75,2020.05.14,129,0,0.00206,2.3e-05,3.94e-05,0.0,75780,3271616,176509,Republican,Republican,Republican,Republican,18.53
6913,77,2020.05.15,164,2,0.00211,2.4e-05,5.01e-05,6e-07,75780,3271616,176509,Republican,Republican,Republican,Republican,18.53
7068,78,2020.05.16,155,1,0.00216,2.4e-05,4.74e-05,3e-07,75780,3271616,176509,Republican,Republican,Republican,Republican,18.53
7238,80,2020.05.17,170,2,0.00221,2.4e-05,5.2e-05,6e-07,75780,3271616,176509,Republican,Republican,Republican,Republican,18.53
7384,80,2020.05.18,146,0,0.00226,2.4e-05,4.46e-05,0.0,75780,3271616,176509,Republican,Republican,Republican,Republican,18.53
7518,88,2020.05.19,134,8,0.0023,2.7e-05,4.1e-05,2.4e-06,75780,3271616,176509,Republican,Republican,Republican,Republican,18.53
7710,90,2020.05.20,192,2,0.00236,2.8e-05,5.87e-05,6e-07,75780,3271616,176509,Republican,Republican,Republican,Republican,18.53
7874,92,2020.05.21,164,2,0.00241,2.8e-05,5.01e-05,6e-07,75780,3271616,176509,Republican,Republican,Republican,Republican,18.53
