Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
727,27,2020.04.12,727,27,0.00113,4.2e-05,0.0011305,4.2e-05,63001,643077,22219,Republican,Democratic,Democratic,Democratic,28.94
748,28,2020.04.13,21,1,0.00116,4.4e-05,3.27e-05,1.6e-06,63001,643077,22219,Republican,Democratic,Democratic,Democratic,28.94
752,29,2020.04.14,4,1,0.00117,4.5e-05,6.2e-06,1.6e-06,63001,643077,22219,Republican,Democratic,Democratic,Democratic,28.94
759,29,2020.04.15,7,0,0.00118,4.5e-05,1.09e-05,0.0,63001,643077,22219,Republican,Democratic,Democratic,Democratic,28.94
774,33,2020.04.16,15,4,0.0012,5.1e-05,2.33e-05,6.2e-06,63001,643077,22219,Republican,Democratic,Democratic,Democratic,28.94
779,35,2020.04.17,5,2,0.00121,5.4e-05,7.8e-06,3.1e-06,63001,643077,22219,Republican,Democratic,Democratic,Democratic,28.94
803,38,2020.04.18,24,3,0.00125,5.9e-05,3.73e-05,4.7e-06,63001,643077,22219,Republican,Democratic,Democratic,Democratic,28.94
813,38,2020.04.19,10,0,0.00126,5.9e-05,1.56e-05,0.0,63001,643077,22219,Republican,Democratic,Democratic,Democratic,28.94
816,38,2020.04.20,3,0,0.00127,5.9e-05,4.7e-06,0.0,63001,643077,22219,Republican,Democratic,Democratic,Democratic,28.94
818,40,2020.04.21,2,2,0.00127,6.2e-05,3.1e-06,3.1e-06,63001,643077,22219,Republican,Democratic,Democratic,Democratic,28.94
823,40,2020.04.22,5,0,0.00128,6.2e-05,7.8e-06,0.0,63001,643077,22219,Republican,Democratic,Democratic,Democratic,28.94
825,43,2020.04.23,2,3,0.00128,6.7e-05,3.1e-06,4.7e-06,63001,643077,22219,Republican,Democratic,Democratic,Democratic,28.94
827,44,2020.04.24,2,1,0.00129,6.8e-05,3.1e-06,1.6e-06,63001,643077,22219,Republican,Democratic,Democratic,Democratic,28.94
843,46,2020.04.25,16,2,0.00131,7.2e-05,2.49e-05,3.1e-06,63001,643077,22219,Republican,Democratic,Democratic,Democratic,28.94
851,46,2020.04.26,8,0,0.00132,7.2e-05,1.24e-05,0.0,63001,643077,22219,Republican,Democratic,Democratic,Democratic,28.94
855,47,2020.04.27,4,1,0.00133,7.3e-05,6.2e-06,1.6e-06,63001,643077,22219,Republican,Democratic,Democratic,Democratic,28.94
862,47,2020.04.28,7,0,0.00134,7.3e-05,1.09e-05,0.0,63001,643077,22219,Republican,Democratic,Democratic,Democratic,28.94
862,47,2020.04.29,0,0,0.00134,7.3e-05,0.0,0.0,63001,643077,22219,Republican,Democratic,Democratic,Democratic,28.94
866,49,2020.04.30,4,2,0.00135,7.6e-05,6.2e-06,3.1e-06,63001,643077,22219,Republican,Democratic,Democratic,Democratic,28.94
879,50,2020.05.01,13,1,0.00137,7.8e-05,2.02e-05,1.6e-06,63001,643077,22219,Republican,Democratic,Democratic,Democratic,28.94
886,51,2020.05.02,7,1,0.00138,7.9e-05,1.09e-05,1.6e-06,63001,643077,22219,Republican,Democratic,Democratic,Democratic,28.94
897,53,2020.05.03,11,2,0.00139,8.2e-05,1.71e-05,3.1e-06,63001,643077,22219,Republican,Democratic,Democratic,Democratic,28.94
902,52,2020.05.04,5,-1,0.0014,8.1e-05,7.8e-06,-1.6e-06,63001,643077,22219,Republican,Democratic,Democratic,Democratic,28.94
907,52,2020.05.05,5,0,0.00141,8.1e-05,7.8e-06,0.0,63001,643077,22219,Republican,Democratic,Democratic,Democratic,28.94
908,52,2020.05.06,1,0,0.00141,8.1e-05,1.6e-06,0.0,63001,643077,22219,Republican,Democratic,Democratic,Democratic,28.94
916,53,2020.05.07,8,1,0.00142,8.2e-05,1.24e-05,1.6e-06,63001,643077,22219,Republican,Democratic,Democratic,Democratic,28.94
919,53,2020.05.08,3,0,0.00143,8.2e-05,4.7e-06,0.0,63001,643077,22219,Republican,Democratic,Democratic,Democratic,28.94
921,53,2020.05.09,2,0,0.00143,8.2e-05,3.1e-06,0.0,63001,643077,22219,Republican,Democratic,Democratic,Democratic,28.94
927,53,2020.05.10,6,0,0.00144,8.2e-05,9.3e-06,0.0,63001,643077,22219,Republican,Democratic,Democratic,Democratic,28.94
926,53,2020.05.11,-1,0,0.00144,8.2e-05,-1.6e-06,0.0,63001,643077,22219,Republican,Democratic,Democratic,Democratic,28.94
927,53,2020.05.12,1,0,0.00144,8.2e-05,1.6e-06,0.0,63001,643077,22219,Republican,Democratic,Democratic,Democratic,28.94
929,53,2020.05.13,2,0,0.00144,8.2e-05,3.1e-06,0.0,63001,643077,22219,Republican,Democratic,Democratic,Democratic,28.94
932,53,2020.05.14,3,0,0.00145,8.2e-05,4.7e-06,0.0,63001,643077,22219,Republican,Democratic,Democratic,Democratic,28.94
933,53,2020.05.15,1,0,0.00145,8.2e-05,1.6e-06,0.0,63001,643077,22219,Republican,Democratic,Democratic,Democratic,28.94
934,53,2020.05.16,1,0,0.00145,8.2e-05,1.6e-06,0.0,63001,643077,22219,Republican,Democratic,Democratic,Democratic,28.94
940,54,2020.05.17,6,1,0.00146,8.4e-05,9.3e-06,1.6e-06,63001,643077,22219,Republican,Democratic,Democratic,Democratic,28.94
940,54,2020.05.18,0,0,0.00146,8.4e-05,0.0,0.0,63001,643077,22219,Republican,Democratic,Democratic,Democratic,28.94
944,54,2020.05.19,4,0,0.00147,8.4e-05,6.2e-06,0.0,63001,643077,22219,Republican,Democratic,Democratic,Democratic,28.94
944,54,2020.05.20,0,0,0.00147,8.4e-05,0.0,0.0,63001,643077,22219,Republican,Democratic,Democratic,Democratic,28.94
950,54,2020.05.21,6,0,0.00148,8.4e-05,9.3e-06,0.0,63001,643077,22219,Republican,Democratic,Democratic,Democratic,28.94
952,54,2020.05.22,2,0,0.00148,8.4e-05,3.1e-06,0.0,63001,643077,22219,Republican,Democratic,Democratic,Democratic,28.94
954,54,2020.05.23,2,0,0.00148,8.4e-05,3.1e-06,0.0,63001,643077,22219,Republican,Democratic,Democratic,Democratic,28.94
956,54,2020.05.24,2,0,0.00149,8.4e-05,3.1e-06,0.0,63001,643077,22219,Republican,Democratic,Democratic,Democratic,28.94
962,54,2020.05.25,6,0,0.0015,8.4e-05,9.3e-06,0.0,63001,643077,22219,Republican,Democratic,Democratic,Democratic,28.94
967,54,2020.05.26,5,0,0.0015,8.4e-05,7.8e-06,0.0,63001,643077,22219,Republican,Democratic,Democratic,Democratic,28.94
971,54,2020.05.27,4,0,0.00151,8.4e-05,6.2e-06,0.0,63001,643077,22219,Republican,Democratic,Democratic,Democratic,28.94
974,55,2020.05.28,3,1,0.00151,8.6e-05,4.7e-06,1.6e-06,63001,643077,22219,Republican,Democratic,Democratic,Democratic,28.94
975,55,2020.05.29,1,0,0.00152,8.6e-05,1.6e-06,0.0,63001,643077,22219,Republican,Democratic,Democratic,Democratic,28.94
977,55,2020.05.30,2,0,0.00152,8.6e-05,3.1e-06,0.0,63001,643077,22219,Republican,Democratic,Democratic,Democratic,28.94
