Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
5274,141,2020.04.12,5274,141,0.00061,1.6e-05,0.000611,1.63e-05,76456,8631393,94216,Democratic,Democratic,Democratic,Democratic,91.61
5747,149,2020.04.13,473,8,0.00067,1.7e-05,5.48e-05,9e-07,76456,8631393,94216,Democratic,Democratic,Democratic,Democratic,91.61
6182,154,2020.04.14,435,5,0.00072,1.8e-05,5.04e-05,6e-07,76456,8631393,94216,Democratic,Democratic,Democratic,Democratic,91.61
6500,195,2020.04.15,318,41,0.00075,2.3e-05,3.68e-05,4.8e-06,76456,8631393,94216,Democratic,Democratic,Democratic,Democratic,91.61
6889,208,2020.04.16,389,13,0.0008,2.4e-05,4.51e-05,1.5e-06,76456,8631393,94216,Democratic,Democratic,Democratic,Democratic,91.61
7491,231,2020.04.17,602,23,0.00087,2.7e-05,6.97e-05,2.7e-06,76456,8631393,94216,Democratic,Democratic,Democratic,Democratic,91.61
8053,258,2020.04.18,562,27,0.00093,3e-05,6.51e-05,3.1e-06,76456,8631393,94216,Democratic,Democratic,Democratic,Democratic,91.61
8542,277,2020.04.19,489,19,0.00099,3.2e-05,5.67e-05,2.2e-06,76456,8631393,94216,Democratic,Democratic,Democratic,Democratic,91.61
8990,300,2020.04.20,448,23,0.00104,3.5e-05,5.19e-05,2.7e-06,76456,8631393,94216,Democratic,Democratic,Democratic,Democratic,91.61
9630,324,2020.04.21,640,24,0.00112,3.8e-05,7.41e-05,2.8e-06,76456,8631393,94216,Democratic,Democratic,Democratic,Democratic,91.61
10266,349,2020.04.22,636,25,0.00119,4e-05,7.37e-05,2.9e-06,76456,8631393,94216,Democratic,Democratic,Democratic,Democratic,91.61
10998,373,2020.04.23,732,24,0.00127,4.3e-05,8.48e-05,2.8e-06,76456,8631393,94216,Democratic,Democratic,Democratic,Democratic,91.61
11594,411,2020.04.24,596,38,0.00134,4.8e-05,6.91e-05,4.4e-06,76456,8631393,94216,Democratic,Democratic,Democratic,Democratic,91.61
12366,437,2020.04.25,772,26,0.00143,5.1e-05,8.94e-05,3e-06,76456,8631393,94216,Democratic,Democratic,Democratic,Democratic,91.61
12970,449,2020.04.26,604,12,0.0015,5.2e-05,7e-05,1.4e-06,76456,8631393,94216,Democratic,Democratic,Democratic,Democratic,91.61
13538,460,2020.04.27,568,11,0.00157,5.3e-05,6.58e-05,1.3e-06,76456,8631393,94216,Democratic,Democratic,Democratic,Democratic,91.61
14339,492,2020.04.28,801,32,0.00166,5.7e-05,9.28e-05,3.7e-06,76456,8631393,94216,Democratic,Democratic,Democratic,Democratic,91.61
14962,522,2020.04.29,623,30,0.00173,6e-05,7.22e-05,3.5e-06,76456,8631393,94216,Democratic,Democratic,Democratic,Democratic,91.61
15847,552,2020.04.30,885,30,0.00184,6.4e-05,0.0001025,3.5e-06,76456,8631393,94216,Democratic,Democratic,Democratic,Democratic,91.61
16902,581,2020.05.01,1055,29,0.00196,6.7e-05,0.0001222,3.4e-06,76456,8631393,94216,Democratic,Democratic,Democratic,Democratic,91.61
17738,617,2020.05.02,836,36,0.00206,7.1e-05,9.69e-05,4.2e-06,76456,8631393,94216,Democratic,Democratic,Democratic,Democratic,91.61
18672,660,2020.05.03,934,43,0.00216,7.6e-05,0.0001082,5e-06,76456,8631393,94216,Democratic,Democratic,Democratic,Democratic,91.61
19493,684,2020.05.04,821,24,0.00226,7.9e-05,9.51e-05,2.8e-06,76456,8631393,94216,Democratic,Democratic,Democratic,Democratic,91.61
20257,713,2020.05.05,764,29,0.00235,8.3e-05,8.85e-05,3.4e-06,76456,8631393,94216,Democratic,Democratic,Democratic,Democratic,91.61
20257,713,2020.05.06,0,0,0.00235,8.3e-05,0.0,0.0,76456,8631393,94216,Democratic,Democratic,Democratic,Democratic,91.61
21570,769,2020.05.07,1313,56,0.0025,8.9e-05,0.0001521,6.5e-06,76456,8631393,94216,Democratic,Democratic,Democratic,Democratic,91.61
22342,812,2020.05.08,772,43,0.00259,9.4e-05,8.94e-05,5e-06,76456,8631393,94216,Democratic,Democratic,Democratic,Democratic,91.61
23196,827,2020.05.09,854,15,0.00269,9.6e-05,9.89e-05,1.7e-06,76456,8631393,94216,Democratic,Democratic,Democratic,Democratic,91.61
24081,839,2020.05.10,885,12,0.00279,9.7e-05,0.0001025,1.4e-06,76456,8631393,94216,Democratic,Democratic,Democratic,Democratic,91.61
25070,850,2020.05.11,989,11,0.0029,9.8e-05,0.0001146,1.3e-06,76456,8631393,94216,Democratic,Democratic,Democratic,Democratic,91.61
25800,892,2020.05.12,730,42,0.00299,0.000103,8.46e-05,4.9e-06,76456,8631393,94216,Democratic,Democratic,Democratic,Democratic,91.61
26746,928,2020.05.13,946,36,0.0031,0.000108,0.0001096,4.2e-06,76456,8631393,94216,Democratic,Democratic,Democratic,Democratic,91.61
27813,956,2020.05.14,1067,28,0.00322,0.000111,0.0001236,3.2e-06,76456,8631393,94216,Democratic,Democratic,Democratic,Democratic,91.61
