Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
10609,562,2020.04.12,10609,562,0.00138,7.3e-05,0.0013768,7.29e-05,78687,7705281,123565,Democratic,Democratic,Democratic,Democratic,62.35
10635,582,2020.04.13,26,20,0.00138,7.6e-05,3.4e-06,2.6e-06,78687,7705281,123565,Democratic,Democratic,Democratic,Democratic,62.35
10799,599,2020.04.14,164,17,0.0014,7.8e-05,2.13e-05,2.2e-06,78687,7705281,123565,Democratic,Democratic,Democratic,Democratic,62.35
10942,609,2020.04.15,143,10,0.00142,7.9e-05,1.86e-05,1.3e-06,78687,7705281,123565,Democratic,Democratic,Democratic,Democratic,62.35
11057,630,2020.04.16,115,21,0.00143,8.2e-05,1.49e-05,2.7e-06,78687,7705281,123565,Democratic,Democratic,Democratic,Democratic,62.35
11517,649,2020.04.17,460,19,0.00149,8.4e-05,5.97e-05,2.5e-06,78687,7705281,123565,Democratic,Democratic,Democratic,Democratic,62.35
11776,666,2020.04.18,259,17,0.00153,8.6e-05,3.36e-05,2.2e-06,78687,7705281,123565,Democratic,Democratic,Democratic,Democratic,62.35
12255,690,2020.04.19,479,24,0.00159,9e-05,6.22e-05,3.1e-06,78687,7705281,123565,Democratic,Democratic,Democratic,Democratic,62.35
12114,709,2020.04.20,-141,19,0.00157,9.2e-05,-1.83e-05,2.5e-06,78687,7705281,123565,Democratic,Democratic,Democratic,Democratic,62.35
12392,725,2020.04.21,278,16,0.00161,9.4e-05,3.61e-05,2.1e-06,78687,7705281,123565,Democratic,Democratic,Democratic,Democratic,62.35
12596,734,2020.04.22,204,9,0.00163,9.5e-05,2.65e-05,1.2e-06,78687,7705281,123565,Democratic,Democratic,Democratic,Democratic,62.35
12753,747,2020.04.23,157,13,0.00166,9.7e-05,2.04e-05,1.7e-06,78687,7705281,123565,Democratic,Democratic,Democratic,Democratic,62.35
12977,762,2020.04.24,224,15,0.00168,9.9e-05,2.91e-05,1.9e-06,78687,7705281,123565,Democratic,Democratic,Democratic,Democratic,62.35
13319,779,2020.04.25,342,17,0.00173,0.000101,4.44e-05,2.2e-06,78687,7705281,123565,Democratic,Democratic,Democratic,Democratic,62.35
13521,799,2020.04.26,202,20,0.00175,0.000104,2.62e-05,2.6e-06,78687,7705281,123565,Democratic,Democratic,Democratic,Democratic,62.35
13686,810,2020.04.27,165,11,0.00178,0.000105,2.14e-05,1.4e-06,78687,7705281,123565,Democratic,Democratic,Democratic,Democratic,62.35
13842,820,2020.04.28,156,10,0.0018,0.000106,2.02e-05,1.3e-06,78687,7705281,123565,Democratic,Democratic,Democratic,Democratic,62.35
14070,828,2020.04.29,228,8,0.00183,0.000107,2.96e-05,1e-06,78687,7705281,123565,Democratic,Democratic,Democratic,Democratic,62.35
14327,836,2020.04.30,257,8,0.00186,0.000108,3.34e-05,1e-06,78687,7705281,123565,Democratic,Democratic,Democratic,Democratic,62.35
14637,850,2020.05.01,310,14,0.0019,0.00011,4.02e-05,1.8e-06,78687,7705281,123565,Democratic,Democratic,Democratic,Democratic,62.35
15003,862,2020.05.02,366,12,0.00195,0.000112,4.75e-05,1.6e-06,78687,7705281,123565,Democratic,Democratic,Democratic,Democratic,62.35
15185,874,2020.05.03,182,12,0.00197,0.000113,2.36e-05,1.6e-06,78687,7705281,123565,Democratic,Democratic,Democratic,Democratic,62.35
15462,885,2020.05.04,277,11,0.00201,0.000115,3.59e-05,1.4e-06,78687,7705281,123565,Democratic,Democratic,Democratic,Democratic,62.35
15594,898,2020.05.05,132,13,0.00202,0.000117,1.71e-05,1.7e-06,78687,7705281,123565,Democratic,Democratic,Democratic,Democratic,62.35
15905,911,2020.05.06,311,13,0.00206,0.000118,4.04e-05,1.7e-06,78687,7705281,123565,Democratic,Democratic,Democratic,Democratic,62.35
16231,925,2020.05.07,326,14,0.00211,0.00012,4.23e-05,1.8e-06,78687,7705281,123565,Democratic,Democratic,Democratic,Democratic,62.35
16388,941,2020.05.08,157,16,0.00213,0.000122,2.04e-05,2.1e-06,78687,7705281,123565,Democratic,Democratic,Democratic,Democratic,62.35
