Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
593,6,2020.04.12,593,6,0.00033,3e-06,0.0003306,3.3e-06,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
611,8,2020.04.13,18,2,0.00034,4e-06,1e-05,1.1e-06,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
640,9,2020.04.14,29,1,0.00036,5e-06,1.62e-05,6e-07,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
702,10,2020.04.15,62,1,0.00039,6e-06,3.46e-05,6e-07,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
728,12,2020.04.16,26,2,0.00041,7e-06,1.45e-05,1.1e-06,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
775,16,2020.04.17,47,4,0.00043,9e-06,2.62e-05,2.2e-06,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
785,16,2020.04.18,10,0,0.00044,9e-06,5.6e-06,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
890,18,2020.04.19,105,2,0.0005,1e-05,5.85e-05,1.1e-06,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
902,24,2020.04.20,12,6,0.0005,1.3e-05,6.7e-06,3.3e-06,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
908,26,2020.04.21,6,2,0.00051,1.4e-05,3.3e-06,1.1e-06,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
939,27,2020.04.22,31,1,0.00052,1.5e-05,1.73e-05,6e-07,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
981,31,2020.04.23,42,4,0.00055,1.7e-05,2.34e-05,2.2e-06,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
1010,32,2020.04.24,29,1,0.00056,1.8e-05,1.62e-05,6e-07,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
1010,32,2020.04.25,0,0,0.00056,1.8e-05,0.0,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
1055,34,2020.04.26,45,2,0.00059,1.9e-05,2.51e-05,1.1e-06,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
1063,34,2020.04.27,8,0,0.00059,1.9e-05,4.5e-06,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
1095,38,2020.04.28,32,4,0.00061,2.1e-05,1.78e-05,2.2e-06,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
1110,38,2020.04.29,15,0,0.00062,2.1e-05,8.4e-06,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
1125,41,2020.04.30,15,3,0.00063,2.3e-05,8.4e-06,1.7e-06,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
1152,46,2020.05.01,27,5,0.00064,2.6e-05,1.51e-05,2.8e-06,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
1185,48,2020.05.02,33,2,0.00066,2.7e-05,1.84e-05,1.1e-06,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
1195,48,2020.05.03,10,0,0.00067,2.7e-05,5.6e-06,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
1224,48,2020.05.04,29,0,0.00068,2.7e-05,1.62e-05,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
1246,48,2020.05.05,22,0,0.00069,2.7e-05,1.23e-05,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
1242,50,2020.05.06,-4,2,0.00069,2.8e-05,-2.2e-06,1.1e-06,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
1287,51,2020.05.07,45,1,0.00072,2.8e-05,2.51e-05,6e-07,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
1323,52,2020.05.08,36,1,0.00074,2.9e-05,2.01e-05,6e-07,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
1323,52,2020.05.09,0,0,0.00074,2.9e-05,0.0,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
1360,54,2020.05.10,37,2,0.00076,3e-05,2.06e-05,1.1e-06,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
1366,54,2020.05.11,6,0,0.00076,3e-05,3.3e-06,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
1378,58,2020.05.12,12,4,0.00077,3.2e-05,6.7e-06,2.2e-06,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
1398,58,2020.05.13,20,0,0.00078,3.2e-05,1.12e-05,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
1427,60,2020.05.14,29,2,0.0008,3.3e-05,1.62e-05,1.1e-06,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
1447,64,2020.05.15,20,4,0.00081,3.6e-05,1.12e-05,2.2e-06,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
1470,64,2020.05.16,23,0,0.00082,3.6e-05,1.28e-05,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
1492,67,2020.05.17,22,3,0.00083,3.7e-05,1.23e-05,1.7e-06,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
1502,68,2020.05.18,10,1,0.00084,3.8e-05,5.6e-06,6e-07,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
1502,68,2020.05.19,0,0,0.00084,3.8e-05,0.0,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
1567,69,2020.05.20,65,1,0.00087,3.8e-05,3.62e-05,6e-07,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
1593,70,2020.05.21,26,1,0.00089,3.9e-05,1.45e-05,6e-07,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
1705,72,2020.05.22,112,2,0.00095,4e-05,6.24e-05,1.1e-06,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
1705,72,2020.05.23,0,0,0.00095,4e-05,0.0,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
1759,72,2020.05.24,54,0,0.00098,4e-05,3.01e-05,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
1774,72,2020.05.25,15,0,0.00099,4e-05,8.4e-06,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
1774,72,2020.05.26,0,0,0.00099,4e-05,0.0,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
1899,74,2020.05.27,125,2,0.00106,4.1e-05,6.97e-05,1.1e-06,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
1935,74,2020.05.28,36,0,0.00108,4.1e-05,2.01e-05,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
1951,74,2020.05.29,16,0,0.00109,4.1e-05,8.9e-06,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
1989,75,2020.05.30,38,1,0.00111,4.2e-05,2.12e-05,6e-07,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
2010,75,2020.05.31,21,0,0.00112,4.2e-05,1.17e-05,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
2028,76,2020.06.01,18,1,0.00113,4.2e-05,1e-05,6e-07,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
2056,78,2020.06.02,28,2,0.00115,4.3e-05,1.56e-05,1.1e-06,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
2077,78,2020.06.03,21,0,0.00116,4.3e-05,1.17e-05,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
2102,79,2020.06.04,25,1,0.00117,4.4e-05,1.39e-05,6e-07,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
2119,84,2020.06.05,17,5,0.00118,4.7e-05,9.5e-06,2.8e-06,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
2136,84,2020.06.06,17,0,0.00119,4.7e-05,9.5e-06,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
2144,84,2020.06.07,8,0,0.0012,4.7e-05,4.5e-06,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
2161,84,2020.06.08,17,0,0.0012,4.7e-05,9.5e-06,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
2169,84,2020.06.09,8,0,0.00121,4.7e-05,4.5e-06,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
2194,85,2020.06.10,25,1,0.00122,4.7e-05,1.39e-05,6e-07,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
2217,86,2020.06.11,23,1,0.00124,4.8e-05,1.28e-05,6e-07,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
2249,88,2020.06.12,32,2,0.00125,4.9e-05,1.78e-05,1.1e-06,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
2274,88,2020.06.13,25,0,0.00127,4.9e-05,1.39e-05,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
2290,88,2020.06.14,16,0,0.00128,4.9e-05,8.9e-06,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
2322,88,2020.06.15,32,0,0.00129,4.9e-05,1.78e-05,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
2341,88,2020.06.16,19,0,0.00131,4.9e-05,1.06e-05,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
2376,88,2020.06.17,35,0,0.00132,4.9e-05,1.95e-05,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
2418,88,2020.06.18,42,0,0.00135,4.9e-05,2.34e-05,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
2468,88,2020.06.19,50,0,0.00138,4.9e-05,2.79e-05,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
2500,88,2020.06.20,32,0,0.00139,4.9e-05,1.78e-05,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
2533,89,2020.06.21,33,1,0.00141,5e-05,1.84e-05,6e-07,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
2552,89,2020.06.22,19,0,0.00142,5e-05,1.06e-05,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
2593,92,2020.06.23,41,3,0.00145,5.1e-05,2.29e-05,1.7e-06,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
2631,92,2020.06.24,38,0,0.00147,5.1e-05,2.12e-05,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
2694,92,2020.06.25,63,0,0.0015,5.1e-05,3.51e-05,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
2730,92,2020.06.26,36,0,0.00152,5.1e-05,2.01e-05,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
2782,93,2020.06.27,52,1,0.00155,5.2e-05,2.9e-05,6e-07,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
2832,93,2020.06.28,50,0,0.00158,5.2e-05,2.79e-05,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
2870,93,2020.06.29,38,0,0.0016,5.2e-05,2.12e-05,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
2905,93,2020.06.30,35,0,0.00162,5.2e-05,1.95e-05,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
2979,93,2020.07.01,74,0,0.00166,5.2e-05,4.13e-05,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
3053,93,2020.07.02,74,0,0.0017,5.2e-05,4.13e-05,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
3126,93,2020.07.03,73,0,0.00174,5.2e-05,4.07e-05,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
3205,94,2020.07.04,79,1,0.00179,5.2e-05,4.4e-05,6e-07,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
3262,94,2020.07.05,57,0,0.00182,5.2e-05,3.18e-05,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
3442,95,2020.07.06,180,1,0.00192,5.3e-05,0.0001004,6e-07,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
3505,95,2020.07.07,63,0,0.00195,5.3e-05,3.51e-05,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
3707,95,2020.07.08,202,0,0.00207,5.3e-05,0.0001126,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
3826,95,2020.07.09,119,0,0.00213,5.3e-05,6.63e-05,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
3983,95,2020.07.10,157,0,0.00222,5.3e-05,8.75e-05,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
4146,96,2020.07.11,163,1,0.00231,5.4e-05,9.09e-05,6e-07,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
4244,96,2020.07.12,98,0,0.00237,5.4e-05,5.46e-05,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
4313,97,2020.07.13,69,1,0.0024,5.4e-05,3.85e-05,6e-07,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
4407,97,2020.07.14,94,0,0.00246,5.4e-05,5.24e-05,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
4557,98,2020.07.15,150,1,0.00254,5.5e-05,8.36e-05,6e-07,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
4657,99,2020.07.16,100,1,0.0026,5.5e-05,5.58e-05,6e-07,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
4783,100,2020.07.17,126,1,0.00267,5.6e-05,7.02e-05,6e-07,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
4894,100,2020.07.18,111,0,0.00273,5.6e-05,6.19e-05,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
4990,100,2020.07.19,96,0,0.00278,5.6e-05,5.35e-05,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
5084,100,2020.07.20,94,0,0.00283,5.6e-05,5.24e-05,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
5172,101,2020.07.21,88,1,0.00288,5.6e-05,4.91e-05,6e-07,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
5212,101,2020.07.22,40,0,0.00291,5.6e-05,2.23e-05,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
5452,102,2020.07.23,240,1,0.00304,5.7e-05,0.0001338,6e-07,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
5653,103,2020.07.24,201,1,0.00315,5.7e-05,0.0001121,6e-07,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
5775,103,2020.07.25,122,0,0.00322,5.7e-05,6.8e-05,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
5889,103,2020.07.26,114,0,0.00328,5.7e-05,6.36e-05,0.0,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
5999,104,2020.07.27,110,1,0.00334,5.8e-05,6.13e-05,6e-07,48850,1793716,58506,Republican,Republican,Republican,Republican,30.65
