Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
3341,144,2020.04.12,3341,144,0.00057,2.4e-05,0.0005669,2.44e-05,64168,5893718,133821,Democratic,Democratic,Republican,Republican,44.04
3428,154,2020.04.13,87,10,0.00058,2.6e-05,1.48e-05,1.7e-06,64168,5893718,133821,Democratic,Democratic,Republican,Republican,44.04
3555,170,2020.04.14,127,16,0.0006,2.9e-05,2.15e-05,2.7e-06,64168,5893718,133821,Democratic,Democratic,Republican,Republican,44.04
3721,183,2020.04.15,166,13,0.00063,3.1e-05,2.82e-05,2.2e-06,64168,5893718,133821,Democratic,Democratic,Republican,Republican,44.04
3875,197,2020.04.16,154,14,0.00066,3.3e-05,2.61e-05,2.4e-06,64168,5893718,133821,Democratic,Democratic,Republican,Republican,44.04
4053,206,2020.04.17,178,9,0.00069,3.5e-05,3.02e-05,1.5e-06,64168,5893718,133821,Democratic,Democratic,Republican,Republican,44.04
4199,212,2020.04.18,146,6,0.00071,3.6e-05,2.48e-05,1e-06,64168,5893718,133821,Democratic,Democratic,Republican,Republican,44.04
4346,220,2020.04.19,147,8,0.00074,3.7e-05,2.49e-05,1.4e-06,64168,5893718,133821,Democratic,Democratic,Republican,Republican,44.04
4499,230,2020.04.20,153,10,0.00076,3.9e-05,2.6e-05,1.7e-06,64168,5893718,133821,Democratic,Democratic,Republican,Republican,44.04
4625,244,2020.04.21,126,14,0.00078,4.1e-05,2.14e-05,2.4e-06,64168,5893718,133821,Democratic,Democratic,Republican,Republican,44.04
4845,248,2020.04.22,220,4,0.00082,4.2e-05,3.73e-05,7e-07,64168,5893718,133821,Democratic,Democratic,Republican,Republican,44.04
5052,258,2020.04.23,207,10,0.00086,4.4e-05,3.51e-05,1.7e-06,64168,5893718,133821,Democratic,Democratic,Republican,Republican,44.04
5356,263,2020.04.24,304,5,0.00091,4.5e-05,5.16e-05,8e-07,64168,5893718,133821,Democratic,Democratic,Republican,Republican,44.04
5687,266,2020.04.25,331,3,0.00096,4.5e-05,5.62e-05,5e-07,64168,5893718,133821,Democratic,Democratic,Republican,Republican,44.04
5912,272,2020.04.26,225,6,0.001,4.6e-05,3.82e-05,1e-06,64168,5893718,133821,Democratic,Democratic,Republican,Republican,44.04
6081,281,2020.04.27,169,9,0.00103,4.8e-05,2.87e-05,1.5e-06,64168,5893718,133821,Democratic,Democratic,Republican,Republican,44.04
6289,300,2020.04.28,208,19,0.00107,5.1e-05,3.53e-05,3.2e-06,64168,5893718,133821,Democratic,Democratic,Republican,Republican,44.04
6520,308,2020.04.29,231,8,0.00111,5.2e-05,3.92e-05,1.4e-06,64168,5893718,133821,Democratic,Democratic,Republican,Republican,44.04
6854,316,2020.04.30,334,8,0.00116,5.4e-05,5.67e-05,1.4e-06,64168,5893718,133821,Democratic,Democratic,Republican,Republican,44.04
7314,327,2020.05.01,460,11,0.00124,5.5e-05,7.8e-05,1.9e-06,64168,5893718,133821,Democratic,Democratic,Republican,Republican,44.04
7660,334,2020.05.02,346,7,0.0013,5.7e-05,5.87e-05,1.2e-06,64168,5893718,133821,Democratic,Democratic,Republican,Republican,44.04
7964,339,2020.05.03,304,5,0.00135,5.8e-05,5.16e-05,8e-07,64168,5893718,133821,Democratic,Democratic,Republican,Republican,44.04
8236,340,2020.05.04,272,1,0.0014,5.8e-05,4.62e-05,2e-07,64168,5893718,133821,Democratic,Democratic,Republican,Republican,44.04
8566,353,2020.05.05,330,13,0.00145,6e-05,5.6e-05,2.2e-06,64168,5893718,133821,Democratic,Democratic,Republican,Republican,44.04
8901,362,2020.05.06,335,9,0.00151,6.1e-05,5.68e-05,1.5e-06,64168,5893718,133821,Democratic,Democratic,Republican,Republican,44.04
9215,374,2020.05.07,314,12,0.00156,6.3e-05,5.33e-05,2e-06,64168,5893718,133821,Democratic,Democratic,Republican,Republican,44.04
9590,384,2020.05.08,375,10,0.00163,6.5e-05,6.36e-05,1.7e-06,64168,5893718,133821,Democratic,Democratic,Republican,Republican,44.04
9939,398,2020.05.09,349,14,0.00169,6.8e-05,5.92e-05,2.4e-06,64168,5893718,133821,Democratic,Democratic,Republican,Republican,44.04
10219,400,2020.05.10,280,2,0.00173,6.8e-05,4.75e-05,3e-07,64168,5893718,133821,Democratic,Democratic,Republican,Republican,44.04
10418,409,2020.05.11,199,9,0.00177,6.9e-05,3.38e-05,1.5e-06,64168,5893718,133821,Democratic,Democratic,Republican,Republican,44.04
10611,418,2020.05.12,193,9,0.0018,7.1e-05,3.27e-05,1.5e-06,64168,5893718,133821,Democratic,Democratic,Republican,Republican,44.04
10902,421,2020.05.13,291,3,0.00185,7.1e-05,4.94e-05,5e-07,64168,5893718,133821,Democratic,Democratic,Republican,Republican,44.04
11275,434,2020.05.14,373,13,0.00191,7.4e-05,6.33e-05,2.2e-06,64168,5893718,133821,Democratic,Democratic,Republican,Republican,44.04
