Confirmed Cumulative,Deaths Cumulative,Date,Confirmed Daily,Deaths Daily,Confirmed Cumulative / Capita,Deaths Cumulative / Capita,Confirmed Daily / Capita,Deaths Daily / Capita,Median Income,Population,Functional Land Area (km2),Governor,Electoral,Senate,House,Population Density
270,0,2020.04.12,270,0,0.00047,0.0,0.0004681,0.0,65003,576851,205626,Republican,Republican,Republican,Republican,2.8
275,1,2020.04.13,5,1,0.00048,2e-06,8.7e-06,1.7e-06,65003,576851,205626,Republican,Republican,Republican,Republican,2.8
282,1,2020.04.14,7,0,0.00049,2e-06,1.21e-05,0.0,65003,576851,205626,Republican,Republican,Republican,Republican,2.8
287,1,2020.04.15,5,0,0.0005,2e-06,8.7e-06,0.0,65003,576851,205626,Republican,Republican,Republican,Republican,2.8
296,2,2020.04.16,9,1,0.00051,3e-06,1.56e-05,1.7e-06,65003,576851,205626,Republican,Republican,Republican,Republican,2.8
305,2,2020.04.17,9,0,0.00053,3e-06,1.56e-05,0.0,65003,576851,205626,Republican,Republican,Republican,Republican,2.8
309,2,2020.04.18,4,0,0.00054,3e-06,6.9e-06,0.0,65003,576851,205626,Republican,Republican,Republican,Republican,2.8
313,2,2020.04.19,4,0,0.00054,3e-06,6.9e-06,0.0,65003,576851,205626,Republican,Republican,Republican,Republican,2.8
317,2,2020.04.20,4,0,0.00055,3e-06,6.9e-06,0.0,65003,576851,205626,Republican,Republican,Republican,Republican,2.8
443,2,2020.04.21,126,0,0.00077,3e-06,0.0002184,0.0,65003,576851,205626,Republican,Republican,Republican,Republican,2.8
447,6,2020.04.22,4,4,0.00077,1e-05,6.9e-06,6.9e-06,65003,576851,205626,Republican,Republican,Republican,Republican,2.8
453,7,2020.04.23,6,1,0.00079,1.2e-05,1.04e-05,1.7e-06,65003,576851,205626,Republican,Republican,Republican,Republican,2.8
473,7,2020.04.24,20,0,0.00082,1.2e-05,3.47e-05,0.0,65003,576851,205626,Republican,Republican,Republican,Republican,2.8
491,7,2020.04.25,18,0,0.00085,1.2e-05,3.12e-05,0.0,65003,576851,205626,Republican,Republican,Republican,Republican,2.8
502,7,2020.04.26,11,0,0.00087,1.2e-05,1.91e-05,0.0,65003,576851,205626,Republican,Republican,Republican,Republican,2.8
520,7,2020.04.27,18,0,0.0009,1.2e-05,3.12e-05,0.0,65003,576851,205626,Republican,Republican,Republican,Republican,2.8
536,7,2020.04.28,16,0,0.00093,1.2e-05,2.77e-05,0.0,65003,576851,205626,Republican,Republican,Republican,Republican,2.8
545,7,2020.04.29,9,0,0.00094,1.2e-05,1.56e-05,0.0,65003,576851,205626,Republican,Republican,Republican,Republican,2.8
559,7,2020.04.30,14,0,0.00097,1.2e-05,2.43e-05,0.0,65003,576851,205626,Republican,Republican,Republican,Republican,2.8
566,7,2020.05.01,7,0,0.00098,1.2e-05,1.21e-05,0.0,65003,576851,205626,Republican,Republican,Republican,Republican,2.8
579,7,2020.05.02,13,0,0.001,1.2e-05,2.25e-05,0.0,65003,576851,205626,Republican,Republican,Republican,Republican,2.8
586,7,2020.05.03,7,0,0.00102,1.2e-05,1.21e-05,0.0,65003,576851,205626,Republican,Republican,Republican,Republican,2.8
596,7,2020.05.04,10,0,0.00103,1.2e-05,1.73e-05,0.0,65003,576851,205626,Republican,Republican,Republican,Republican,2.8
604,7,2020.05.05,8,0,0.00105,1.2e-05,1.39e-05,0.0,65003,576851,205626,Republican,Republican,Republican,Republican,2.8
631,7,2020.05.06,27,0,0.00109,1.2e-05,4.68e-05,0.0,65003,576851,205626,Republican,Republican,Republican,Republican,2.8
635,7,2020.05.07,4,0,0.0011,1.2e-05,6.9e-06,0.0,65003,576851,205626,Republican,Republican,Republican,Republican,2.8
644,7,2020.05.08,9,0,0.00112,1.2e-05,1.56e-05,0.0,65003,576851,205626,Republican,Republican,Republican,Republican,2.8
653,7,2020.05.09,9,0,0.00113,1.2e-05,1.56e-05,0.0,65003,576851,205626,Republican,Republican,Republican,Republican,2.8
662,7,2020.05.10,9,0,0.00115,1.2e-05,1.56e-05,0.0,65003,576851,205626,Republican,Republican,Republican,Republican,2.8
669,7,2020.05.11,7,0,0.00116,1.2e-05,1.21e-05,0.0,65003,576851,205626,Republican,Republican,Republican,Republican,2.8
675,7,2020.05.12,6,0,0.00117,1.2e-05,1.04e-05,0.0,65003,576851,205626,Republican,Republican,Republican,Republican,2.8
