Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2020.04.12,93,8,115,27,632,808,554,49,50,461,433,9,27,720,448,41,63,97,840,19,236,756,1479,70,96,120,6,17,112,23,2350,26,9382,89,7,363,96,52,572,91,82,6,101,315,18,27,141,562,6,144,0
2020.04.13,99,8,122,29,696,841,602,54,52,499,465,9,27,798,483,41,61,113,884,19,262,844,1602,70,98,128,7,17,114,23,2443,26,10026,94,8,399,99,53,610,100,82,6,109,346,13,28,149,582,8,154,1
2020.04.14,114,9,131,32,781,870,671,61,67,571,525,9,33,868,529,49,77,106,1013,20,302,844,1768,79,111,151,7,20,126,25,2805,31,10811,112,8,434,108,55,716,108,97,6,124,372,18,29,154,599,9,170,1
2020.04.15,118,9,142,33,873,897,868,68,72,596,552,9,39,949,567,53,73,115,1103,24,311,1108,1921,87,122,154,7,20,131,32,3156,36,11569,130,9,470,123,58,803,125,106,6,135,415,20,29,195,609,10,183,1
2020.04.16,133,9,150,37,955,928,971,71,81,668,587,9,41,1072,601,60,80,129,1156,27,319,1108,1996,87,129,170,7,21,137,32,3518,36,14832,150,9,504,131,64,877,139,111,7,141,449,20,33,208,630,12,197,2
2020.04.17,148,9,169,37,1023,954,1036,77,86,725,650,9,41,1132,637,64,84,137,1213,29,334,1245,2227,111,140,186,8,24,142,37,3840,44,17131,177,9,552,136,70,960,160,116,7,142,488,23,35,231,649,16,206,2
2020.04.18,153,9,180,38,1127,968,1086,87,91,748,673,9,43,1259,665,74,86,144,1267,32,421,1404,2308,121,152,197,10,24,151,38,4070,53,17634,187,9,587,136,72,1081,175,119,7,145,510,25,38,258,666,16,212,2
2020.04.19,157,9,184,39,1161,986,1127,91,96,774,687,10,44,1290,702,75,93,146,1296,34,461,1706,2391,134,159,199,10,28,158,38,4362,55,18271,200,9,618,140,74,1320,186,120,7,148,530,27,38,277,690,18,220,2
2020.04.20,163,9,191,41,1201,1027,1331,101,105,822,775,10,45,1349,740,79,102,154,1328,35,582,1706,2468,143,169,210,10,33,159,42,4496,58,18598,218,9,661,143,75,1397,196,123,7,152,550,28,38,300,709,24,230,2
2020.04.21,183,9,208,42,1289,1059,1423,106,112,867,798,10,48,1468,790,83,109,171,1405,36,652,1961,2575,160,183,226,12,33,163,42,4753,58,19037,245,13,699,164,78,1651,214,124,8,157,582,32,40,324,725,26,244,2
